sample	caller
BS_007JTNB8	gatk
BS_00PH2T1P	gatk
BS_00TRPEQX	gatk
BS_01BDZ0TW	gatk
BS_01DQH017	freec
BS_01DQH017	gatk
BS_01Y5F4PN	gatk
BS_02W5H7K5	gatk
BS_02YBZSBY	gatk
BS_02ZSVZCB	gatk
BS_03SSN1N2	gatk
BS_042DVDQM	gatk
BS_04B8X54S	gatk
BS_05S9WJW6	gatk
BS_060QB7XB	gatk
BS_06GEF6DB	gatk
BS_06GPPDHZ	gatk
BS_08127AYS	freec
BS_08127AYS	gatk
BS_090GV72Q	gatk
BS_0AK4F99X	freec
BS_0AK4F99X	gatk
BS_0ATJ22QA	gatk
BS_0DKPGQWD	gatk
BS_0EN5R1AP	cnvkit
BS_0EN5R1AP	gatk
BS_0FQKT8EY	gatk
BS_0J5GC803	gatk
BS_0J5MCBZV	gatk
BS_0Q8G4N8H	freec
BS_0Q8G4N8H	gatk
BS_0QEBZX3M	gatk
BS_0QTY32QA	freec
BS_0QTY32QA	gatk
BS_0RBGK29M	gatk
BS_0RF0G9SQ	gatk
BS_0S617SMM	gatk
BS_0SFXXBQ5	gatk
BS_0T5A16N2	gatk
BS_0TER803R	freec
BS_0TER803R	gatk
BS_0W8AWY10	gatk
BS_0XD58YD9	cnvkit
BS_0XD58YD9	gatk
BS_0XR7GYAV	freec
BS_0XR7GYAV	gatk
BS_0Y4VHCMS	gatk
BS_0YVR8Q4E	gatk
BS_0ZR4XA69	cnvkit
BS_0ZR4XA69	gatk
BS_10AD3EFX	cnvkit
BS_10AD3EFX	gatk
BS_10HD18B8	gatk
BS_10V9SAG8	cnvkit
BS_10V9SAG8	gatk
BS_11322HD1	gatk
BS_1135HC0V	gatk
BS_12ZB7R6A	gatk
BS_154FP4ZQ	gatk
BS_164KRQJ0	freec
BS_164KRQJ0	gatk
BS_169P1QCA	cnvkit
BS_169P1QCA	gatk
BS_16FT8V4B	cnvkit
BS_16FT8V4B	gatk
BS_16TBX6G5	gatk
BS_17AXPP1Y	cnvkit
BS_17AXPP1Y	gatk
BS_17FVWMNV	gatk
BS_185Q218S	gatk
BS_18NCV5QZ	gatk
BS_18RH1034	cnvkit
BS_18RH1034	freec
BS_18RH1034	gatk
BS_19EJ85F8	gatk
BS_1AZ8YJSH	gatk
BS_1B4Q7CNG	gatk
BS_1BR81RGD	gatk
BS_1C4WCNQF	gatk
BS_1CZPVCXR	freec
BS_1CZPVCXR	gatk
BS_1EQGGHHQ	gatk
BS_1EYKDS0Z	freec
BS_1EYKDS0Z	gatk
BS_1FR8GJ7N	gatk
BS_1G3QX306	cnvkit
BS_1G3QX306	gatk
BS_1G5N5R8S	freec
BS_1G5N5R8S	gatk
BS_1GK2EMFY	gatk
BS_1GQJVG9Q	cnvkit
BS_1GQJVG9Q	freec
BS_1GQJVG9Q	gatk
BS_1HXG4A7B	gatk
BS_1JGQPJH3	gatk
BS_1JMTTKMK	gatk
BS_1M63B97V	gatk
BS_1MME7FBS	gatk
BS_1Q524P3B	cnvkit
BS_1Q524P3B	gatk
BS_1RF75MK2	gatk
BS_1RFBH1SP	gatk
BS_1S2BHJ8K	gatk
BS_1S5V7WWC	gatk
BS_1VMBA3BN	gatk
BS_1YD0ZQ4R	freec
BS_1YD0ZQ4R	gatk
BS_1YTHM07J	gatk
BS_20HSXMYQ	gatk
BS_20TBZG09	gatk
