cancer_group	efo_code	mondo_code
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787
Adenocarcinoma	NA	NA
Adenoma	EFO_0000232	MONDO_0002454
Adrenocortical Carcinoma	NA	NA
Anaplastic Large Cell Lymphoma	NA	NA
Angiosarcoma	NA	NA
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560
B Acute Lymphoblastic Leukemia/Lymphoma	NA	NA
Bladder Urothelial Carcinoma	NA	NA
Breast Invasive Carcinoma	NA	NA
Burkitt Leukemia/Lymphoma	NA	NA
Cavernoma	EFO_1000151	MONDO_0003155
Central Neurocytoma	EFO_1000856	MONDO_0002714
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	NA	NA
Cholangiocarcinoma	NA	NA
Chordoma	Orphanet_178	MONDO_0008978
Choroid plexus carcinoma	MONDO_0016718	MONDO_0016718
Choroid plexus cyst	MONDO_0016717	MONDO_0016717
Choroid plexus papilloma	EFO_1000177	MONDO_0009837
Chromophobe renal cell carcinoma	NA	NA
Chronic Myelogenous Leukemia	NA	NA
CIC-DUX4 Sarcoma	NA	NA
Clear cell sarcoma of the kidney	EFO_0000350	MONDO_0005006
CNS Burkitt's lymphoma	NA	NA
CNS Embryonal tumor	EFO_0005784	MONDO_0018843
CNS neuroblastoma	EFO_0000621	MONDO_0006130
Colon Adenocarcinoma	NA	NA
Craniopharyngioma	EFO_1000209	MONDO_0002787
Desmoplastic infantile astrocytoma and ganglioglioma	NA	NA
Diffuse fibrillary astrocytoma	NA	NA
Diffuse intrinsic pontine glioma	EFO_1000026	MONDO_0006033
Diffuse leptomeningeal glioneuronal tumor	NA	NA
Diffuse midline glioma	MONDO_0003869	MONDO_0006033
Dysembryoplastic neuroepithelial tumor	EFO_0005551	MONDO_0005505
Dysgerminoma	NA	NA
Embryonal Tumor NOS	NA	NA
Embryonal tumor with multilayer rosettes	MONDO_0016715	MONDO_0016715
Ependymoma	EFO_1000028	MONDO_0016698
Esophageal Carcinoma	NA	NA
Ewing sarcoma	EFO_0000174	MONDO_0012817
Extraventricular Neurocytoma	EFO_0007201	MONDO_0002682
Fibromyxoid lesion	MONDO_0037745	MONDO_0037745
Ganglioglioma	EFO_0003094	MONDO_0016733
Ganglioneuroblastoma	EFO_0000502	MONDO_0005035
Ganglioneuroma	EFO_0000500	MONDO_0005033A31
Germ Cell Tumor	NA	NA
Germinoma	EFO_0000514	MONDO_0005040
Glial-neuronal tumor NOS	MONDO_0016729	MONDO_0016729
Glioblastoma Multiforme	NA	NA
Gliomatosis Cerebri	NA	NA
Head and Neck Squamous Cell Carcinoma	NA	NA
Hemangioblastoma	MONDO_0016748	MONDO_0016748
Hepatoblastoma	NA	NA
Hepatocellular Carcinoma	NA	NA
High-grade glioma/astrocytoma	MONDO_0016680	MONDO_0100342
Histiocytic Tumor	NA	NA
Hodgkin's lymphoma	NA	NA
