cancer_group	efo_code	mondo_code	ncit_code
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967	NCIT_C3167
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874	NCIT_C3171
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787	NCIT_C4726
Adenocarcinoma	EFO_0000228	MONDO_0004970	NCIT_C2852
Adrenocortical Carcinoma	EFO_1000796	MONDO_0006639	NCIT_C9325
Anaplastic Large Cell Lymphoma	EFO_0003032	MONDO_0020325	NCIT_C3720
Angiosarcoma	EFO_0003968	MONDO_0016982	NCIT_C3088
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560	NCIT_C6906
B Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000094	MONDO_0004967	NCIT_C8644
Bladder Urothelial Carcinoma	EFO_0006544	MONDO_0005611	NCIT_C39851
Breast Invasive Carcinoma	EFO_1000307	MONDO_0006256	NCIT_C9245
Burkitt Leukemia/Lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912
Cavernoma	EFO_1000151	MONDO_0003155	NCIT_C3086
Central neurocytoma	EFO_1000856	MONDO_0019134	NCIT_C3791
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	EFO_1000162	MONDO_0006143	NCIT_C157526
Cholangiocarcinoma	EFO_0005221	MONDO_0019087	NCIT_C4436
Chordoma	Orphanet_178	MONDO_0008978	NCIT_C2947
Choroid plexus carcinoma	MONDO_0016718	MONDO_0016718	NCIT_C4715
Choroid plexus tumor	EFO_0007206	MONDO_0016717	NCIT_C4533
Chromophobe renal cell carcinoma	EFO_0000335	MONDO_0017885	NCIT_C4146
Chronic Myelogenous Leukemia	EFO_0000339	MONDO_0011996	NCIT_C3174
CIC-DUX4 Sarcoma	EFO_0000691	MONDO_0005089	NCIT_C165663
Clear cell sarcoma of the kidney	EFO_0000350	MONDO_0005006	NCIT_C4264
CNS Burkitt's lymphoma	EFO_1000157	Orphanet_46135	NCIT_C9189
CNS Embryonal tumor	EFO_0005784	MONDO_0018843	NCIT_C5398
