Clear cell sarcoma of the kidneycancer_group	efo_code	mondo_code	ncit_code
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967	NCIT_C3167
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874	NCIT_C3171
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787	NCIT_C4726
Adenoma	EFO_0000232	MONDO_0004972	NCIT_C2855
Atypical choroid plexus papilloma	EFO_1000177	MONDO_0002684	NCIT_C53686
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560	NCIT_C6906
Cavernoma	EFO_1000151	MONDO_0003155	NCIT_C3086
Central Neurocytoma	EFO_1000856	MONDO_0019134	NCIT_C3791
Chordoma	Orphanet_178	MONDO_0008978	NCIT_C2947
Choroid plexus carcinoma	MONDO_0016718	MONDO_0016718	NCIT_C4715
Choroid plexus cyst	MONDO_0022735	MONDO_0022735	NCIT_C4351
Choroid plexus papilloma	EFO_1000177	MONDO_0009837	NCIT_C3698
Clear cell sarcoma of the kidney	EFO_0000350	MONDO_0005006	NCIT_C4264
CNS Embryonal tumor	EFO_0005784	MONDO_0005564	NCIT_C6990
CNS neuroblastoma	EFO_0000621	MONDO_0005072	NCIT_C3270
Craniopharyngioma	EFO_1000209	MONDO_0018907	NCIT_C2964
Desmoplastic infantile astrocytoma and ganglioglioma	MONDO_0016731	MONDO_0016731	NCIT_C4747
Diffuse intrinsic pontine glioma	EFO_1000026	MONDO_0006033	NCIT_C94764
Diffuse midline glioma	EFO_1000026	MONDO_0006033	NCIT_C182151
Dysembryoplastic neuroepithelial tumor	EFO_0005551	MONDO_0005505	NCIT_C9505
Embryonal tumor with multilayer rosettes	MONDO_0016715	MONDO_0016715	NCIT_C4915
Ependymoma	EFO_1000028	MONDO_0016698	NCIT_C3017
Ewing sarcoma	EFO_0000174	MONDO_0012817	NCIT_C4817
Extraventricular Neurocytoma	EFO_0007201	MONDO_0016727	NCIT_C92555
Fibromyxoid lesion	MONDO_0037745	MONDO_0037745	NCIT_C66760
Ganglioglioma	EFO_0003094	MONDO_0016733	NCIT_C3788
Ganglioneuroblastoma	EFO_0000502	MONDO_0005035	NCIT_C3790
Ganglioneuroma	EFO_0000500	MONDO_0005033	NCIT_C3049
Germinoma	MONDO_0003000	MONDO_0002598	NCIT_C3708
Germinoma;Teratoma	MONDO_0002601	MONDO_0002601	NCIT_C3403
Glial-neuronal tumor NOS	MONDO_0016729	MONDO_0016729	NCIT_C4747
Hemangioblastoma	MONDO_0016748	MONDO_0016748	NCIT_C3801
High-grade glioma/astrocytoma	MONDO_0016680	MONDO_0016680	NCIT_C102897
Juvenile xanthogranuloma	EFO_1000311	MONDO_0015534	NCIT_C3451
Langerhans Cell histiocytosis	EFO_1000318	MONDO_0018310	NCIT_C3107
Low-grade glioma/astrocytoma	MONDO_0016685	MONDO_0016685	NCIT_C116342
Malignant peripheral nerve sheath tumor	EFO_0000760	MONDO_0017827	NCIT_C3798
Medulloblastoma	EFO_0002939	MONDO_0007959	NCIT_C3222
Melanocytic tumor	MONDO_0003222	MONDO_0003222	NCIT_C5504
Meningioma	Orphanet_2495	MONDO_0016642	NCIT_C3230
Metastatic secondary tumors	EFO_0009812	MONDO_0024883	NCIT_C4968
Metastatic secondary tumors;Neuroblastoma	EFO_0000621	MONDO_0005072	NCIT_C3270
Myofibroblastoma	MONDO_0040675	MONDO_0040675	NCIT_C49012
Myxoid spindle cell tumor	EFO_0000705	MONDO_0020664	NCIT_C27263
Neuroblastoma	EFO_0000621	MONDO_0005072	NCIT_C3270
Neurocytoma	EFO_1000856	MONDO_0019134	NCIT_C3791
Neurofibroma/Plexiform	EFO_0000658	MONDO_0003304	NCIT_C3797
Oligodendroglioma	EFO_0000632	MONDO_0016695	NCIT_C3288
Osteosarcoma	EFO_0000637	MONDO_0009807	NCIT_C9145
Pilocytic astrocytoma	MONDO_0016691	MONDO_0016691	NCIT_C4047
Pineoblastoma	EFO_1000475	MONDO_0016722	NCIT_C9344
Pleomorphic xanthoastrocytoma	MONDO_0016690	MONDO_0016690	NCIT_C4323
Primary CNS lymphoma	EFO_1000157	MONDO_0002571	NCIT_C9301
Rhabdoid tumor	EFO_0005701	MONDO_0002728	NCIT_C3808
Rhabdomyosarcoma	EFO_0002918	MONDO_0005212	NCIT_C3359
Rosai-Dorfman disease	EFO_1000528	MONDO_0006412	NCIT_C36075
Sarcoma	EFO_0000691	MONDO_0005089	NCIT_C9118
Schwannoma	EFO_0000693	MONDO_0002546	NCIT_C3269
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696
Teratoma	MONDO_0002601	MONDO_0002601	NCIT_C3403
Wilms tumor	EFO_1000056	MONDO_0006058	NCIT_C3267
