CancerGroup	SearchTerm	EFOOntoID	OntoDesc
Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia	EFO_0000220	acute lymphoblastic leukemia
Acute Myeloid Leukemia	Acute Myeloid Leukemia	EFO_0000222	acute myeloid leukemia
Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma	EFO_1000069	Adamantinomatous Craniopharyngioma
Adenocarcinoma	Adenocarcinoma	EFO_0000228	adenocarcinoma
Adrenocortical Carcinoma	Adrenocortical Carcinoma	MONDO_0008734	adrenocortical carcinoma, hereditary
Anaplastic Large Cell Lymphoma	Anaplastic Large Cell Lymphoma	EFO_0003032	anaplastic large cell lymphoma
Angiosarcoma	Angiosarcoma	EFO_0003968	angiosarcoma
Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor	EFO_1002008	atypical teratoid rhabdoid tumor
B Acute Lymphoblastic Leukemia/Lymphoma	B Acute Lymphoblastic Leukemia Lymphoma	EFO_0000094	B-cell acute lymphoblastic leukemia
Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	MONDO_0004163	bladder urachal urothelial carcinoma
Breast Invasive Carcinoma	Breast Invasive Carcinoma	EFO_1000307	Invasive Breast Carcinoma
Burkitt Leukemia/Lymphoma	Burkitt Leukemia Lymphoma	EFO_1000182	Colon Burkitt Lymphoma
Cavernoma	Cavernoma	EFO_1000151	Cavernous Hemangioma
Central neurocytoma	Central neurocytoma	EFO_1000856	central neurocytoma
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	EFO_0001061	cervical carcinoma
Cholangiocarcinoma	Cholangiocarcinoma	EFO_0005221	cholangiocarcinoma
Chordoma	Chordoma	MONDO_0008978	chordoma
Choroid plexus carcinoma	Choroid plexus carcinoma	MONDO_0016718	choroid plexus carcinoma
Choroid plexus tumor	Choroid plexus tumor	MONDO_0016717	choroid plexus neoplasm
Chromophobe renal cell carcinoma	Chromophobe renal cell carcinoma	EFO_0000335	chromophobe renal cell carcinoma
Chronic Myelogenous Leukemia	Chronic Myelogenous Leukemia	EFO_0000339	chronic myelogenous leukemia
CIC-DUX4 Sarcoma	CIC-DUX4 Sarcoma	EFO_0000691	sarcoma
Clear cell sarcoma of the kidney	Clear cell sarcoma of the kidney	EFO_0000350	clear cell sarcoma of the kidney
CNS Burkitt's lymphoma	CNS Burkitt's lymphoma	EFO_0000309	Burkitts lymphoma
CNS Embryonal tumor	CNS Embryonal tumor	EFO_0005784	embryonal neoplasm
CNS Melanoma	CNS Melanoma	MONDO_0016747	primary melanoma of the central nervous system
CNS neuroblastoma	CNS neuroblastoma	EFO_0000621	neuroblastoma
Colon Adenocarcinoma	Colon Adenocarcinoma	EFO_1001949	colon adenocarcinoma
Craniopharyngioma	Craniopharyngioma	EFO_1000209	Craniopharyngioma
Cutaneous Melanoma	Cutaneous Melanoma	EFO_0000389	cutaneous melanoma
Desmoid-type fibromatosis	Desmoid-type fibromatosis	EFO_0009907	Desmoid-type fibromatosis
Desmoplastic infantile astrocytoma and ganglioglioma	Desmoplastic infantile astrocytoma and ganglioglioma	MONDO_0016729	mixed neuronal-glial tumor
Diffuse fibrillary astrocytoma	Diffuse fibrillary astrocytoma	EFO_0000272	astrocytoma
Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma	EFO_1000026	diffuse intrinsic pontine glioma
Diffuse leptomeningeal glioneuronal tumor	Diffuse leptomeningeal glioneuronal tumor	EFO_1001012	leptomeningeal metastasis
Diffuse midline glioma	Diffuse midline glioma	EFO_1000026	diffuse intrinsic pontine glioma
Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor	EFO_0005551	dysembryoplastic neuroepithelial tumor
Dysgerminoma	Dysgerminoma	MONDO_0003002	dysgerminoma
Embryonal tumor	Embryonal tumor	EFO_0005784	embryonal neoplasm
Embryonal Tumor NOS	Embryonal Tumor NOS	EFO_0005784	embryonal neoplasm
Embryonal tumor with multilayer rosettes	Embryonal tumor with multilayer rosettes	MONDO_0016715	ependymoblastoma
Ependymoma	Ependymoma	EFO_1000028	ependymoma
Esophageal Carcinoma	Esophageal Carcinoma	EFO_0002916	esophageal carcinoma
Ewing sarcoma	Ewing sarcoma	EFO_0000174	Ewing sarcoma
Extraventricular neurocytoma	Extraventricular neurocytoma	EFO_1000856	central neurocytoma
Fibromyxoid lesion	Fibromyxoid lesion	MONDO_0037745	fibromyxoid tumor
Ganglioglioma	Ganglioglioma	EFO_0003094	ganglioglioma
Ganglioneuroblastoma	Ganglioneuroblastoma	EFO_0000502	ganglioneuroblastoma
Ganglioneuroma	Ganglioneuroma	EFO_0000500	ganglioneuroma
Germ Cell Tumor	Germ Cell Tumor	EFO_0000514	germ cell tumor
Germinoma	Germinoma	EFO_0004281	testicular neoplasm
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	MONDO_0016729	mixed neuronal-glial tumor
Glioblastoma Multiforme	Glioblastoma Multiforme	EFO_0000519	glioblastoma multiforme
Gliomatosis Cerebri	Gliomatosis Cerebri	MONDO_0016683	gliomatosis cerebri
Gliosarcoma	Gliosarcoma	EFO_1001465	gliosarcoma
Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	EFO_0000181	head and neck squamous cell carcinoma
Hemangioblastoma	Hemangioblastoma	MONDO_0016748	hemangioblastoma
Hepatoblastoma	Hepatoblastoma	EFO_1000292	Hepatoblastoma
Hepatocellular Carcinoma	Hepatocellular Carcinoma	EFO_0000182	hepatocellular carcinoma
High-grade glioma/astrocytoma	High-grade glioma astrocytoma	EFO_1001197	subependymal glioma
Histiocytic tumor	Histiocytic tumor	MONDO_0020081	macrophage or histiocytic tumor
Hodgkin's lymphoma	Hodgkin's lymphoma	EFO_0000183	Hodgkins lymphoma
Infantile Fibrosarcoma	Infantile Fibrosarcoma	EFO_0002087	fibrosarcoma
Inflammatory Myofibroblastic Tumor	Inflammatory Myofibroblastic Tumor	MONDO_0015798	inflammatory myofibroblastic tumor
