CancerGroup	SearchTerm	MONDOOntoID	OntoDesc
Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia	MONDO_0004967	acute lymphoblastic leukemia
Acute Myeloid Leukemia	Acute Myeloid Leukemia	MONDO_0018874	acute myeloid leukemia
Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma	MONDO_0018907	craniopharyngioma
Adenocarcinoma	Adenocarcinoma	MONDO_0004970	adenocarcinoma
Adrenocortical Carcinoma	Adrenocortical Carcinoma	MONDO_0008734	adrenocortical carcinoma, hereditary
Anaplastic Large Cell Lymphoma	Anaplastic Large Cell Lymphoma	MONDO_0020325	anaplastic large cell lymphoma
Angiosarcoma	Angiosarcoma	MONDO_0016982	angiosarcoma
Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor	MONDO_0020560	atypical teratoid rhabdoid tumor
B Acute Lymphoblastic Leukemia/Lymphoma	B Acute Lymphoblastic Leukemia Lymphoma	MONDO_0003538	precursor lymphoblastic lymphoma/leukemia
Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	MONDO_0003890	infiltrating bladder urothelial carcinoma
Breast Invasive Carcinoma	Breast Invasive Carcinoma	MONDO_0004953	invasive ductal breast carcinoma
Burkitt Leukemia/Lymphoma	Burkitt Leukemia Lymphoma	MONDO_0007243	Burkitt lymphoma
Cavernoma	Cavernoma	MONDO_0003155	cavernous hemangioma
Central neurocytoma	Central neurocytoma	MONDO_0019134	central neurocytoma
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	MONDO_0005131	cervical carcinoma
Cholangiocarcinoma	Cholangiocarcinoma	MONDO_0019087	cholangiocarcinoma
Chordoma	Chordoma	MONDO_0008978	chordoma
Choroid plexus carcinoma	Choroid plexus carcinoma	MONDO_0016718	choroid plexus carcinoma
Choroid plexus tumor	Choroid plexus tumor	MONDO_0016717	choroid plexus neoplasm
Chromophobe renal cell carcinoma	Chromophobe renal cell carcinoma	MONDO_0017885	chromophobe renal cell carcinoma
Chronic Myelogenous Leukemia	Chronic Myelogenous Leukemia	HP_0005506	Chronic myelogenous leukemia
CIC-DUX4 Sarcoma	CIC-DUX4 Sarcoma	MONDO_0005089	sarcoma
Clear cell sarcoma of the kidney	Clear cell sarcoma of the kidney	MONDO_0005006	clear cell sarcoma of kidney
CNS Burkitt's lymphoma	CNS Burkitt's lymphoma	MONDO_0007243	Burkitt lymphoma
CNS Embryonal tumor	CNS Embryonal tumor	MONDO_0003141	cerebellopontine angle embryonal tumor
CNS Melanoma	CNS Melanoma	MONDO_0005105	melanoma
CNS neuroblastoma	CNS neuroblastoma	MONDO_0005072	neuroblastoma
Colon Adenocarcinoma	Colon Adenocarcinoma	MONDO_0002271	colon adenocarcinoma
Craniopharyngioma	Craniopharyngioma	MONDO_0018907	craniopharyngioma
Cutaneous Melanoma	Cutaneous Melanoma	MONDO_0005012	cutaneous melanoma
Desmoid-type fibromatosis	Desmoid-type fibromatosis	MONDO_0007608	desmoid tumor
Desmoplastic infantile astrocytoma and ganglioglioma	Desmoplastic infantile astrocytoma and ganglioglioma	MONDO_0016731	desmoplastic infantile astrocytoma/ganglioglioma
Diffuse fibrillary astrocytoma	Diffuse fibrillary astrocytoma	MONDO_0016688	fibrillary astrocytoma
Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma	MONDO_0006033	diffuse intrinsic pontine glioma
Diffuse leptomeningeal glioneuronal tumor	Diffuse leptomeningeal glioneuronal tumor	MONDO_0016745	diffuse leptomeningeal melanocytosis
Diffuse midline glioma	Diffuse midline glioma	MONDO_0006033	diffuse intrinsic pontine glioma
Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor	MONDO_0005505	dysembryoplastic neuroepithelial tumor
Dysgerminoma	Dysgerminoma	MONDO_0003002	dysgerminoma
Embryonal tumor	Embryonal tumor	MONDO_0005564	embryonal neoplasm
Embryonal Tumor NOS	Embryonal Tumor NOS	MONDO_0003141	cerebellopontine angle embryonal tumor
Embryonal tumor with multilayer rosettes	Embryonal tumor with multilayer rosettes	MONDO_0004310	adult embryonal tumor with multilayered rosettes, c19mc-altered
Ependymoma	Ependymoma	MONDO_0016698	ependymoma
Esophageal Carcinoma	Esophageal Carcinoma	MONDO_0003186	esophageal adenoid cystic carcinoma
Ewing sarcoma	Ewing sarcoma	MONDO_0012817	Ewing sarcoma
Extraventricular neurocytoma	Extraventricular neurocytoma	MONDO_0016727	extraventricular neurocytoma
Fibromyxoid lesion	Fibromyxoid lesion	MONDO_0037745	fibromyxoid tumor
Ganglioglioma	Ganglioglioma	MONDO_0016733	ganglioglioma
Ganglioneuroblastoma	Ganglioneuroblastoma	MONDO_0005035	ganglioneuroblastoma
Ganglioneuroma	Ganglioneuroma	MONDO_0005033	ganglioneuroma
Germ Cell Tumor	Germ Cell Tumor	MONDO_0005040	germ cell tumor
Germinoma	Germinoma	MONDO_0002598	germinoma
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	MONDO_0016729	mixed neuronal-glial tumor
Glioblastoma Multiforme	Glioblastoma Multiforme	MONDO_0018177	glioblastoma
