CancerGroup	SearchTerm	NCITOntoID	OntoDesc
Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia	NCIT_C3167	Acute Lymphoblastic Leukemia
Acute Myeloid Leukemia	Acute Myeloid Leukemia	NCIT_C3171	Acute Myeloid Leukemia
Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma	NCIT_C4726	Adamantinomatous Craniopharyngioma
Adenocarcinoma	Adenocarcinoma	NCIT_C2852	Adenocarcinoma
Adrenocortical Carcinoma	Adrenocortical Carcinoma	NCIT_C9325	Adrenal Cortical Carcinoma
Anaplastic Large Cell Lymphoma	Anaplastic Large Cell Lymphoma	NCIT_C3720	Anaplastic Large Cell Lymphoma
Angiosarcoma	Angiosarcoma	NCIT_C3088	Angiosarcoma
Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor	NCIT_C6906	Atypical Teratoid/Rhabdoid Tumor
B Acute Lymphoblastic Leukemia/Lymphoma	B Acute Lymphoblastic Leukemia Lymphoma	NCIT_C8936	B Lymphoblastic Leukemia/Lymphoma
Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	NCIT_C39851	Bladder Urothelial Carcinoma
Breast Invasive Carcinoma	Breast Invasive Carcinoma	NCIT_C36084	Invasive Breast Micropapillary Carcinoma
Burkitt Leukemia/Lymphoma	Burkitt Leukemia Lymphoma	NCIT_C7400	Burkitt Leukemia
Cavernoma	Cavernoma	NCIT_C3086	Cavernous Hemangioma
Central neurocytoma	Central neurocytoma	NCIT_C3791	Central Neurocytoma
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	NCIT_C157526	CPTAC Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma Baseline Form
Cholangiocarcinoma	Cholangiocarcinoma	NCIT_C4436	Cholangiocarcinoma
Chordoma	Chordoma	NCIT_C2947	Chordoma
Choroid plexus carcinoma	Choroid plexus carcinoma	NCIT_C4715	Choroid Plexus Carcinoma
Choroid plexus tumor	Choroid plexus tumor	NCIT_C3473	Choroid Plexus Neoplasm
Chromophobe renal cell carcinoma	Chromophobe renal cell carcinoma	NCIT_C4146	Chromophobe Renal Cell Carcinoma
Chronic Myelogenous Leukemia	Chronic Myelogenous Leukemia	NCIT_C3174	Chronic Myelogenous Leukemia, BCR-ABL1 Positive
CIC-DUX4 Sarcoma	CIC-DUX4 Sarcoma	NCIT_C165663	CIC-DUX4 Sarcoma
