FusionName	broad_histology	count
KIAA1549--BRAF	Low-grade astrocytic tumor	114
CXCR4--PTMA	Hematologic malignancy	84
TTYH3--MAD1L1	Hematologic malignancy	76
CBFA2T3--SLC7A5	Hematologic malignancy	71
TRDV2--TRAC	Hematologic malignancy	71
PTBP1--RNF126	Hematologic malignancy	60
SLC7A5--CBFA2T3	Hematologic malignancy	59
GSE1--SLC7A5	Hematologic malignancy	49
PIM3--BRD1	Hematologic malignancy	48
BANP--SLC7A5	Hematologic malignancy	46
PQLC1--NFATC1	Hematologic malignancy	44
ZNF292--SYNCRIP	Hematologic malignancy	40
OAZ1--RPS15	Hematologic malignancy	38
CBFB--MYH11	Hematologic malignancy	28
RUNX1--RUNX1T1	Hematologic malignancy	27
TRPM2--SUMO3	Hematologic malignancy	26
C11orf95--RELA	Ependymal tumor	25
CTDP1--PQLC1	Hematologic malignancy	25
AC005258.1--RPS15	Hematologic malignancy	24
NCOR2--CDK2AP1	Hematologic malignancy	24
SLC7A5--GSE1	Hematologic malignancy	22
LFNG--MAD1L1	Hematologic malignancy	21
TCF3--PBX1	Hematologic malignancy	21
CSNK1D--FOXK2	Hematologic malignancy	20
PER1--EIF5A	Hematologic malignancy	20
ZFPM1--SLC7A5	Hematologic malignancy	20
MKNK2--DOT1L	Hematologic malignancy	19
GPSM1--NOTCH1	Hematologic malignancy	18
C7orf50--MAD1L1	Hematologic malignancy	17
H3F3B--HIST1H3J	Embryonal tumor	16
MAD1L1--TTYH3	Hematologic malignancy	16
ANKRD11--SLC7A5	Hematologic malignancy	15
NFATC1--PQLC1	Hematologic malignancy	15
SLC7A5--ZFPM1	Hematologic malignancy	15
CRTC1--COPE	Hematologic malignancy	14
ETV6--RUNX1	Hematologic malignancy	14
KMT2A--MLLT3	Hematologic malignancy	14
PIM3--SBF1	Hematologic malignancy	14
RBM38--TAF4	Hematologic malignancy	14
TCF3--MKNK2	Hematologic malignancy	14
ULK1--FBRSL1	Hematologic malignancy	14
ZFPM1--CBFA2T3	Hematologic malignancy	14
CD81--OSBPL5	Hematologic malignancy	13
ZC3H3--AGO2	Hematologic malignancy	13
MKNK2--RNF126	Hematologic malignancy	12
NOL4L--ASXL1	Hematologic malignancy	12
OAZ1--RNF126	Hematologic malignancy	12
RBM38--PMEPA1	Hematologic malignancy	12
SLC12A7--IRX2	Hematologic malignancy	12
DENND3--AGO2	Hematologic malignancy	11
ELL--COPE	Hematologic malignancy	11
PFKL--SUMO3	Hematologic malignancy	11
PICALM--MLLT10	Hematologic malignancy	11
TCF3--ZNF384	Hematologic malignancy	11
CBFA2T3--ACSF3	Hematologic malignancy	10
EP300--ZNF384	Hematologic malignancy	10
GSE1--CBFA2T3	Hematologic malignancy	10
KMT2A--MLLT10	Hematologic malignancy	10
MLLT10--PICALM	Hematologic malignancy	10
PHACTR3--RBM38	Hematologic malignancy	10
AC008878.3--INSR	Hematologic malignancy	9
CBFA2T3--ZFPM1	Hematologic malignancy	9
FGFRL1--CTBP1	Hematologic malignancy	9
GAK--MAEA	Hematologic malignancy	9
KMT2A--AFF1	Hematologic malignancy	9
KMT2A--MLLT1	Hematologic malignancy	9
ZNF292--PNRC1	Hematologic malignancy	9
ANKRD11--CBFA2T3	Hematologic malignancy	8
CBFA2T3--GSE1	Hematologic malignancy	8
CD81--PTMA	Hematologic malignancy	8
DOT1L--MKNK2	Hematologic malignancy	8
EIF4A1--RBM38	Hematologic malignancy	8
EIF4A1--SAP25	Hematologic malignancy	8
GRAMD4--BRD1	Hematologic malignancy	8
LDLRAD4--TGIF1	Hematologic malignancy	8
MAFK--MAD1L1	Hematologic malignancy	8
NCOR2--FBRSL1	Hematologic malignancy	8
OAZ1--SAP25	Hematologic malignancy	8
SBNO2--RNF126	Hematologic malignancy	8
SENP3-EIF4A1--RBM38	Hematologic malignancy	8
SLC19A1--SUMO3	Hematologic malignancy	8
AFF1--KMT2A	Hematologic malignancy	7
BCR--ABL1	Hematologic malignancy	7
CSNK1G2--REXO1	Hematologic malignancy	7
EIF4A1--KLF2	Hematologic malignancy	7
METRNL--FOXK2	Hematologic malignancy	7
NUP214--ABL1	Hematologic malignancy	7
NUP98--NSD1	Hematologic malignancy	7
OAZ1--ATP6V0C	Hematologic malignancy	7
PIM3--PLXNB2	Hematologic malignancy	7
RASA3--ING1	Hematologic malignancy	7
RBM38--NR4A1	Hematologic malignancy	7
RUNX1--ETV6	Hematologic malignancy	7
RUNX1T1--RUNX1	Hematologic malignancy	7
SENP3-EIF4A1--SAP25	Hematologic malignancy	7
TBCD--FOXK2	Hematologic malignancy	7
AC005258.1--RNF126	Hematologic malignancy	6
ANP32E--PLEKHO1	Hematologic malignancy	6
B2M--GNAS	Hematologic malignancy	6
BRF1--MTA1	Hematologic malignancy	6
