FusionName	broad_histology	count
ABL1--BCR	Hematologic malignancy	5
AC005258.1--ATP6V0C	Hematologic malignancy	4
AC005258.1--DAZAP1	Hematologic malignancy	5
AC005258.1--RNF126	Hematologic malignancy	6
AC005258.1--RPS15	Hematologic malignancy	24
AC005258.1--SAP25	Hematologic malignancy	4
AC008878.3--INSR	Hematologic malignancy	9
AC244472.3--TRBC2	Hematologic malignancy	4
ACTR1A--PPRC1	Hematologic malignancy	5
ADAP1--FAM20C	Hematologic malignancy	5
AFF1--KMT2A	Hematologic malignancy	7
ANKRD11--CBFA2T3	Hematologic malignancy	8
ANKRD11--SLC7A5	Hematologic malignancy	15
ANP32E--PLEKHO1	Hematologic malignancy	6
B2M--ATP6V0C	Hematologic malignancy	5
B2M--GNAS	Hematologic malignancy	6
BANP--CBFA2T3	Hematologic malignancy	4
BANP--SLC7A5	Hematologic malignancy	46
BCR--ABL1	Hematologic malignancy	7
BRD3--RALGDS	Hematologic malignancy	4
BRD9--CLPTM1L	Hematologic malignancy	4
BRF1--MTA1	Hematologic malignancy	6
C11orf95--RELA	Ependymal tumor	25
C19orf25--TCF3	Hematologic malignancy	4
C7orf50--MAD1L1	Hematologic malignancy	17
CBFA2T3--ACSF3	Hematologic malignancy	10
CBFA2T3--GLIS2	Hematologic malignancy	4
CBFA2T3--GSE1	Hematologic malignancy	8
CBFA2T3--SLC7A5	Hematologic malignancy	71
CBFA2T3--ZFPM1	Hematologic malignancy	9
CBFB--MYH11	Hematologic malignancy	28
CD81--OSBPL5	Hematologic malignancy	13
CD81--PTMA	Hematologic malignancy	8
CD81--SLC7A5	Hematologic malignancy	4
CNN2--RNF126	Hematologic malignancy	4
COL1A1--LRP1	Mesenchymal non-meningothelial tumor	6
CRTC1--COPE	Hematologic malignancy	14
CSNK1D--FOXK2	Hematologic malignancy	20
CSNK1G2--REXO1	Hematologic malignancy	7
CTDP1--PQLC1	Hematologic malignancy	25
CXCR4--PTMA	Hematologic malignancy	84
CYBA--SLC7A5	Hematologic malignancy	4
DDX3X--MLLT10	Hematologic malignancy	4
DENND3--AGO2	Hematologic malignancy	11
DOT1L--MKNK2	Hematologic malignancy	8
EIF4A1--KLF2	Hematologic malignancy	7
EIF4A1--PTMA	Hematologic malignancy	6
EIF4A1--RBM38	Hematologic malignancy	8
EIF4A1--SAP25	Hematologic malignancy	8
EIF4A1--ZNF511	Hematologic malignancy	6
ELL--COPE	Hematologic malignancy	11
EP300--ZNF384	Hematologic malignancy	10
EPB41--SRSF4	Hematologic malignancy	6
ETV6--RUNX1	Hematologic malignancy	14
EWSR1--FLI1	Mesenchymal non-meningothelial tumor	6
FAM19A5--BRD1	Hematologic malignancy	5
FAM20C--ADAP1	Hematologic malignancy	5
FAM20C--COX19	Hematologic malignancy	5
FAM20C--PDGFA	Hematologic malignancy	4
FBRSL1--NCOR2	Hematologic malignancy	4
FGFRL1--CTBP1	Hematologic malignancy	9
FOSB--UBC	Hematologic malignancy	6
GAK--MAEA	Hematologic malignancy	9
GPSM1--NOTCH1	Hematologic malignancy	18
GPSM1--RALGDS	Hematologic malignancy	5
GRAMD4--BRD1	Hematologic malignancy	8
GRK2--EEF1D	Hematologic malignancy	4
GSE1--CBFA2T3	Hematologic malignancy	10
GSE1--SLC7A5	Hematologic malignancy	49
H3F3B--HIST1H3J	Embryonal tumor	16
ITM2C--PTMA	Hematologic malignancy	4
KDM4B--ZBTB7A	Hematologic malignancy	5
KDM4C--UHRF2	Hematologic malignancy	5
KIAA1549--BRAF	Low-grade astrocytic tumor	114
KMT2A--AFDN	Hematologic malignancy	6
KMT2A--AFF1	Hematologic malignancy	9
KMT2A--ELL	Hematologic malignancy	4
KMT2A--MLLT1	Hematologic malignancy	9
KMT2A--MLLT10	Hematologic malignancy	10
KMT2A--MLLT3	Hematologic malignancy	14
KMT5A--CDK2AP1	Hematologic malignancy	5
LDLRAD4--TGIF1	Hematologic malignancy	8
LFNG--MAD1L1	Hematologic malignancy	21
LMNB2--DOT1L	Hematologic malignancy	5
LPCAT1--IRX2	Hematologic malignancy	4
MAD1L1--TTYH3	Hematologic malignancy	16
MAEA--GAK	Hematologic malignancy	4
MAFK--MAD1L1	Hematologic malignancy	8
MEF2D--BCL9	Hematologic malignancy	4
METRNL--CBFA2T3	Hematologic malignancy	4
METRNL--FOXK2	Hematologic malignancy	7
MKNK2--DOT1L	Hematologic malignancy	19
MKNK2--RNF126	Hematologic malignancy	12
MLLT10--PICALM	Hematologic malignancy	10
NBAS--FAM49A	Embryonal tumor	4
NCOR2--BCL7A	Hematologic malignancy	5
NCOR2--CDK2AP1	Hematologic malignancy	24
NCOR2--FBRSL1	Hematologic malignancy	8
NFAT5--COG8	Hematologic malignancy	4
NFAT5--PDF	Hematologic malignancy	4
NFATC1--PQLC1	Hematologic malignancy	15
NOL4L--ASXL1	Hematologic malignancy	12
NSD1--NUP98	Hematologic malignancy	5
NUP214--ABL1	Hematologic malignancy	7
NUP98--KDM5A	Hematologic malignancy	5
NUP98--NSD1	Hematologic malignancy	7
OAZ1--ATP6V0C	Hematologic malignancy	7
OAZ1--METRNL	Hematologic malignancy	4
OAZ1--RNF126	Hematologic malignancy	12
OAZ1--RPS15	Hematologic malignancy	38
OAZ1--SAP25	Hematologic malignancy	8
PAX5--AUTS2	Hematologic malignancy	4
PAX5--ETV6	Hematologic malignancy	5
PAX5--NOL4L	Hematologic malignancy	6
PER1--EIF5A	Hematologic malignancy	20
PFKL--SUMO3	Hematologic malignancy	11
PHACTR3--RBM38	Hematologic malignancy	10
PICALM--MLLT10	Hematologic malignancy	11
PIM3--BRD1	Hematologic malignancy	48
PIM3--PLXNB2	Hematologic malignancy	7
PIM3--SBF1	Hematologic malignancy	14
PLEC--ZC3H3	Hematologic malignancy	4
PPP6R2--SAP25	Hematologic malignancy	4
PPP6R2--SELENOO	Hematologic malignancy	5
PQLC1--NFATC1	Hematologic malignancy	44
PRDM16--SKI	Hematologic malignancy	4
PTBP1--C19orf24	Hematologic malignancy	6
PTBP1--DAZAP1	Hematologic malignancy	4
PTBP1--EIF4A1	Hematologic malignancy	4
PTBP1--MDK	Hematologic malignancy	4
PTBP1--RNF126	Hematologic malignancy	60
PTBP1--SAP25	Hematologic malignancy	4
RASA3--ING1	Hematologic malignancy	7
RBM38--NR4A1	Hematologic malignancy	7
RBM38--PHACTR3	Hematologic malignancy	4
RBM38--PMEPA1	Hematologic malignancy	12
RBM38--SEPT9	Hematologic malignancy	4
RBM38--TAF4	Hematologic malignancy	14
REV3L--FYN	Diffuse astrocytic and oligodendroglial tumor	5
REXO1--KLF16	Hematologic malignancy	4
RNF168--TFRC	Hematologic malignancy	6
RUNX1--ETV6	Hematologic malignancy	7
RUNX1--RUNX1T1	Hematologic malignancy	27
RUNX1T1--RUNX1	Hematologic malignancy	7
SBNO2--PTBP1	Hematologic malignancy	5
SBNO2--RNF126	Hematologic malignancy	8
SENP3-EIF4A1--PTMA	Hematologic malignancy	4
SENP3-EIF4A1--RBM38	Hematologic malignancy	8
SENP3-EIF4A1--SAP25	Hematologic malignancy	7
SENP3-EIF4A1--ZNF511	Hematologic malignancy	6
SET--NUP214	Hematologic malignancy	4
SLC12A7--IRX2	Hematologic malignancy	12
SLC19A1--SUMO3	Hematologic malignancy	8
SLC7A5--BANP	Hematologic malignancy	5
SLC7A5--CBFA2T3	Hematologic malignancy	59
SLC7A5--GSE1	Hematologic malignancy	22
SLC7A5--ZFPM1	Hematologic malignancy	15
SS18L1--TAF4	Hematologic malignancy	4
STK24--UBAC2	Hematologic malignancy	4
STK32C--INPP5A	Hematologic malignancy	5
TBCD--FOXK2	Hematologic malignancy	7
TCF25--ANKRD11	Hematologic malignancy	4
TCF25--FUS	Hematologic malignancy	5
TCF3--MKNK2	Hematologic malignancy	14
TCF3--PBX1	Hematologic malignancy	21
TCF3--ZNF384	Hematologic malignancy	11
TPM4--PTMA	Hematologic malignancy	4
TRDV2--TRAC	Hematologic malignancy	71
TRPM2--SUMO3	Hematologic malignancy	26
TTYH3--MAD1L1	Hematologic malignancy	76
TTYH3--MRM2	Hematologic malignancy	5
TUBGCP6--BRD1	Hematologic malignancy	5
ULK1--FBRSL1	Hematologic malignancy	14
ZC3H3--AGO2	Hematologic malignancy	13
ZFPM1--CBFA2T3	Hematologic malignancy	14
ZFPM1--SLC7A5	Hematologic malignancy	20
ZNF292--PNRC1	Hematologic malignancy	9
ZNF292--SYNCRIP	Hematologic malignancy	40
