Gene	broad_histology	count
SLC7A5	Hematologic malignancy	154
BRAF	Low-grade astrocytic tumor	121
CBFA2T3	Hematologic malignancy	119
KIAA1549	Low-grade astrocytic tumor	114
MAD1L1	Hematologic malignancy	107
PTMA	Hematologic malignancy	104
PTBP1	Hematologic malignancy	103
CXCR4	Hematologic malignancy	88
TTYH3	Hematologic malignancy	87
RNF126	Hematologic malignancy	86
GSE1	Hematologic malignancy	80
PQLC1	Hematologic malignancy	75
OAZ1	Hematologic malignancy	72
TRAC	Hematologic malignancy	71
TRDV2	Hematologic malignancy	71
BRD1	Hematologic malignancy	66
RBM38	Hematologic malignancy	62
TCF3	Hematologic malignancy	62
KMT2A	Hematologic malignancy	59
NFATC1	Hematologic malignancy	59
PIM3	Hematologic malignancy	59
BANP	Hematologic malignancy	58
RUNX1	Hematologic malignancy	53
ZNF292	Hematologic malignancy	51
MKNK2	Hematologic malignancy	49
AC005258.1	Hematologic malignancy	46
NCOR2	Hematologic malignancy	46
ZFPM1	Hematologic malignancy	42
DOT1L	Hematologic malignancy	40
EIF4A1	Hematologic malignancy	40
FOXK2	Hematologic malignancy	40
RPS15	Hematologic malignancy	40
SUMO3	Hematologic malignancy	40
SYNCRIP	Hematologic malignancy	40
CD81	Hematologic malignancy	35
ETV6	Hematologic malignancy	32
ANKRD11	Hematologic malignancy	31
CDK2AP1	Hematologic malignancy	31
FBRSL1	Hematologic malignancy	31
MLLT10	Hematologic malignancy	30
CTDP1	Hematologic malignancy	29
SENP3-EIF4A1	Hematologic malignancy	29
C11orf95	Ependymal tumor	28
CBFB	Hematologic malignancy	28
MYH11	Hematologic malignancy	28
PAX5	Hematologic malignancy	27
RUNX1T1	Hematologic malignancy	27
GPSM1	Hematologic malignancy	26
TRPM2	Hematologic malignancy	26
ZNF384	Hematologic malignancy	26
AGO2	Hematologic malignancy	25
CSNK1D	Hematologic malignancy	25
RELA	Ependymal tumor	25
C7orf50	Hematologic malignancy	24
METRNL	Hematologic malignancy	24
COPE	Hematologic malignancy	23
LFNG	Hematologic malignancy	23
NOTCH1	Hematologic malignancy	23
PER1	Hematologic malignancy	23
RALGDS	Hematologic malignancy	23
SEPT9	Hematologic malignancy	23
DAZAP1	Hematologic malignancy	22
NUP98	Hematologic malignancy	22
SBNO2	Hematologic malignancy	22
B2M	Hematologic malignancy	21
EIF5A	Hematologic malignancy	21
GAK	Hematologic malignancy	21
NOL4L	Hematologic malignancy	21
PBX1	Hematologic malignancy	21
ELL	Hematologic malignancy	20
NR4A1	Hematologic malignancy	20
SAP25	Hematologic malignancy	20
TCF25	Hematologic malignancy	20
ZC3H3	Hematologic malignancy	20
ABL1	Hematologic malignancy	19
TAF4	Hematologic malignancy	19
IRX2	Hematologic malignancy	18
SKI	Hematologic malignancy	18
CRTC1	Hematologic malignancy	17
GNAS	Hematologic malignancy	17
PFKL	Hematologic malignancy	17
ULK1	Hematologic malignancy	17
BCL7A	Hematologic malignancy	16
H3F3B	Embryonal tumor	16
HIST1H3J	Embryonal tumor	16
KDM4B	Hematologic malignancy	16
MAEA	Hematologic malignancy	16
SBF1	Hematologic malignancy	16
SLC12A7	Hematologic malignancy	16
COL1A1	Mesenchymal non-meningothelial tumor	15
