Gene	broad_histology	count
ABL1	Hematologic malignancy	19
ABR	Hematologic malignancy	4
AC005258.1	Hematologic malignancy	46
AC008878.3	Hematologic malignancy	9
AC244472.3	Hematologic malignancy	4
ACSF3	Hematologic malignancy	14
ACTR1A	Hematologic malignancy	5
ADAP1	Hematologic malignancy	13
AFDN	Hematologic malignancy	6
AFF1	Hematologic malignancy	9
AGO2	Hematologic malignancy	25
AKT1	Hematologic malignancy	8
ANKRD11	Hematologic malignancy	31
ANP32E	Hematologic malignancy	6
ARHGAP15	Embryonal tumor	5
ARHGAP15	Hematologic malignancy	4
ARHGEF2	Hematologic malignancy	8
ARHGEF7	Hematologic malignancy	5
ARID1B	Hematologic malignancy	4
ARID3A	Hematologic malignancy	6
ARID5A	Hematologic malignancy	6
ASPSCR1	Hematologic malignancy	10
ASXL1	Hematologic malignancy	12
ATP6V0C	Hematologic malignancy	12
AUTS2	Hematologic malignancy	5
B2M	Hematologic malignancy	20
BAHCC1	Hematologic malignancy	7
BANP	Hematologic malignancy	58
BAZ1A	Hematologic malignancy	7
BAZ2B	Hematologic malignancy	9
BCL11A	Hematologic malignancy	10
BCL11B	Hematologic malignancy	5
BCL7A	Hematologic malignancy	16
BCL9	Hematologic malignancy	4
BCR	Hematologic malignancy	12
BID	Hematologic malignancy	6
BPTF	Hematologic malignancy	6
BRAF	Low-grade astrocytic tumor	121
BRD1	Hematologic malignancy	66
BRD3	Hematologic malignancy	7
BRD4	Hematologic malignancy	6
BRD9	Hematologic malignancy	4
BRF1	Hematologic malignancy	9
BSG	Hematologic malignancy	5
C11orf95	Ependymal tumor	28
C19orf24	Hematologic malignancy	6
C19orf25	Hematologic malignancy	4
C7orf50	Hematologic malignancy	23
CBFA2T3	Hematologic malignancy	119
CBFB	Hematologic malignancy	28
CD81	Hematologic malignancy	35
CDK2AP1	Hematologic malignancy	31
CHD2	Hematologic malignancy	7
CHST11	Hematologic malignancy	4
CIC	Hematologic malignancy	5
CLK1	Hematologic malignancy	8
CLK3	Hematologic malignancy	4
CLPTM1L	Hematologic malignancy	6
CNN2	Hematologic malignancy	4
COG8	Hematologic malignancy	5
COL1A1	Mesenchymal non-meningothelial tumor	15
COL1A2	Mesenchymal non-meningothelial tumor	4
COPE	Hematologic malignancy	23
COX19	Hematologic malignancy	11
CPSF6	Hematologic malignancy	5
CREBBP	Hematologic malignancy	7
CRTC1	Hematologic malignancy	17
CSNK1D	Hematologic malignancy	25
CSNK1G2	Hematologic malignancy	15
CTBP1	Hematologic malignancy	11
CTDP1	Hematologic malignancy	29
CXCR4	Hematologic malignancy	89
CYBA	Hematologic malignancy	5
DAZAP1	Hematologic malignancy	22
DDX1	Embryonal tumor	4
DDX3X	Hematologic malignancy	6
DDX5	Hematologic malignancy	12
DENND3	Hematologic malignancy	12
DHX9	Hematologic malignancy	4
DNAJC1	Hematologic malignancy	4
DOT1L	Hematologic malignancy	40
EDF1	Hematologic malignancy	8
EEF1D	Hematologic malignancy	4
EHMT1	Hematologic malignancy	4
EIF4A1	Hematologic malignancy	40
EIF5A	Hematologic malignancy	21
ELF1	Hematologic malignancy	5
ELF2	Hematologic malignancy	4
ELL	Hematologic malignancy	20
EP300	Hematologic malignancy	11
EPB41	Hematologic malignancy	7
EPS15	Hematologic malignancy	5
ERG	Hematologic malignancy	6
ETS2	Hematologic malignancy	4
ETV6	Hematologic malignancy	32
EWSR1	Mesenchymal non-meningothelial tumor	6
EZR	Hematologic malignancy	6
FAM172A	Hematologic malignancy	4
FAM19A5	Hematologic malignancy	7
FAM20C	Hematologic malignancy	11
FAM49A	Embryonal tumor	5
FAM53B	Hematologic malignancy	5
FAM69B	Hematologic malignancy	4
FBRSL1	Hematologic malignancy	31
FGFRL1	Hematologic malignancy	9
FLI1	Mesenchymal non-meningothelial tumor	6
FLT3	Hematologic malignancy	5
FNBP1	Hematologic malignancy	4
FOSB	Hematologic malignancy	7
FOSL1	Hematologic malignancy	4
FOXK2	Hematologic malignancy	40
FUS	Hematologic malignancy	12
FYN	Diffuse astrocytic and oligodendroglial tumor	5
GAK	Hematologic malignancy	21
GALNS	Hematologic malignancy	6
GET4	Hematologic malignancy	9
GLIS2	Hematologic malignancy	4
GNA11	Hematologic malignancy	4
GNA15	Hematologic malignancy	5
GNAS	Hematologic malignancy	17
GPSM1	Hematologic malignancy	26
GRAMD4	Hematologic malignancy	15
GRK2	Hematologic malignancy	12
GSE1	Hematologic malignancy	80
H3F3B	Embryonal tumor	16
HDAC4	Hematologic malignancy	8
HIF1A	Hematologic malignancy	4
HIPK1	Hematologic malignancy	6
HIST1H3J	Embryonal tumor	16
HNRNPH1	Hematologic malignancy	5
HNRNPU	Hematologic malignancy	5
HOXA9	Hematologic malignancy	4
IKZF1	Hematologic malignancy	5
ING1	Hematologic malignancy	13
INPP5A	Hematologic malignancy	8
INSR	Hematologic malignancy	10
IRX2	Hematologic malignancy	18
ITM2C	Hematologic malignancy	4
JAK2	Hematologic malignancy	5
KDM2B	Hematologic malignancy	4
KDM4B	Hematologic malignancy	16
KDM4C	Hematologic malignancy	7
KDM5A	Hematologic malignancy	10
KIAA1549	Low-grade astrocytic tumor	114
KLF10	Hematologic malignancy	7
KLF13	Hematologic malignancy	4
KLF16	Hematologic malignancy	14
KLF2	Hematologic malignancy	11
KMT2A	Hematologic malignancy	59
