hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	134.20710087820643	3.1639852778933845e-40	1.5819926389466923e-38	TRUE
HALLMARK_ALLOGRAFT_REJECTION	9.664755433744169	9.08222707925492e-5	0.00454111353962746	TRUE
HALLMARK_ANDROGEN_RESPONSE	43.36753777924378	7.064099426608922e-17	3.532049713304461e-15	TRUE
HALLMARK_ANGIOGENESIS	38.54695820779393	2.6479632567339162e-15	1.323981628366958e-13	TRUE
HALLMARK_APICAL_JUNCTION	83.56926293927881	1.8033150424294967e-28	9.016575212147483e-27	TRUE
HALLMARK_APICAL_SURFACE	34.41944939212643	6.427395451466851e-14	3.2136977257334255e-12	TRUE
HALLMARK_APOPTOSIS	14.123710414425661	1.5524858897644173e-6	7.762429448822086e-5	TRUE
HALLMARK_BILE_ACID_METABOLISM	137.00417654932073	8.317720131805275e-41	4.158860065902638e-39	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	96.01806431812541	1.3166030617641926e-31	6.583015308820963e-30	TRUE
HALLMARK_COAGULATION	40.31178260743527	6.940156345955238e-16	3.470078172977619e-14	TRUE
HALLMARK_COMPLEMENT	14.650792478910247	9.680923582337962e-7	4.840461791168981e-5	TRUE
HALLMARK_DNA_REPAIR	84.97296418357526	7.818369386572093e-29	3.9091846932860465e-27	TRUE
HALLMARK_E2F_TARGETS	19.94828113081255	9.2615786720206e-9	4.6307893360103e-7	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	46.200307137278585	8.814686418207812e-18	4.4073432091039057e-16	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	67.37546659026705	4.2696512538049105e-24	2.134825626902455e-22	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	79.40864470092131	2.2206627051520247e-27	1.1103313525760123e-25	TRUE
HALLMARK_FATTY_ACID_METABOLISM	122.11312092411376	1.2122097371178082e-37	6.061048685589042e-36	TRUE
HALLMARK_G2M_CHECKPOINT	10.462565096607506	4.342265421946782e-5	0.0021711327109733914	TRUE
HALLMARK_GLYCOLYSIS	127.33935102557972	8.953405996772433e-39	4.476702998386216e-37	TRUE
HALLMARK_HEDGEHOG_SIGNALING	120.21544501671438	3.1653464025159705e-37	1.5826732012579853e-35	TRUE
HALLMARK_HEME_METABOLISM	27.402100587224705	1.7698370095907295e-11	8.849185047953648e-10	TRUE
HALLMARK_HYPOXIA	37.57757375793275	5.559487147548009e-15	2.779743573774005e-13	TRUE
HALLMARK_IL2_STAT5_SIGNALING	4.8684898034275514	0.00843515975618205	0.4217579878091025	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	4.65263996622353	0.010384123904219257	0.5192061952109629	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	9.4168676089146	1.1432921022585633e-4	0.005716460511292817	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	8.072907131822166	4.012227187848285e-4	0.020061135939241425	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.710818081409798	0.06845273391722721	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	12.708305732768416	5.568282197617713e-6	2.784141098808857e-4	TRUE
HALLMARK_KRAS_SIGNALING_UP	21.977337070987303	1.632656334245497e-9	8.163281671227486e-8	TRUE
HALLMARK_MITOTIC_SPINDLE	20.193313131469775	7.500565174200696e-9	3.750282587100348e-7	TRUE
HALLMARK_MTORC1_SIGNALING	42.831095698473945	1.05181823658128e-16	5.2590911829064e-15	TRUE
HALLMARK_MYC_TARGETS_V1	22.117316271483507	1.4497054721023457e-9	7.248527360511728e-8	TRUE
HALLMARK_MYC_TARGETS_V2	28.75338008247359	5.88066132698612e-12	2.94033066349306e-10	TRUE
HALLMARK_MYOGENESIS	75.02802378385711	3.303119946546103e-26	1.6515599732730514e-24	TRUE
HALLMARK_NOTCH_SIGNALING	127.6574272225249	7.653845093683656e-39	3.826922546841828e-37	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	76.96999768788977	9.908701565519139e-27	4.95435078275957e-25	TRUE
HALLMARK_P53_PATHWAY	33.99368178270427	8.973538156950731e-14	4.486769078475365e-12	TRUE
HALLMARK_PANCREAS_BETA_CELLS	56.61804616356709	5.570672179081619e-21	2.785336089540809e-19	TRUE
HALLMARK_PEROXISOME	136.80887485511994	9.126738969943505e-41	4.563369484971753e-39	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	17.21835768353408	9.949140256815506e-8	4.974570128407753e-6	TRUE
HALLMARK_PROTEIN_SECRETION	67.39495734389723	4.2160721991115055e-24	2.1080360995557528e-22	TRUE
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	40.45028037950351	6.251673589370364e-16	3.125836794685182e-14	TRUE
HALLMARK_SPERMATOGENESIS	64.57618169718296	2.6541231165716584e-23	1.3270615582858292e-21	TRUE
HALLMARK_TGF_BETA_SIGNALING	45.55902212577838	1.4076573627276046e-17	7.038286813638023e-16	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	10.023307825172106	6.515199595617304e-5	0.003257599797808652	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	42.39620014797644	1.4538071784303767e-16	7.269035892151883e-15	TRUE
HALLMARK_UV_RESPONSE_DN	67.78335769484198	3.2789526358513664e-24	1.6394763179256832e-22	TRUE
HALLMARK_UV_RESPONSE_UP	91.70284855918653	1.5351817167820146e-30	7.675908583910073e-29	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	54.297471045004144	2.768765916188032e-20	1.384382958094016e-18	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	94.13290120559105	3.8270416299313454e-31	1.9135208149656727e-29	TRUE
