hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	334.02812469838943	3.0212666455012e-104	1.5106333227506e-102	TRUE
HALLMARK_ALLOGRAFT_REJECTION	685.8362186379991	1.4398483351428233e-169	7.199241675714117e-168	TRUE
HALLMARK_ANDROGEN_RESPONSE	83.84724825169961	1.449372731211415e-33	7.246863656057075e-32	TRUE
HALLMARK_ANGIOGENESIS	643.7247499744524	5.263669753578469e-163	2.6318348767892346e-161	TRUE
HALLMARK_APICAL_JUNCTION	1158.711278105305	2.8951609734788746e-229	1.4475804867394373e-227	TRUE
HALLMARK_APICAL_SURFACE	311.7938168757402	4.464888429548053e-99	2.2324442147740264e-97	TRUE
HALLMARK_APOPTOSIS	148.87847126922733	4.1307599912136514e-55	2.0653799956068257e-53	TRUE
HALLMARK_BILE_ACID_METABOLISM	513.3849054976674	8.106387622784446e-141	4.053193811392223e-139	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	325.51425283702946	2.7556593565788578e-102	1.377829678289429e-100	TRUE
HALLMARK_COAGULATION	333.4378028329476	4.124074607846787e-104	2.0620373039233937e-102	TRUE
HALLMARK_COMPLEMENT	104.89362064811189	7.398962278547217e-41	3.699481139273608e-39	TRUE
HALLMARK_DNA_REPAIR	272.78760050553456	1.3771133951601983e-89	6.885566975800992e-88	TRUE
HALLMARK_E2F_TARGETS	207.7298185528564	2.0991135414057256e-72	1.0495567707028628e-70	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1632.124386294126	8.433258908928817e-273	4.2166294544644086e-271	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	245.16408558965935	1.6328021139480385e-82	8.164010569740192e-81	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	254.30732732064962	6.87110161669779e-85	3.435550808348895e-83	TRUE
HALLMARK_FATTY_ACID_METABOLISM	422.4062088754219	2.6675670076442358e-123	1.333783503822118e-121	TRUE
HALLMARK_G2M_CHECKPOINT	99.63317297227468	4.583081636863658e-39	2.291540818431829e-37	TRUE
HALLMARK_GLYCOLYSIS	1743.5157557152265	1.5385916248515152e-281	7.692958124257575e-280	TRUE
HALLMARK_HEDGEHOG_SIGNALING	530.4304808512222	6.730641857864153e-144	3.365320928932077e-142	TRUE
HALLMARK_HEME_METABOLISM	137.2770422408958	1.7990730830067254e-51	8.995365415033626e-50	TRUE
HALLMARK_HYPOXIA	111.50312586826533	4.420172155054667e-43	2.2100860775273336e-41	TRUE
HALLMARK_IL2_STAT5_SIGNALING	227.40809119716775	8.495052174694299e-78	4.2475260873471493e-76	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	263.06370381815157	3.9259162430651665e-87	1.9629581215325833e-85	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	256.8844866391421	1.491439563007229e-85	7.4571978150361445e-84	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	237.23280573958715	2.0072113155335906e-80	1.0036056577667954e-78	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	396.4857526004826	6.101666880508592e-118	3.050833440254296e-116	TRUE
HALLMARK_KRAS_SIGNALING_DN	64.14282106493472	1.9956606145809733e-26	9.978303072904866e-25	TRUE
HALLMARK_KRAS_SIGNALING_UP	19.251931633265453	7.049488541075764e-9	3.524744270537882e-7	TRUE
