hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	333.5063163522642	4.03333826640745e-164	2.016669133203725e-162	TRUE
HALLMARK_ALLOGRAFT_REJECTION	492.7930639603448	3.4038853847876995e-207	1.7019426923938497e-205	TRUE
HALLMARK_ANDROGEN_RESPONSE	68.1803582541138	3.700442985634257e-49	1.8502214928171285e-47	TRUE
HALLMARK_ANGIOGENESIS	514.2328451793787	3.333611943138874e-212	1.666805971569437e-210	TRUE
HALLMARK_APICAL_JUNCTION	518.9031251119176	2.8322037823594748e-213	1.4161018911797374e-211	TRUE
HALLMARK_APICAL_SURFACE	149.50709069603565	9.59743462590296e-94	4.79871731295148e-92	TRUE
HALLMARK_APOPTOSIS	185.41971505672325	4.200761427869807e-110	2.1003807139349033e-108	TRUE
HALLMARK_BILE_ACID_METABOLISM	264.0868667206469	5.0354219830934206e-141	2.5177109915467102e-139	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	218.35567757866852	8.915515494135382e-124	4.457757747067691e-122	TRUE
HALLMARK_COAGULATION	346.289044198169	4.910742543941355e-168	2.4553712719706773e-166	TRUE
HALLMARK_COMPLEMENT	147.41455804675164	9.735208878499113e-93	4.8676044392495566e-91	TRUE
HALLMARK_DNA_REPAIR	129.27156963725307	9.660156943452854e-84	4.830078471726427e-82	TRUE
HALLMARK_E2F_TARGETS	114.08525012657002	8.311122031538862e-76	4.155561015769431e-74	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1074.5387702265077	6.52746817839831e-307	3.263734089199155e-305	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	101.16974776745495	9.711079245120538e-69	4.8555396225602685e-67	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	140.52470402309416	2.2194052467479716e-89	1.109702623373986e-87	TRUE
HALLMARK_FATTY_ACID_METABOLISM	301.7690847832239	5.7083634623603524e-154	2.8541817311801764e-152	TRUE
HALLMARK_G2M_CHECKPOINT	79.9841914063899	1.9473981627840524e-56	9.736990813920263e-55	TRUE
HALLMARK_GLYCOLYSIS	978.5147826647838	3.805075191060549e-294	1.9025375955302745e-292	TRUE
HALLMARK_HEDGEHOG_SIGNALING	388.4885095954374	2.535598158143821e-180	1.2677990790719105e-178	TRUE
HALLMARK_HEME_METABOLISM	77.28463190970889	8.430143057983123e-55	4.2150715289915615e-53	TRUE
HALLMARK_HYPOXIA	87.31964278477737	8.394280213815344e-61	4.197140106907672e-59	TRUE
HALLMARK_IL2_STAT5_SIGNALING	159.40573212419164	2.020421967839803e-98	1.0102109839199015e-96	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	360.29454455311	3.225035737603582e-172	1.612517868801791e-170	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	287.5710451344071	3.2585466233246967e-149	1.6292733116623483e-147	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	132.9784384522061	1.2757591049600683e-85	6.378795524800342e-84	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	278.63805361926126	3.7949166452652067e-146	1.8974583226326033e-144	TRUE
HALLMARK_KRAS_SIGNALING_DN	36.19803004849939	1.1677760789814229e-27	5.838880394907114e-26	TRUE
HALLMARK_KRAS_SIGNALING_UP	33.84090322403304	5.826775613062401e-26	2.9133878065312007e-24	TRUE
HALLMARK_MITOTIC_SPINDLE	105.80135466912499	2.6137059848236277e-71	1.3068529924118138e-69	TRUE
HALLMARK_MTORC1_SIGNALING	100.05703584617216	4.081274544187406e-68	2.0406372720937033e-66	TRUE
HALLMARK_MYC_TARGETS_V1	120.72345419428177	2.5317048708544025e-79	1.2658524354272013e-77	TRUE
HALLMARK_MYC_TARGETS_V2	123.01489450263227	1.6111171246261088e-80	8.055585623130544e-79	TRUE
HALLMARK_MYOGENESIS	541.5012873254298	2.339092204837343e-218	1.1695461024186714e-216	TRUE
HALLMARK_NOTCH_SIGNALING	601.7777720026592	3.5181851890559115e-231	1.7590925945279556e-229	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	183.31785103608058	3.4393821564136008e-109	1.7196910782068004e-107	TRUE
HALLMARK_P53_PATHWAY	69.68096255832596	4.214917709929925e-50	2.1074588549649626e-48	TRUE
HALLMARK_PANCREAS_BETA_CELLS	98.12525488806811	5.00051505343258e-67	2.5002575267162897e-65	TRUE
HALLMARK_PEROXISOME	245.69092594410625	2.6321381809183213e-134	1.3160690904591607e-132	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	19.656111633167118	2.1631866197529483e-15	1.0815933098764741e-13	TRUE
HALLMARK_PROTEIN_SECRETION	216.88611993694624	3.4369346328365044e-123	1.7184673164182523e-121	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	94.53467516990463	5.510833352783781e-65	2.7554166763918906e-63	TRUE
HALLMARK_SPERMATOGENESIS	141.1818457531086	1.0542530004124012e-89	5.271265002062006e-88	TRUE
HALLMARK_TGF_BETA_SIGNALING	78.25701869048238	2.1603269684886136e-55	1.080163484244307e-53	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	324.3641340073867	2.915914414539679e-161	1.4579572072698395e-159	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	145.41786047729846	9.001651156787525e-92	4.500825578393763e-90	TRUE
HALLMARK_UV_RESPONSE_DN	413.8644824963287	2.769891503485537e-187	1.3849457517427686e-185	TRUE
HALLMARK_UV_RESPONSE_UP	62.27360429320732	2.164853354179665e-45	1.0824266770898326e-43	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	248.48962238862381	2.3988200840530908e-135	1.1994100420265453e-133	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	297.52150815711565	1.4616856130092274e-152	7.308428065046137e-151	TRUE
