hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	52.000089966216386	3.633105149301251e-144	1.8165525746506257e-142	TRUE
HALLMARK_ALLOGRAFT_REJECTION	52.08626001056947	2.264548183765347e-144	1.1322740918826736e-142	TRUE
HALLMARK_ANDROGEN_RESPONSE	11.359381629655438	2.6225488279128525e-31	1.3112744139564263e-29	TRUE
HALLMARK_ANGIOGENESIS	151.1227100762582	4e-323	1.976e-321	TRUE
HALLMARK_APICAL_JUNCTION	145.88765524313487	9.41994207e-316	4.7099710325e-314	TRUE
HALLMARK_APICAL_SURFACE	77.6420537046538	2.336531150084224e-200	1.168265575042112e-198	TRUE
HALLMARK_APOPTOSIS	22.759242446383794	1.9138318850461578e-66	9.56915942523079e-65	TRUE
HALLMARK_BILE_ACID_METABOLISM	114.36171496349853	2.485632626202988e-267	1.242816313101494e-265	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	54.78122117567085	9.904826599461895e-151	4.952413299730948e-149	TRUE
HALLMARK_COAGULATION	140.93529064346808	1.349821690475654e-308	6.7491084523782685e-307	TRUE
HALLMARK_COMPLEMENT	34.27478444100891	4.1610211029073335e-99	2.0805105514536667e-97	TRUE
HALLMARK_DNA_REPAIR	24.847126480926885	1.392998163874288e-72	6.96499081937144e-71	TRUE
HALLMARK_E2F_TARGETS	123.38927159072597	6.268432780130901e-282	3.1342163900654503e-280	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	143.18282318434217	7.30310228152e-312	3.651551140759e-310	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	136.2169434208796	1.2425506769515344e-301	6.212753384757673e-300	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	102.50812471194041	3.861913244442637e-247	1.9309566222213182e-245	TRUE
HALLMARK_FATTY_ACID_METABOLISM	26.13988432145745	2.4668934247605173e-76	1.2334467123802585e-74	TRUE
HALLMARK_G2M_CHECKPOINT	145.91415928464852	8.63296545e-316	4.3164827255e-314	TRUE
HALLMARK_GLYCOLYSIS	52.068001957231886	2.5030544481395217e-144	1.2515272240697608e-142	TRUE
HALLMARK_HEDGEHOG_SIGNALING	224.92169264117115	0	0	TRUE
HALLMARK_HEME_METABOLISM	12.512310676651909	5.737007227959851e-35	2.8685036139799256e-33	TRUE
HALLMARK_HYPOXIA	62.204969335410674	1.1720054126503141e-167	5.86002706325157e-166	TRUE
HALLMARK_IL2_STAT5_SIGNALING	26.11303031874188	2.9492258969802805e-76	1.4746129484901402e-74	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	32.92506170810538	1.9951593083853532e-95	9.975796541926766e-94	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	41.01921330419552	6.0183219187996666e-117	3.0091609593998334e-115	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	32.351145087093	7.527058928805745e-94	3.763529464402873e-92	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	27.64763585111613	1.1564738393349898e-80	5.782369196674949e-79	TRUE
HALLMARK_KRAS_SIGNALING_DN	76.70375730446283	1.8541524181237378e-198	9.270762090618688e-197	TRUE
HALLMARK_KRAS_SIGNALING_UP	58.47223539822504	2.9823272003085707e-159	1.4911636001542852e-157	TRUE
HALLMARK_MITOTIC_SPINDLE	54.87932031445038	5.842369730265246e-151	2.921184865132623e-149	TRUE
HALLMARK_MTORC1_SIGNALING	5.757678783005595	1.5814717099696078e-13	7.907358549848038e-12	TRUE
HALLMARK_MYC_TARGETS_V1	60.028299332294026	8.813771991087585e-163	4.406885995543793e-161	TRUE
HALLMARK_MYC_TARGETS_V2	49.41910405803268	5.849901194083697e-138	2.9249505970418486e-136	TRUE
HALLMARK_MYOGENESIS	250.82281469050068	0	0	TRUE
HALLMARK_NOTCH_SIGNALING	217.05957713454745	0	0	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	8.405874183653289	6.847065673817484e-22	3.423532836908742e-20	TRUE
HALLMARK_P53_PATHWAY	43.09985664199976	2.8483419898591824e-122	1.4241709949295911e-120	TRUE
HALLMARK_PANCREAS_BETA_CELLS	75.3532006721482	1.0502734874382385e-195	5.2513674371911926e-194	TRUE
HALLMARK_PEROXISOME	38.9428883108482	1.4986320004380944e-111	7.493160002190471e-110	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	5.541457584067145	7.408620482821539e-13	3.704310241410769e-11	TRUE
HALLMARK_PROTEIN_SECRETION	27.156478927672197	2.93648461909647e-79	1.468242309548235e-77	TRUE
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	18.22329934237506	8.901070920013753e-53	4.4505354600068764e-51	TRUE
HALLMARK_SPERMATOGENESIS	88.2823942836427	3.521414292504458e-221	1.760707146252229e-219	TRUE
HALLMARK_TGF_BETA_SIGNALING	42.231234761141806	4.65262467143136e-120	2.32631233571568e-118	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	30.994241684017553	4.285182966107888e-90	2.1425914830539437e-88	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	12.685900086637327	1.6183232564707512e-35	8.091616282353756e-34	TRUE
HALLMARK_UV_RESPONSE_DN	144.08846515034264	3.59883987183e-313	1.7994199359136e-311	TRUE
HALLMARK_UV_RESPONSE_UP	13.464907570865236	5.596919916388408e-38	2.798459958194204e-36	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	83.39546341763304	8.908914579470421e-212	4.45445728973521e-210	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	117.853903110213	4.702635093400524e-273	2.351317546700262e-271	TRUE
