hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	11.349706551881674	6.051973607225971e-69	3.0259868036129855e-67	TRUE
HALLMARK_ALLOGRAFT_REJECTION	14.927335036755787	1.4317656008197246e-90	7.158828004098623e-89	TRUE
HALLMARK_ANDROGEN_RESPONSE	12.982399646621662	4.497134353065214e-79	2.248567176532607e-77	TRUE
HALLMARK_ANGIOGENESIS	9.99961682467442	3.171276034631343e-60	1.5856380173156714e-58	TRUE
HALLMARK_APICAL_JUNCTION	15.059204157010452	2.4992973475902205e-91	1.2496486737951102e-89	TRUE
HALLMARK_APICAL_SURFACE	20.948024201892302	1.1040374440869412e-122	5.520187220434706e-121	TRUE
HALLMARK_APOPTOSIS	15.113965007042035	1.2128378249178362e-91	6.064189124589181e-90	TRUE
HALLMARK_BILE_ACID_METABOLISM	21.92611159296878	1.8335555593873347e-127	9.167777796936674e-126	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	13.772970460291406	8.072139006614002e-84	4.036069503307001e-82	TRUE
HALLMARK_COAGULATION	17.29945841786661	8.187400490724138e-104	4.093700245362069e-102	TRUE
HALLMARK_COMPLEMENT	19.227214789546256	5.3748506600536804e-114	2.6874253300268403e-112	TRUE
HALLMARK_DNA_REPAIR	6.96055365475279	1.8016203476297833e-39	9.008101738148916e-38	TRUE
HALLMARK_E2F_TARGETS	25.830805987644403	1.665021477847859e-145	8.325107389239295e-144	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	11.702689582137474	3.580304340630164e-71	1.790152170315082e-69	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	18.065490664741414	6.417843172308526e-108	3.208921586154263e-106	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	15.07400710741492	2.055362064013071e-91	1.0276810320065355e-89	TRUE
HALLMARK_FATTY_ACID_METABOLISM	11.777504471955947	1.2145821902549362e-71	6.072910951274681e-70	TRUE
HALLMARK_G2M_CHECKPOINT	27.475623396371162	1.1900310410561006e-152	5.950155205280503e-151	TRUE
HALLMARK_GLYCOLYSIS	7.161998036344204	6.843838821568243e-41	3.4219194107841215e-39	TRUE
HALLMARK_HEDGEHOG_SIGNALING	11.168127298570953	8.63581731263885e-68	4.3179086563194253e-66	TRUE
HALLMARK_HEME_METABOLISM	10.849160149460545	9.503656848482403e-66	4.7518284242412016e-64	TRUE
HALLMARK_HYPOXIA	12.010042241208929	4.277816647841495e-73	2.1389083239207475e-71	TRUE
HALLMARK_IL2_STAT5_SIGNALING	17.186883132392058	3.3367603238008474e-103	1.668380161900424e-101	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	16.628201564694557	3.7827249380978833e-100	1.8913624690489417e-98	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	17.890757280822967	5.456156887247816e-107	2.7280784436239077e-105	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	18.151117684151803	2.2562825521511877e-108	1.128141276075594e-106	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	17.68351295548611	6.993363545881549e-106	3.4966817729407745e-104	TRUE
HALLMARK_KRAS_SIGNALING_DN	8.000917428806416	9.625802084497788e-47	4.812901042248894e-45	TRUE
HALLMARK_KRAS_SIGNALING_UP	17.771467186044408	2.3649623345454146e-106	1.1824811672727072e-104	TRUE
HALLMARK_MITOTIC_SPINDLE	9.79836811144646	6.729089947779362e-59	3.3645449738896806e-57	TRUE
HALLMARK_MTORC1_SIGNALING	5.777139646766107	4.980109762061788e-31	2.490054881030894e-29	TRUE
HALLMARK_MYC_TARGETS_V1	9.33869918086955	7.664786523482605e-56	3.8323932617413026e-54	TRUE
HALLMARK_MYC_TARGETS_V2	10.793397006931498	2.1707522809892068e-65	1.0853761404946034e-63	TRUE
HALLMARK_MYOGENESIS	22.10838462743934	2.425024255807778e-128	1.2125121279038892e-126	TRUE
HALLMARK_NOTCH_SIGNALING	17.276149228464664	1.0948168606782843e-103	5.474084303391422e-102	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.0906403723369325	6.876343564755769e-19	3.438171782377884e-17	TRUE
HALLMARK_P53_PATHWAY	16.132717523297995	2.1088040611322385e-97	1.0544020305661193e-95	TRUE
HALLMARK_PANCREAS_BETA_CELLS	7.11876212631551	1.3793778332141216e-40	6.896889166070608e-39	TRUE
HALLMARK_PEROXISOME	8.955478797804393	2.886488849059546e-53	1.4432444245297728e-51	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	6.625421445711007	4.270233858376679e-37	2.1351169291883394e-35	TRUE
HALLMARK_PROTEIN_SECRETION	9.038482542314284	7.949304213982129e-54	3.9746521069910646e-52	TRUE
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	8.016302459340595	7.535736409451542e-47	3.767868204725771e-45	TRUE
HALLMARK_SPERMATOGENESIS	21.183196425844038	7.648579313990103e-124	3.8242896569950514e-122	TRUE
HALLMARK_TGF_BETA_SIGNALING	10.66869984175742	1.382672653901642e-64	6.91336326950821e-63	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	13.372622986541643	1.984644657685372e-81	9.92322328842686e-80	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	4.654470439859139	6.17745783203533e-23	3.088728916017665e-21	TRUE
HALLMARK_UV_RESPONSE_DN	14.190861460359251	2.7470965586519824e-86	1.3735482793259911e-84	TRUE
HALLMARK_UV_RESPONSE_UP	5.388438175828852	3.1360913264003788e-28	1.5680456632001894e-26	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	4.206501518275378	1.0213452789933152e-19	5.106726394966576e-18	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	21.553937046400097	1.1721129655433547e-125	5.8605648277167734e-124	TRUE
