hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	High-grade glioma/astrocytoma-Diffuse midline glioma	0.08257964065683743	0.619094567864747	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.060609460736035126	0.6099125669113201	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.03748254318015985	0.8322661915209003	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.08841259018965708	0.7436404932970255	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	High-grade glioma/astrocytoma-Diffuse midline glioma	0.01470481781206362	0.9059761772141489	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	High-grade glioma/astrocytoma-Diffuse midline glioma	0.0819629364331227	0.6486102203855137	1	FALSE	FALSE
HALLMARK_APOPTOSIS	High-grade glioma/astrocytoma-Diffuse midline glioma	0.01948093409509627	0.9209707603227073	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.16030200178065693	0.13083411360346875	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.06780624970205142	0.6384379382698866	1	FALSE	FALSE
HALLMARK_COAGULATION	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.039287651212676605	0.7990399232613635	1	FALSE	FALSE
HALLMARK_COMPLEMENT	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.10424754901586147	0.5338440237266702	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	High-grade glioma/astrocytoma-Diffuse midline glioma	0.30278613179788816	0.19000399514835942	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	High-grade glioma/astrocytoma-Diffuse midline glioma	0.25016710654374796	0.3868154379741474	1	FALSE	FALSE
