hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.229235318089232	0.03564007043320405	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.3357210676048511	0.018327810395251665	0.9163905197625832	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.28124592209315685	0.008631047269250902	0.4315523634625451	TRUE	FALSE
HALLMARK_ANGIOGENESIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.14364135478611767	0.3461681905887025	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.12973025503837896	0.09593500981626646	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.08761636735845954	0.31845980837527055	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.27592623060001736	0.01888012569293973	0.9440062846469865	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.29362322266065233	0.0011829353241358254	0.05914676620679127	TRUE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.2862291115843122	0.008879627554576497	0.44398137772882484	TRUE	FALSE
HALLMARK_COAGULATION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.3192100328704826	0.004655324092756485	0.23276620463782427	TRUE	FALSE
HALLMARK_COMPLEMENT	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.3808734049925192	0.0018449759207209704	0.09224879603604852	TRUE	FALSE
HALLMARK_DNA_REPAIR	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.30264014605901624	0.03092765166153988	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.5564548062524896	0.0037209103097700647	0.18604551548850323	TRUE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.15229821631638607	0.2955698606865853	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.26351673241678486	0.0030188814626168625	0.15094407313084313	TRUE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.2282612872848709	0.005642490768639985	0.28212453843199925	TRUE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.1654349324507392	0.06860147486993251	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.45371133856157386	0.012643061746143713	0.6321530873071857	FALSE	FALSE
HALLMARK_GLYCOLYSIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.0017683525527654384	0.9868593912960602	1	FALSE	FALSE
HALLMARK_HEDGEHOG_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.09003618214348785	0.3343113240212189	1	FALSE	FALSE
HALLMARK_HEME_METABOLISM	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.2510183014684893	0.0019387329044981971	0.09693664522490986	TRUE	FALSE
