hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	Mesenchymal non-meningothelial tumor-Hematologic malignancy	0.4709339924456381	0	0	TRUE	TRUE
HALLMARK_ADIPOGENESIS	Renal tumor-Hematologic malignancy	0.3439786681678204	0	0	TRUE	TRUE
HALLMARK_ADIPOGENESIS	Renal tumor-Mesenchymal non-meningothelial tumor	-0.1269553242778177	3.1841207197569332e-6	1.5920603598784666e-4	TRUE	TRUE
HALLMARK_ALLOGRAFT_REJECTION	Mesenchymal non-meningothelial tumor-Hematologic malignancy	-0.41523135323432175	0	0	TRUE	TRUE
HALLMARK_ALLOGRAFT_REJECTION	Renal tumor-Hematologic malignancy	-0.6605363706747149	0	0	TRUE	TRUE
HALLMARK_ALLOGRAFT_REJECTION	Renal tumor-Mesenchymal non-meningothelial tumor	-0.24530501744039315	0	0	TRUE	TRUE
HALLMARK_ANDROGEN_RESPONSE	Mesenchymal non-meningothelial tumor-Hematologic malignancy	0.2593569749221447	0	0	TRUE	TRUE
HALLMARK_ANDROGEN_RESPONSE	Renal tumor-Hematologic malignancy	0.08420133347508621	8.756641189933134e-8	4.378320594966567e-6	TRUE	TRUE
HALLMARK_ANDROGEN_RESPONSE	Renal tumor-Mesenchymal non-meningothelial tumor	-0.1751556414470585	0	0	TRUE	TRUE
HALLMARK_ANGIOGENESIS	Mesenchymal non-meningothelial tumor-Hematologic malignancy	0.7558521509651668	0	0	TRUE	TRUE
HALLMARK_ANGIOGENESIS	Renal tumor-Hematologic malignancy	0.5244853716396871	0	0	TRUE	TRUE
HALLMARK_ANGIOGENESIS	Renal tumor-Mesenchymal non-meningothelial tumor	-0.23136677932547967	0	0	TRUE	TRUE
HALLMARK_APICAL_JUNCTION	Mesenchymal non-meningothelial tumor-Hematologic malignancy	0.49452755834429973	0	0	TRUE	TRUE
HALLMARK_APICAL_JUNCTION	Renal tumor-Hematologic malignancy	0.38386749216199134	0	0	TRUE	TRUE
HALLMARK_APICAL_JUNCTION	Renal tumor-Mesenchymal non-meningothelial tumor	-0.11066006618230839	0	0	TRUE	TRUE
HALLMARK_APICAL_SURFACE	Mesenchymal non-meningothelial tumor-Hematologic malignancy	0.31682062499929264	0	0	TRUE	TRUE
HALLMARK_APICAL_SURFACE	Renal tumor-Hematologic malignancy	0.2750841339141603	0	0	TRUE	TRUE
