gene_symbol	ensembl
DDX11L1	ENSG00000223972
WASH7P	ENSG00000227232
MIR6859-1	ENSG00000278267
MIR1302-2HG	ENSG00000243485
MIR1302-2	ENSG00000284332
FAM138A	ENSG00000237613
OR4G4P	ENSG00000268020
OR4G11P	ENSG00000240361
OR4F5	ENSG00000186092
AL627309.1	ENSG00000238009
AL627309.3	ENSG00000239945
CICP27	ENSG00000233750
AL627309.6	ENSG00000268903
AL627309.7	ENSG00000269981
AL627309.2	ENSG00000239906
AL627309.5	ENSG00000241860
RNU6-1100P	ENSG00000222623
AL627309.4	ENSG00000241599
FO538757.1	ENSG00000279928
WASH9P	ENSG00000279457
MIR6859-2	ENSG00000273874
AP006222.1	ENSG00000228463
AP006222.2	ENSG00000286448
RPL23AP24	ENSG00000236679
AL732372.1	ENSG00000236601
AL732372.2	ENSG00000237094
WBP1LP7	ENSG00000269732
OR4F29	ENSG00000284733
CICP7	ENSG00000233653
AL732372.3	ENSG00000250575
U6	ENSG00000278757
AL669831.3	ENSG00000230021
AC114498.1	ENSG00000235146
MTND1P23	ENSG00000225972
MTND2P28	ENSG00000225630
MTCO1P12	ENSG00000237973
AC114498.2	ENSG00000278791
MTCO2P12	ENSG00000229344
MTATP8P1	ENSG00000240409
MTATP6P1	ENSG00000248527
MTCO3P12	ENSG00000198744
WBP1LP6	ENSG00000268663
OR4F16	ENSG00000284662
CICP3	ENSG00000229376
AL669831.1	ENSG00000228327
RNU6-1199P	ENSG00000223181
AL669831.2	ENSG00000229905
LINC01409	ENSG00000237491
AL669831.6	ENSG00000285268
AL669831.4	ENSG00000230092
FAM87B	ENSG00000177757
LINC01128	ENSG00000228794
LINC00115	ENSG00000225880
AL669831.7	ENSG00000288531
FAM41C	ENSG00000230368
TUBB8P11	ENSG00000234711
AL669831.5	ENSG00000283040
AL645608.6	ENSG00000272438
AL645608.2	ENSG00000230699
AL645608.4	ENSG00000241180
LINC02593	ENSG00000223764
SAMD11	ENSG00000187634
NOC2L	ENSG00000188976
KLHL17	ENSG00000187961
PLEKHN1	ENSG00000187583
PERM1	ENSG00000187642
AL645608.7	ENSG00000272512
HES4	ENSG00000188290
ISG15	ENSG00000187608
AL645608.3	ENSG00000231702
AL645608.1	ENSG00000224969
AGRN	ENSG00000188157
AL645608.5	ENSG00000242590
AL390719.1	ENSG00000217801
AL645608.8	ENSG00000273443
RNF223	ENSG00000237330
C1orf159	ENSG00000131591
AL390719.3	ENSG00000285812
LINC01342	ENSG00000223823
MIR200B	ENSG00000207730
MIR200A	ENSG00000207607
MIR429	ENSG00000198976
AL390719.2	ENSG00000272141
TTLL10-AS1	ENSG00000205231
TTLL10	ENSG00000162571
TNFRSF18	ENSG00000186891
TNFRSF4	ENSG00000186827
SDF4	ENSG00000078808
B3GALT6	ENSG00000176022
C1QTNF12	ENSG00000184163
AL162741.1	ENSG00000260179
UBE2J2	ENSG00000160087
LINC01786	ENSG00000230415
SCNN1D	ENSG00000162572
ACAP3	ENSG00000131584
MIR6726	ENSG00000278073
PUSL1	ENSG00000169972
INTS11	ENSG00000127054
MIR6727	ENSG00000283712
AL139287.1	ENSG00000240731
CPTP	ENSG00000224051
TAS1R3	ENSG00000169962
DVL1	ENSG00000107404
MIR6808	ENSG00000284372
MXRA8	ENSG00000162576
AURKAIP1	ENSG00000175756
NDUFB4P8	ENSG00000223663
CCNL2	ENSG00000221978
MRPL20-AS1	ENSG00000224870
MRPL20	ENSG00000242485
RN7SL657P	ENSG00000264293
MRPL20-DT	ENSG00000272455
ANKRD65	ENSG00000235098
AL391244.1	ENSG00000225905
TMEM88B	ENSG00000205116
LINC01770	ENSG00000225285
VWA1	ENSG00000179403
ATAD3C	ENSG00000215915
ATAD3B	ENSG00000160072
AL645728.2	ENSG00000284740
ATAD3A	ENSG00000197785
TMEM240	ENSG00000205090
SSU72	ENSG00000160075
AL645728.1	ENSG00000215014
AL691432.3	ENSG00000274481
FNDC10	ENSG00000228594
AL691432.4	ENSG00000286989
AL691432.2	ENSG00000272106
MIB2	ENSG00000197530
MMP23B	ENSG00000189409
CDK11B	ENSG00000248333
FO704657.1	ENSG00000272004
SLC35E2B	ENSG00000189339
AL691432.1	ENSG00000269737
MMP23A	ENSG00000215914
CDK11A	ENSG00000008128
AL031282.2	ENSG00000268575
