gene_symbol	ensembl
DDX11L1	ENSG00000223972
WASH7P	ENSG00000227232
MIR6859-1	ENSG00000278267
RP11-34P13.3	ENSG00000243485
MIR1302-2	ENSG00000284332
FAM138A	ENSG00000237613
OR4G4P	ENSG00000268020
OR4G11P	ENSG00000240361
OR4F5	ENSG00000186092
RP11-34P13.7	ENSG00000238009
RP11-34P13.8	ENSG00000239945
RP11-34P13.10	ENSG00000233750
RP11-34P13.15	ENSG00000268903
RP11-34P13.16	ENSG00000269981
RP11-34P13.14	ENSG00000239906
RP11-34P13.13	ENSG00000241860
RNU6-1100P	ENSG00000222623
RP11-34P13.9	ENSG00000241599
ABC7-43046700E7.1	ENSG00000279928
RP11-34P13.18	ENSG00000279457
MIR6859-2	ENSG00000273874
AP006222.1	ENSG00000228463
RPL23AP24	ENSG00000236679
RP4-669L17.2	ENSG00000236601
RP4-669L17.4	ENSG00000237094
RP4-669L17.6	ENSG00000269732
OR4F29	ENSG00000284733
CICP7	ENSG00000233653
RP4-669L17.8	ENSG00000250575
RF00026	ENSG00000278757
RP11-206L10.17	ENSG00000230021
RP5-857K21.2	ENSG00000235146
RP5-857K21.9	ENSG00000225972
RP5-857K21.8	ENSG00000225630
RP5-857K21.6	ENSG00000237973
MIR6723	ENSG00000278791
RP5-857K21.7	ENSG00000229344
RP5-857K21.14	ENSG00000240409
RP5-857K21.10	ENSG00000248527
RP5-857K21.11	ENSG00000198744
RP5-857K21.12	ENSG00000268663
OR4F16	ENSG00000284662
RP11-206L10.15	ENSG00000229376
RP11-206L10.2	ENSG00000228327
RNU6-1199P	ENSG00000223181
RP11-206L10.4	ENSG00000229905
RP11-206L10.9	ENSG00000237491
RP11-206L10.18	ENSG00000285268
RP11-206L10.8	ENSG00000230092
FAM87B	ENSG00000177757
RP11-206L10.11	ENSG00000228794
NCRNA00115	ENSG00000225880
FAM41C	ENSG00000230368
TUBB8P11	ENSG00000234711
FAM166AP3	ENSG00000283040
RP11-54O7.16	ENSG00000272438
RP11-54O7.1	ENSG00000230699
RP11-54O7.2	ENSG00000241180
RP11-54O7.3	ENSG00000223764
SAMD11	ENSG00000187634
NOC2L	ENSG00000188976
KLHL17	ENSG00000187961
PLEKHN1	ENSG00000187583
PERM1	ENSG00000187642
RP11-54O7.17	ENSG00000272512
HES4	ENSG00000188290
ISG15	ENSG00000187608
RP11-54O7.10	ENSG00000231702
RP11-54O7.11	ENSG00000224969
AGRN	ENSG00000188157
RP11-54O7.14	ENSG00000242590
RP11-465B22.3	ENSG00000217801
RP11-54O7.18	ENSG00000273443
RNF223	ENSG00000237330
C1orf159	ENSG00000131591
RP11-465B22.5	ENSG00000223823
MIR200B	ENSG00000207730
MIR200A	ENSG00000207607
MIR429	ENSG00000198976
RP11-465B22.8	ENSG00000272141
RP11-465B22.6	ENSG00000205231
TTLL10	ENSG00000162571
TNFRSF18	ENSG00000186891
TNFRSF4	ENSG00000186827
SDF4	ENSG00000078808
B3GALT6	ENSG00000176022
C1QTNF12	ENSG00000184163
RP5-902P8.12	ENSG00000260179
UBE2J2	ENSG00000160087
RP5-902P8.10	ENSG00000230415
SCNN1D	ENSG00000162572
ACAP3	ENSG00000131584
MIR6726	ENSG00000278073
PUSL1	ENSG00000169972
INTS11	ENSG00000127054
MIR6727	ENSG00000283712
RP5-890O3.9	ENSG00000240731
CPTP	ENSG00000224051
TAS1R3	ENSG00000169962
DVL1	ENSG00000107404
MIR6808	ENSG00000284372
MXRA8	ENSG00000162576
AURKAIP1	ENSG00000175756
RP5-890O3.3	ENSG00000223663
CCNL2	ENSG00000221978
RP4-758J18.2	ENSG00000224870
MRPL20	ENSG00000242485
RN7SL657P	ENSG00000264293
RP4-758J18.13	ENSG00000272455
ANKRD65	ENSG00000235098
RP4-758J18.7	ENSG00000225905
TMEM88B	ENSG00000205116
RP4-758J18.10	ENSG00000225285
VWA1	ENSG00000179403
ATAD3C	ENSG00000215915
ATAD3B	ENSG00000160072
RP5-832C2.8	ENSG00000284740
ATAD3A	ENSG00000197785
TMEM240	ENSG00000205090
SSU72	ENSG00000160075
RP5-832C2.5	ENSG00000215014
RP11-345P4.11	ENSG00000274481
C1orf233	ENSG00000228594
RP11-345P4.9	ENSG00000272106
MIB2	ENSG00000197530
MMP23B	ENSG00000189409
CDK11B	ENSG00000248333
