ensg_id	gene_symbol	pmtl	version
ENSG00000223972	DDX11L1	NA	NA
ENSG00000227232	WASH7P	NA	NA
ENSG00000278267	MIR6859-1	NA	NA
ENSG00000243485	MIR1302-2HG	NA	NA
ENSG00000284332	MIR1302-2	NA	NA
ENSG00000237613	FAM138A	NA	NA
ENSG00000268020	AL627309.6	NA	NA
ENSG00000240361	OR4G11P	NA	NA
ENSG00000186092	OR4F5	NA	NA
ENSG00000238009	AL627309.1	NA	NA
ENSG00000239945	AL627309.3	NA	NA
ENSG00000233750	CICP27	NA	NA
ENSG00000268903	AL627309.7	NA	NA
ENSG00000269981	AL627309.8	NA	NA
ENSG00000239906	AL627309.2	NA	NA
ENSG00000241860	AL627309.5	NA	NA
ENSG00000222623	RNU6-1100P	NA	NA
ENSG00000241599	AL627309.4	NA	NA
ENSG00000279928	FO538757.2	NA	NA
ENSG00000279457	FO538757.1	NA	NA
ENSG00000273874	MIR6859-2	NA	NA
ENSG00000228463	AP006222.1	NA	NA
ENSG00000236679	RPL23AP24	NA	NA
ENSG00000236601	AL732372.1	NA	NA
ENSG00000237094	AL732372.2	NA	NA
ENSG00000269732	WBP1LP7	NA	NA
ENSG00000284733	OR4F29	NA	NA
ENSG00000233653	CICP7	NA	NA
ENSG00000250575	AL732372.3	NA	NA
ENSG00000278757	U6	NA	NA
ENSG00000230021	AL669831.3	NA	NA
ENSG00000235146	AC114498.1	NA	NA
ENSG00000225972	MTND1P23	NA	NA
ENSG00000225630	MTND2P28	NA	NA
ENSG00000237973	MTCO1P12	NA	NA
ENSG00000278791	MIR6723	NA	NA
ENSG00000229344	MTCO2P12	NA	NA
ENSG00000240409	MTATP8P1	NA	NA
ENSG00000248527	MTATP6P1	NA	NA
ENSG00000198744	MTCO3P12	NA	NA
ENSG00000268663	WBP1LP6	NA	NA
ENSG00000284662	OR4F16	NA	NA
ENSG00000229376	CICP3	NA	NA
ENSG00000228327	AL669831.1	NA	NA
ENSG00000223181	RNU6-1199P	NA	NA
ENSG00000229905	AL669831.2	NA	NA
ENSG00000237491	AL669831.5	NA	NA
ENSG00000230092	AL669831.4	NA	NA
ENSG00000177757	FAM87B	NA	NA
ENSG00000228794	LINC01128	NA	NA
ENSG00000225880	LINC00115	NA	NA
ENSG00000230368	FAM41C	NA	NA
ENSG00000234711	TUBB8P11	NA	NA
ENSG00000283040	AL669831.6	NA	NA
ENSG00000272438	AL645608.7	NA	NA
ENSG00000230699	AL645608.3	NA	NA
ENSG00000241180	AL645608.5	NA	NA
ENSG00000223764	AL645608.1	NA	NA
ENSG00000187634	SAMD11	NA	NA
ENSG00000188976	NOC2L	NA	NA
ENSG00000187961	KLHL17	NA	NA
ENSG00000187583	PLEKHN1	NA	NA
ENSG00000187642	PERM1	NA	NA
ENSG00000272512	AL645608.8	NA	NA
ENSG00000188290	HES4	NA	NA
ENSG00000187608	ISG15	NA	NA
ENSG00000231702	AL645608.4	NA	NA
ENSG00000224969	AL645608.2	NA	NA
ENSG00000188157	AGRN	NA	NA
ENSG00000242590	AL645608.6	NA	NA
ENSG00000217801	AL390719.1	NA	NA
ENSG00000273443	AL645608.9	NA	NA
ENSG00000237330	RNF223	NA	NA
ENSG00000131591	C1orf159	NA	NA
ENSG00000223823	LINC01342	NA	NA
ENSG00000207730	MIR200B	NA	NA
ENSG00000207607	MIR200A	NA	NA
ENSG00000198976	MIR429	NA	NA
ENSG00000272141	AL390719.2	NA	NA
ENSG00000205231	TTLL10-AS1	NA	NA
ENSG00000162571	TTLL10	NA	NA
ENSG00000186891	TNFRSF18	NA	NA
ENSG00000186827	TNFRSF4	Relevant Molecular Target	PMTL version 1.1
ENSG00000078808	SDF4	NA	NA
