stripped_subtype	cancer_group
Abdominal inflammatory myofibroblastic tumor	NA
Acute Promyelocytic Leukemia	Acute Myeloid Leukemia
Adamantinomatous craniopharyngioma	Adamantinomatous Craniopharyngioma
Adenoma	NA
Adrenal mass	NA
Anaplastic (malignant) meningioma	Meningioma
Aneurismal bone cyst (abc) with col1a1-usp6 fusion	NA
Aplastic anemia	NA
Arteriovenous malformation	NA
Atypical choroid plexus papilloma	NA
Atypical lymphoid infiltrate	NA
Atypical meningioma	Meningioma
Atypical Teratoid Rhabdoid Tumor (ATRT)	Atypical Teratoid Rhabdoid Tumor
Atypical vascular lesion	NA
Benign Vascular Neoplasm	NA
Bone marrow cellularity	NA
Bone marrow failure	NA
Brain Lower Grade Glioma	Low-grade glioma/astrocytoma
Brainstem glioma- Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma
Cavernoma;Ependymoma	NA
Choroid plexus papilloma	NA
Chronic myeloid leukemia pathway	NA
Clear cell meningioma	Meningioma
Clear Cell Sarcoma of the Kidney	Clear cell sarcoma of the kidney
congenital malignant brain tumor	High-grade glioma/astrocytoma
Cranial fasciitis	NA
Cyst	NA
Dermoid cyst	NA
Dermoid inclusion cyst	NA
Dysembryoplastic neuroepithelial tumor (DNET)	Dysembryoplastic neuroepithelial tumor
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	NA
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	NA
Dysplasia/Gliosis	NA
Dysplasia/Gliosis;Low-grade glioma/astrocytoma (WHO grade I/II)	NA
Embryonal Tumor with Multilayered Rosettes (ETMR)	Embryonal tumor with multilayer rosettes
Ependymoma;Metastatic secondary tumors	NA
Epidermoid cyst	NA
Epilepsy	NA
Fibroma	NA
Fibromixoid lesion	Fibromyxoid lesion
Fibrous dysplasia	NA
Ganglioglioma;Low-grade glioma/astrocytoma (WHO grade I/II)	NA
Glioblastoma Multiforme Pathway	NA
Gliomatosis cerebri	Gliomatosis Cerebri
Glioneuronal tumor	Glial-neuronal tumor NOS
Hamartoma	NA
Hamartomatous lesion	NA
Hemangioma	NA
High Grade Sarcoma	Sarcoma
High-grade glioma/astrocytoma (WHO grade III/IV)	High-grade glioma/astrocytoma
Histiocytic Tumor	Histiocytic tumor
Hypocellular bone marrow	NA
Hypophyseal stalk thickening	NA
Igg4 pseudotumor inflammatory disorder	NA
Inclusion cyst	NA
Inflammatory lesion	NA
Ini-1 negative tumor cells surrounded by reactive astrocytes most c/w metastatic malignant rhabdoid tumor	NA
Juvenile Xanthogranuloma	Juvenile xanthogranuloma
Kidney Chromophobe	Chromophobe renal cell carcinoma
Kidney Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma
Kidney Renal Papillary Cell Carcinoma	Renal Papillary Cell Carcinoma
Klippel-trenaunay-weber syndrome	NA
Lipoblastoma	NA
Lipoma	NA
Low-grade glioma/astrocytoma (WHO grade I/II)	Low-grade glioma/astrocytoma
Lymphadenitis	NA
Malignant peripheral nerve sheath tumor (MPNST)	Malignant peripheral nerve sheath tumor
Malignant peripheral nerve sheath tumor (MPNST);Neurofibroma/Plexiform	NA
Melanocytoma	Melanocytic tumor
Meningioangiomatosis	NA
Meningioma;Neurofibroma/Plexiform	NA
Meningothelial meningioma	Meningioma
Mixed Lineage Leukemia	Acute Lymphoblastic Leukemia
Myelodysplastic syndrome	NA
Myofibroblastic tumor	Inflammatory Myofibroblastic Tumor
Myxoid spindle cell tumor	NA
Necrotizing myelopathy	NA
Neuroblastic tumor	NA
Neuroendocrine carcinoma	NA
Neutropenia	NA
Nodular fasciitis	NA
Non-cancer diagnosis	NA
Non-germinomatous germ cell tumor;Teratoma	NA
Noonan syndrome	NA
Not Reported	NA
Ossifying fibroma	NA
Osteoblastoma	NA
Ovarian sertoli-leydig cell tumor	NA
Paraganglioma	NA
Perineuroma	NA
Pleuropulmonary blastoma	NA
Portions of white matter with a few reactive astrocytes and rare cells with mild atypia	NA
Primary myelofibrosis	NA
Prolactinoma	NA
Rathke cleft cyst	NA
Reactive connective tissue	NA
Recurrent primary mediastinal (thymic) large b-cell lymphoma	NA
Retinal neuroblastoma	NA
Rosai-dorfman	Rosai-Dorfman disease
Shwachman-diamond syndrome	NA
Solid pseudopapillary neoplasm of the pancreas	NA
Spindle cell neoplasm	NA
Spinocerebellar ataxia type 7	NA
Subependymal Giant Cell Astrocytoma (SEGA)	Subependymal Giant Cell Astrocytoma
Supratentorial or Spinal Cord PNET	CNS Embryonal tumor
Therapy-Related Acute Myeloid Leukemia	Acute Myeloid Leukemia
Thrombocytopenia	NA
Thrombocytosis	NA
Type ii pleuropulmonary blastoma	NA
Undifferentiated malignant neoplasm	NA
Vascular malformation	NA
Wilms Tumor	Wilms tumor
