cancer_group	tumor_descriptor	n
Acute Lymphoblastic Leukemia	Primary Tumor	1294
Acute Lymphoblastic Leukemia	Recurrence	109
Acute Myeloid Leukemia	Primary Tumor	517
Acute Myeloid Leukemia	Progressive	4
Acute Myeloid Leukemia	Recurrence	90
Acute Myeloid Leukemia	Second Malignancy	4
Adenocarcinoma	Primary Tumor	4
Anaplastic Large Cell Lymphoma	Primary Tumor	4
Angiosarcoma	Primary Tumor	2
Atypical Teratoid Rhabdoid Tumor	Initial CNS Tumor	90
Atypical Teratoid Rhabdoid Tumor	Progressive	30
Atypical Teratoid Rhabdoid Tumor	Recurrence	3
B Acute Lymphoblastic Leukemia/Lymphoma	Not Reported	2
B Acute Lymphoblastic Leukemia/Lymphoma	Primary Tumor	92
B Acute Lymphoblastic Leukemia/Lymphoma	Progressive	2
B Acute Lymphoblastic Leukemia/Lymphoma	Recurrence	80
Burkitt Leukemia/Lymphoma	Primary Tumor	8
Cavernoma	Initial CNS Tumor	5
Cavernoma	Second Malignancy	1
Chordoma	Initial CNS Tumor	13
Chordoma	Progressive	10
Chordoma	Recurrence	3
Choroid plexus carcinoma	Initial CNS Tumor	19
Chronic Myelogenous Leukemia	Primary Tumor	4
CIC-DUX4 Sarcoma	Primary Tumor	2
Clear Cell Sarcoma of the Kidney	Primary Tumor	24
CNS Burkitt's lymphoma	Initial CNS Tumor	2
CNS Embryonal tumor	Initial CNS Tumor	16
CNS Embryonal tumor	Progressive	5
CNS Embryonal tumor	Recurrence	2
CNS neuroblastoma	Initial CNS Tumor	4
CNS neuroblastoma	Recurrence	1
Craniopharyngioma	Initial CNS Tumor	107
Craniopharyngioma	Progressive	20
Craniopharyngioma	Recurrence	12
Desmoplastic infantile astrocytoma and ganglioglioma	Initial CNS Tumor	2
Desmoplastic infantile astrocytoma and ganglioglioma	Progressive	4
Diffuse fibrillary astrocytoma	Initial CNS Tumor	8
Diffuse fibrillary astrocytoma	Recurrence	2
Diffuse intrinsic pontine glioma	Initial CNS Tumor	53
Diffuse intrinsic pontine glioma	Progressive	19
Diffuse leptomeningeal glioneuronal tumor	Progressive	2
Diffuse midline glioma	Initial CNS Tumor	131
Diffuse midline glioma	Progressive	27
Diffuse midline glioma	Progressive Disease Post-Mortem	11
Diffuse midline glioma	Recurrence	2
Dysembryoplastic neuroepithelial tumor	Initial CNS Tumor	79
Dysembryoplastic neuroepithelial tumor	Primary Tumor	2
Dysembryoplastic neuroepithelial tumor	Progressive	15
Dysembryoplastic neuroepithelial tumor	Recurrence	9
Dysgerminoma	Primary Tumor	2
Embryonal Tumor NOS	Primary Tumor	2
Embryonal tumor with multilayer rosettes	Initial CNS Tumor	6
Embryonal tumor with multilayer rosettes	Progressive	3
Embryonal tumor with multilayer rosettes	Recurrence	2
Ependymoma	Initial CNS Tumor	347
Ependymoma	Progressive	77
Ependymoma	Recurrence	79
Ependymoma	Second Malignancy	1
Ependymoma	Unavailable	2
Ewing sarcoma	Initial CNS Tumor	28
Ewing sarcoma	Primary Tumor	6
Ewing sarcoma	Progressive	10
Ewing sarcoma	Recurrence	6
Ganglioglioma	Initial CNS Tumor	150
Ganglioglioma	Progressive	30
Ganglioglioma	Recurrence	14
Ganglioneuroblastoma	Initial CNS Tumor	7
Ganglioneuroblastoma	Primary Tumor	180
Ganglioneuroblastoma	Recurrence	3
Ganglioneuroma	Primary Tumor	6
