Disease	current_cohort	previous_cohort
Acute Lymphoblastic Leukemia	All Cohorts	All Cohorts
Acute Myeloid Leukemia	All Cohorts	All Cohorts
Adamantinomatous Craniopharyngioma	All Cohorts	NA
Atypical Teratoid Rhabdoid Tumor	All Cohorts	All Cohorts
Chordoma	All Cohorts	All Cohorts
Choroid plexus carcinoma	All Cohorts	All Cohorts
Clear cell sarcoma of the kidney	All Cohorts	All Cohorts
CNS Embryonal tumor	All Cohorts	All Cohorts
Craniopharyngioma	All Cohorts	All Cohorts
Diffuse fibrillary astrocytoma	All Cohorts	NA
Diffuse midline glioma	All Cohorts	All Cohorts
Dysembryoplastic neuroepithelial tumor	All Cohorts	All Cohorts
Embryonal tumor with multilayer rosettes	All Cohorts	All Cohorts
Ependymoma	All Cohorts	All Cohorts
Ewing sarcoma	All Cohorts	All Cohorts
Ganglioglioma	All Cohorts	All Cohorts
Ganglioneuroblastoma	All Cohorts	NA
Germinoma	All Cohorts	All Cohorts
Glial-neuronal tumor NOS	All Cohorts	All Cohorts
High-grade glioma/astrocytoma	All Cohorts	All Cohorts
Langerhans Cell histiocytosis	All Cohorts	All Cohorts
Low-grade glioma/astrocytoma	All Cohorts	All Cohorts
Medulloblastoma	All Cohorts	All Cohorts
Meningioma	All Cohorts	All Cohorts
Metastatic secondary tumors	All Cohorts	All Cohorts
Neuroblastoma	All Cohorts	All Cohorts
Neurofibroma/Plexiform	All Cohorts	All Cohorts
Osteosarcoma	All Cohorts	All Cohorts
Pilocytic astrocytoma	All Cohorts	NA
Pineoblastoma	All Cohorts	All Cohorts
Pleomorphic xanthoastrocytoma	All Cohorts	NA
Rhabdoid tumor of the kidney	All Cohorts	NA
Sarcoma	All Cohorts	All Cohorts
Schwannoma	All Cohorts	All Cohorts
Subependymal Giant Cell Astrocytoma	All Cohorts	All Cohorts
Teratoma	All Cohorts	All Cohorts
Wilms tumor	All Cohorts	All Cohorts
Adenoma	NA	All Cohorts
Choroid plexus papilloma	NA	All Cohorts
Diffuse intrinsic pontine glioma	NA	All Cohorts
Rhabdoid tumor	NA	All Cohorts
