Disease	current_dataset	previous_dataset
Adamantinomatous Craniopharyngioma	All Cohorts	NA
Diffuse fibrillary astrocytoma	All Cohorts	NA
Ganglioneuroblastoma	All Cohorts	NA
Pilocytic astrocytoma	All Cohorts	NA
Pleomorphic xanthoastrocytoma	All Cohorts	NA
Rhabdoid tumor of the kidney	All Cohorts	NA
Adamantinomatous Craniopharyngioma	PBTA	NA
Diffuse fibrillary astrocytoma	PBTA	NA
Ganglioneuroblastoma	GMKF	NA
Ganglioneuroblastoma	TARGET	NA
Pilocytic astrocytoma	PBTA	NA
Pleomorphic xanthoastrocytoma	PBTA	NA
Rhabdoid tumor of the kidney	TARGET	NA
Adenoma	NA	All Cohorts
Choroid plexus papilloma	NA	All Cohorts
Diffuse intrinsic pontine glioma	NA	All Cohorts
Rhabdoid tumor	NA	All Cohorts
Adenoma	NA	PBTA
Choroid plexus papilloma	NA	PBTA
Diffuse intrinsic pontine glioma	NA	PBTA
Malignant peripheral nerve sheath tumor	NA	PBTA
Rhabdoid tumor	NA	TARGET
