EFO	current_dataset	previous_dataset
EFO_1000069	All Cohorts	NA
Orphanet_251601	All Cohorts	NA
EFO_0000502	All Cohorts	NA
MONDO_0020580	All Cohorts	NA
MONDO_0016691	All Cohorts	NA
MONDO_0016690	All Cohorts	NA
EFO_1000512	All Cohorts	NA
MONDO_0006058	All Cohorts	NA
EFO_1000069	PBTA	NA
Orphanet_251601	PBTA	NA
EFO_0000502	GMKF	NA
EFO_0000502	TARGET	NA
MONDO_0020580	PBTA	NA
MONDO_0016691	PBTA	NA
MONDO_0016690	PBTA	NA
EFO_1000512	TARGET	NA
MONDO_0006058	TARGET	NA
EFO_0000232	NA	All Cohorts
EFO_1000177	NA	All Cohorts
MONDO_0003869	NA	All Cohorts
EFO_0000514	NA	All Cohorts
EFO_0005701	NA	All Cohorts
MONDO_0019004	NA	All Cohorts
EFO_0000232	NA	PBTA
EFO_1000177	NA	PBTA
MONDO_0003869	NA	PBTA
EFO_0000514	NA	PBTA
EFO_0000760	NA	PBTA
EFO_0005701	NA	TARGET
MONDO_0019004	NA	TARGET
