Gene_Ensembl_ID	current_dataset	previous_dataset
ENSG00000211597	NA	All Cohorts
ENSG00000211596	NA	All Cohorts
ENSG00000211594	NA	All Cohorts
ENSG00000211593	NA	All Cohorts
ENSG00000211595	NA	All Cohorts
ENSG00000240041	NA	All Cohorts
ENSG00000210151	NA	All Cohorts
ENSG00000211900	NA	All Cohorts
ENSG00000242887	NA	All Cohorts
ENSG00000242472	NA	All Cohorts
ENSG00000210194	NA	All Cohorts
ENSG00000209082	NA	All Cohorts
ENSG00000211904	NA	All Cohorts
ENSG00000210144	NA	All Cohorts
ENSG00000210100	NA	All Cohorts
ENSG00000211905	NA	All Cohorts
ENSG00000210191	NA	All Cohorts
ENSG00000210077	NA	All Cohorts
ENSG00000210112	NA	All Cohorts
ENSG00000210196	NA	All Cohorts
ENSG00000225851	NA	All Cohorts
ENSG00000210154	NA	All Cohorts
ENSG00000210140	NA	All Cohorts
ENSG00000210195	NA	All Cohorts
ENSG00000210176	NA	All Cohorts
ENSG00000276365	NA	All Cohorts
ENSG00000210049	NA	All Cohorts
ENSG00000211923	NA	All Cohorts
ENSG00000210127	NA	All Cohorts
ENSG00000210135	NA	All Cohorts
ENSG00000210156	NA	All Cohorts
ENSG00000210164	NA	All Cohorts
ENSG00000211930	NA	All Cohorts
ENSG00000210174	NA	All Cohorts
ENSG00000199053	NA	All Cohorts
ENSG00000211911	NA	All Cohorts
ENSG00000284117	NA	All Cohorts
ENSG00000211764	NA	All Cohorts
ENSG00000210184	NA	All Cohorts
ENSG00000211688	NA	All Cohorts
ENSG00000211771	NA	All Cohorts
ENSG00000211691	NA	All Cohorts
ENSG00000210107	NA	All Cohorts
ENSG00000211918	NA	All Cohorts
ENSG00000211767	NA	All Cohorts
ENSG00000284343	NA	All Cohorts
ENSG00000211924	NA	All Cohorts
ENSG00000201273	NA	All Cohorts
ENSG00000210117	NA	All Cohorts
ENSG00000211931	NA	All Cohorts
ENSG00000211692	NA	All Cohorts
ENSG00000211769	NA	All Cohorts
ENSG00000211912	NA	All Cohorts
ENSG00000211917	NA	All Cohorts
ENSG00000284564	NA	All Cohorts
ENSG00000212327	NA	All Cohorts
ENSG00000211765	NA	All Cohorts
ENSG00000211690	NA	All Cohorts
ENSG00000238862	NA	All Cohorts
ENSG00000280904	NA	All Cohorts
ENSG00000266315	NA	All Cohorts
ENSG00000252061	NA	All Cohorts
ENSG00000227800	NA	All Cohorts
ENSG00000207721	NA	All Cohorts
ENSG00000207500	NA	All Cohorts
ENSG00000211682	NA	All Cohorts
ENSG00000211684	NA	All Cohorts
ENSG00000198976	NA	All Cohorts
ENSG00000284595	NA	All Cohorts
ENSG00000274940	NA	All Cohorts
