Gene_symbol	current_dataset	previous_dataset
RLN2	TARGET	NA
PRR4	TARGET	NA
BOLA2B	TARGET	NA
DEFB103A	TARGET	NA
DEFB4B	TARGET	NA
LGALS7B	TARGET	NA
SPDYE16	TARGET	NA
DEFB105B	TARGET	NA
GAGE2A	TARGET	NA
DEFB107B	TARGET	NA
SMN2	TARGET	NA
SERF1B	TARGET	NA
MEF2B	TARGET	NA
LINC00680	TARGET	NA
GAGE12G	TARGET	NA
LINC00598	TARGET	NA
DDX11L1	TARGET	NA
GAGE12J	TARGET	NA
TSBP1-AS1	TARGET	NA
CT47A6	TARGET	NA
LINC00840	TARGET	NA
LINC01320	TARGET	NA
ARL17B	TARGET	NA
LINC00856	TARGET	NA
FAR2P4	TARGET	NA
LINC02802	TARGET	NA
LINC01725	TARGET	NA
CCDC144NL-AS1	TARGET	NA
USP17L4	TARGET	NA
GAGE12F	TARGET	NA
HLA-DQA2	TARGET	NA
SNORA59A	TARGET	NA
LASTR	TARGET	NA
OFD1P6Y	TARGET	NA
DDX11L9	TARGET	NA
FOXL3	TARGET	NA
SLCO1B3-SLCO1B7	TARGET	NA
CSPG4P12	TARGET	NA
ULK4P2	TARGET	NA
LINC02210-CRHR1	TARGET	NA
LINC00683	TARGET	NA
SNHG22	TARGET	NA
LINC02073	TARGET	NA
MTRNR2L12	TARGET	NA
BRI3BPP1	TARGET	NA
TBC1D3L	TARGET	NA
GOLGA6L10	TARGET	NA
PAUPAR	TARGET	NA
IQCJ-SCHIP1	TARGET	NA
EEF1AKMT4	TARGET	NA
TBCE	TARGET	NA
OR11J1P	TARGET	NA
SMIM41	TARGET	NA
LINC02359	TARGET	NA
CCDC39	TARGET	NA
SEPT5-GP1BB	TARGET	NA
EEF1AKMT4-ECE2	TARGET	NA
UPK3BL2	TARGET	NA
SLC7A14-AS1	TARGET	NA
ARHGAP11B	TARGET	NA
OR4H6BP	TARGET	NA
PIGY-DT	TARGET	NA
OR4Q1P	TARGET	NA
RALY-AS1	TARGET	NA
OOSP3	TARGET	NA
DINOL	TARGET	NA
TFAP2A-AS2	TARGET	NA
ABCF2-H2BE1	TARGET	NA
LINC00842	TARGET	NA
LINC02478	TARGET	NA
OR11J6P	TARGET	NA
GABPB1-IT1	TARGET	NA
PDGFRL2P	TARGET	NA
SOD2-OT1	TARGET	NA
TUSC2P2	TARGET	NA
TUSC2P1	TARGET	NA
H2BE1	TARGET	NA
RELA-DT	TARGET	NA
LINC02838	TARGET	NA
LINC02856	TARGET	NA
LINC02834	TARGET	NA
LINC02835	TARGET	NA
LCEP3	TARGET	NA
LINC02849	TARGET	NA
ANAPC1P2	TARGET	NA
GET1-SH3BGR	TARGET	NA
LINC02793	TARGET	NA
LINC02852	TARGET	NA
LINC02858	TARGET	NA
MSANTD5	TARGET	NA
BMP8B-AS1	TARGET	NA
H2AL1SP	TARGET	NA
NIPBL-DT	TARGET	NA
CERNA2	TARGET	NA
H2AQ1P	TARGET	NA
NBEAP6	TARGET	NA
SPDYE15	TARGET	NA
NOTCH2NLB	TARGET	NA
LINC02822	TARGET	NA
PCSEAT	TARGET	NA
SPDYE13	TARGET	NA
LCAL1	TARGET	NA
MAGEA6-DT	TARGET	NA
ASDURF	TARGET	NA
RCAN3AS	TARGET	NA
SPEGNB	TARGET	NA
GPC3-AS1	TARGET	NA
NOTCH2NLR	TARGET	NA
SPDYE14	TARGET	NA
DERPC	TARGET	NA
RNVU1-8	TARGET	NA
NOTCH2NLC	TARGET	NA
SPDYE11	TARGET	NA
ARMCX5-GPRASP2	TARGET	NA
H3C2	TARGET	NA
PARTICL	TARGET	NA
PRSS43P	TARGET	NA
LINC02348	TARGET	NA
LINC01622	TARGET	NA
SMIM40	TARGET	NA
MICB-DT	TARGET	NA
H3C3	TARGET	NA
LINCADL	TARGET	NA
C2orf27A	TARGET	NA
THCAT155	TARGET	NA
PTCSC1	TARGET	NA
FAM242B	TARGET	NA
FAM106C	TARGET	NA
TMX2-CTNND1	TARGET	NA
C3orf36	TARGET	NA
DUS4L-BCAP29	TARGET	NA
C8orf44	TARGET	NA
C8orf44-SGK3	TARGET	NA
SNORA74C-2	TARGET	NA
NPBWR1	TARGET	NA
PDCD6-AHRR	TARGET	NA
LNCDAT	TARGET	NA
CDR1	TARGET	NA
TBCE	PBTA	NA
SEPT5-GP1BB	PBTA	NA
TFAP2A-AS2	PBTA	NA
PDGFRL2P	PBTA	NA
SOD2-OT1	PBTA	NA
LCEP3	PBTA	NA
LINC02849	PBTA	NA
MSANTD5	PBTA	NA
NIPBL-DT	PBTA	NA
NOTCH2NLC	PBTA	NA
H3C2	PBTA	NA
LINC01622	PBTA	NA
H3C3	PBTA	NA
LINCADL	PBTA	NA
PTCSC1	PBTA	NA
C8orf44	PBTA	NA
