Gene_symbol	current_dataset	previous_dataset
IGKJ1	NA	All Cohorts
IGKJ2	NA	All Cohorts
IGKJ4	NA	All Cohorts
IGKJ5	NA	All Cohorts
IGKJ3	NA	All Cohorts
IGHJ4	NA	All Cohorts
MT-TS1	NA	All Cohorts
IGHJ6	NA	All Cohorts
IGHJ3	NA	All Cohorts
IGHJ5	NA	All Cohorts
MT-TE	NA	All Cohorts
MT-TL1	NA	All Cohorts
IGHJ2	NA	All Cohorts
MT-TY	NA	All Cohorts
MT-TI	NA	All Cohorts
IGHJ1	NA	All Cohorts
MT-TL2	NA	All Cohorts
MT-TV	NA	All Cohorts
MT-TM	NA	All Cohorts
MT-TP	NA	All Cohorts
HLA-S	NA	All Cohorts
MT-TD	NA	All Cohorts
MT-TC	NA	All Cohorts
MT-TT	NA	All Cohorts
MT-TH	NA	All Cohorts
MIR145	NA	All Cohorts
MT-TF	NA	All Cohorts
IGHD3-10	NA	All Cohorts
MT-TA	NA	All Cohorts
MT-TN	NA	All Cohorts
MT-TK	NA	All Cohorts
MT-TG	NA	All Cohorts
IGHD3-3	NA	All Cohorts
MT-TR	NA	All Cohorts
MIR324	NA	All Cohorts
IGHD3-22	NA	All Cohorts
MIR6883	NA	All Cohorts
TRBJ2-1	NA	All Cohorts
MT-TS2	NA	All Cohorts
TRGJP2	NA	All Cohorts
TRBJ2-7	NA	All Cohorts
TRGJP	NA	All Cohorts
MT-TQ	NA	All Cohorts
IGHD2-15	NA	All Cohorts
TRBJ2-3	NA	All Cohorts
MIR631	NA	All Cohorts
IGHD3-9	NA	All Cohorts
RNU6-776P	NA	All Cohorts
MT-TW	NA	All Cohorts
IGHD2-2	NA	All Cohorts
TRGJP1	NA	All Cohorts
TRBJ2-5	NA	All Cohorts
IGHD2-21	NA	All Cohorts
IGHD3-16	NA	All Cohorts
MIR3064	NA	All Cohorts
RNU6-882P	NA	All Cohorts
TRBJ2-2	NA	All Cohorts
TRGJ1	NA	All Cohorts
SNORD19B	NA	All Cohorts
MIR4668	NA	All Cohorts
RNU6-415P	NA	All Cohorts
IGHD4-17	NA	All Cohorts
MIR186	NA	All Cohorts
SNORD102	NA	All Cohorts
IGLJ6	NA	All Cohorts
IGLJ7	NA	All Cohorts
MIR429	NA	All Cohorts
MIR6785	NA	All Cohorts
MIR8083	NA	All Cohorts
RNU6-1022P	NA	All Cohorts
MIR4737	NA	All Cohorts
SNORD19	NA	All Cohorts
MIR3164	NA	All Cohorts
IGHD6-19	NA	All Cohorts
RNU6-595P	NA	All Cohorts
MIR3125	NA	All Cohorts
MIR3682	NA	All Cohorts
RNA5SP219	NA	All Cohorts
MIR4742	NA	All Cohorts
RNU6-1098P	NA	All Cohorts
IGHD5-12	NA	All Cohorts
MIR200B	NA	All Cohorts
TRDJ1	NA	All Cohorts
MIR6787	NA	All Cohorts
RNU6-167P	NA	All Cohorts
MIR3671	NA	All Cohorts
SNORD73A	NA	All Cohorts
MIR1539	NA	All Cohorts
MIR6821	NA	All Cohorts
IGHD2-8	NA	All Cohorts
MIR93	NA	All Cohorts
SNORD72	NA	All Cohorts
MIR200A	NA	All Cohorts
RNU5B-4P	NA	All Cohorts
ZNRD1-AS1_2	NA	All Cohorts
SNORD100	NA	All Cohorts
MIR567	NA	All Cohorts
IGHD6-13	NA	All Cohorts
TRBJ2-4	NA	All Cohorts
TRBJ2-6	NA	All Cohorts
MIR5685	NA	All Cohorts
IGHD4-23	NA	All Cohorts
AC004869.2	NA	All Cohorts
RNU6-282P	NA	All Cohorts
MIR6884	NA	All Cohorts
TRAJ4	NA	All Cohorts
SNORD49A	NA	All Cohorts
RNU2-38P	NA	All Cohorts
MIR224	NA	All Cohorts
TRAJ42	NA	All Cohorts
MIR27A	NA	All Cohorts
TRAJ6	NA	All Cohorts
MIR3613	NA	All Cohorts
SNORD26	NA	All Cohorts
MIR208B	NA	All Cohorts
TRAJ52	NA	All Cohorts
TRAJ37	NA	All Cohorts
TRAJ49	NA	All Cohorts
MIR4635	NA	All Cohorts
TRAJ45	NA	All Cohorts
SNORD28	NA	All Cohorts
MIR6503	NA	All Cohorts
