MONDO	current_dataset	previous_dataset
MONDO_0016688	All Cohorts	NA
MONDO_0005035	All Cohorts	NA
MONDO_0020580	All Cohorts	NA
MONDO_0016680	All Cohorts	NA
MONDO_0018310	All Cohorts	NA
MONDO_0016691	All Cohorts	NA
MONDO_0016690	All Cohorts	NA
MONDO_0002729	All Cohorts	NA
MONDO_0016688	PBTA	NA
MONDO_0005035	GMKF	NA
MONDO_0005035	TARGET	NA
MONDO_0020580	PBTA	NA
MONDO_0016680	PBTA	NA
MONDO_0018310	PBTA	NA
MONDO_0016691	PBTA	NA
MONDO_0016690	PBTA	NA
MONDO_0002729	TARGET	NA
MONDO_0002454	NA	All Cohorts
MONDO_0009837	NA	All Cohorts
MONDO_0005040	NA	All Cohorts
MONDO_0100342	NA	All Cohorts
MONDO_0009519	NA	All Cohorts
MONDO_0002728	NA	All Cohorts
MONDO_0002454	NA	PBTA
MONDO_0009837	NA	PBTA
MONDO_0005040	NA	PBTA
MONDO_0100342	NA	PBTA
MONDO_0009519	NA	PBTA
MONDO_0018078	NA	PBTA
MONDO_0002728	NA	TARGET
