Gene_symbol	PMTL	Gene_Ensembl_ID	Disease	EFO	MONDO	n_samples	cohort	tpm_mean	tpm_sd	tpm_mean_gene_wise_zscore	tpm_mean_cancer_group_wise_quantiles
MT-CO3		ENSG00000198938	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	4317.085494505494	2137.469550878862	-0.1964779909525428	Highest expressed 25%
MT-CO2		ENSG00000198712	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3303.8215934065934	1771.552820231399	-0.21714144196739935	Highest expressed 25%
MT-ATP6		ENSG00000198899	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2704.193956043956	1279.815191210777	-0.31677305397903005	Highest expressed 25%
MT-ND4		ENSG00000198886	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3844.08532967033	1807.5991944812095	-0.11902447832874267	Highest expressed 25%
MT-CO1		ENSG00000198804	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	6019.151538461539	2794.8325143123134	-0.020752142839643897	Highest expressed 25%
MT-RNR2		ENSG00000210082	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	16.748736263736262	120.19458544927191	-0.5094552606615134	Highest expressed 25%
MT-CYB		ENSG00000198727	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2004.9264835164836	1055.9585136312019	-0.21353036587528917	Highest expressed 25%
MT-ND2		ENSG00000198763	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2454.9443406593405	1447.8467546038723	-0.17707953713843275	Highest expressed 25%
MT-ND1		ENSG00000198888	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3229.674120879121	1618.5012252838599	0.021608149159884654	Highest expressed 25%
MT-ATP8		ENSG00000228253	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3962.2594505494503	1643.5406657954813	-0.2822717638133534	Highest expressed 25%
MT-ND3		ENSG00000198840	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2624.218791208791	1446.92666308396	-0.166714551921686	Highest expressed 25%
MT-ND4L		ENSG00000212907	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2975.225	1257.5547628661973	-0.031272573581946704	Highest expressed 25%
HBB		ENSG00000244734	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	160.86285714285714	456.0311745505532	-0.3812539545984208	Highest expressed 25%
MT-ND6		ENSG00000198695	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	170.93725274725276	86.36556696422362	-0.3205923066726393	Highest expressed 25%
MT-ND5		ENSG00000198786	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1519.9585164835164	700.6809909171175	0.22966590802382592	Highest expressed 25%
MT-RNR1		ENSG00000211459	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	20.482142857142858	123.93225034912528	-0.504814835729892	Highest expressed 25%
FTL		ENSG00000087086	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	500.8126923076923	338.81556679505775	-0.6256201139590125	Highest expressed 25%
HBA2		ENSG00000188536	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	178.9498901098901	523.4773867278866	-0.37841479487016394	Highest expressed 25%
ACTB		ENSG00000075624	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1125.7136813186812	341.0206997576079	-0.3230854331246047	Highest expressed 25%
MTATP6P1		ENSG00000248527	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	235.33274725274725	136.98804779145794	-0.4530527224919219	Highest expressed 25%
S100A9		ENSG00000163220	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	7.906318681318681	13.539074622057372	-0.26690354442486675	Expression between upper quartile and median
RPS18		ENSG00000231500	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	708.6012637362637	321.9744169189966	-0.3433551689012823	Highest expressed 25%
DES		ENSG00000175084	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2.709175824175824	11.244117375769223	-0.26239029047953144	Expression between upper quartile and median
RPL13A		ENSG00000142541	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	470.685	221.09162544454892	-0.47810630265196535	Highest expressed 25%
RPS12		ENSG00000112306	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	263.03994505494506	109.74769417780509	-0.4168339616861353	Highest expressed 25%
RPS11		ENSG00000142534	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	597.5852197802197	321.13687222153067	-0.37490272188506296	Highest expressed 25%
EEF1A1		ENSG00000156508	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1991.2752747252748	720.5856519761562	-0.2517214648197201	Highest expressed 25%
PRSS2		ENSG00000275896	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	0.1928021978021978	2.2189060453309395	-0.209695981254594	Expression between median and lower quartile
RPLP1		ENSG00000137818	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	215.3512087912088	104.38015279196182	-0.6634583705404555	Highest expressed 25%
IGKC		ENSG00000211592	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	188.7139010989011	632.448218016734	-0.08900404336851843	Highest expressed 25%
RPL10		ENSG00000147403	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	641.8257692307692	283.58311970469816	-0.3073912623327844	Highest expressed 25%
TMSB10		ENSG00000034510	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1005.0780769230769	319.99764109651034	-0.02579108877601663	Highest expressed 25%
ACTA1		ENSG00000143632	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1.856098901098901	15.324763538633357	-0.18292199334598255	Expression between upper quartile and median
KRT10		ENSG00000186395	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	6.542912087912088	3.8900523058829175	-0.37912430148620607	Expression between upper quartile and median
HLA-B		ENSG00000234745	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	209.5321978021978	164.2590626900262	-0.507224724757382	Highest expressed 25%
FTH1		ENSG00000167996	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	599.7374725274725	203.0387470714915	-0.802733911572817	Highest expressed 25%
ACTG1		ENSG00000184009	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	960.7826923076923	312.9195098524581	-0.2404219568800268	Highest expressed 25%
TMSB4X		ENSG00000205542	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	645.6812087912087	253.5119677684777	-0.433026502124226	Highest expressed 25%
