Gene_symbol	PMTL	Gene_Ensembl_ID	Disease	EFO	MONDO	n_samples	cohort	tpm_mean	tpm_sd	tpm_mean_cancer_group_wise_zscore	tpm_mean_cancer_group_wise_quantiles
MT-CO3		ENSG00000198938	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	4317.085494505494	2137.469550878862	4.308814403074127	Highest expressed 25%
MT-CO2		ENSG00000198712	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3303.8215934065934	1771.552820231399	3.2929328337156214	Highest expressed 25%
MT-ATP6		ENSG00000198899	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2704.193956043956	1279.815191210777	2.6917561169550073	Highest expressed 25%
MT-ND4		ENSG00000198886	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3844.08532967033	1807.5991944812095	3.8345922885406325	Highest expressed 25%
MT-CO1		ENSG00000198804	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	6019.151538461539	2794.8325143123134	6.015277568307444	Highest expressed 25%
MT-RNR2		ENSG00000210082	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	16.748736263736262	120.19458544927191	-0.00263185489958888	Highest expressed 25%
MT-CYB		ENSG00000198727	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2004.9264835164836	1055.9585136312019	1.9906821552534668	Highest expressed 25%
MT-ND2		ENSG00000198763	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2454.9443406593405	1447.8467546038723	2.441862589548851	Highest expressed 25%
MT-ND1		ENSG00000198888	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3229.674120879121	1618.5012252838599	3.2185938084394974	Highest expressed 25%
MT-ATP8		ENSG00000228253	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	3962.2594505494503	1643.5406657954813	3.953071700711584	Highest expressed 25%
MT-ND3		ENSG00000198840	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2624.218791208791	1446.92666308396	2.611574344097669	Highest expressed 25%
MT-ND4L		ENSG00000212907	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2975.225	1257.5547628661973	2.9634873431245516	Highest expressed 25%
HBB		ENSG00000244734	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	160.86285714285714	456.0311745505532	0.14185457072617993	Highest expressed 25%
MT-ND6		ENSG00000198695	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	170.93725274725276	86.36556696422362	0.15195499254702294	Highest expressed 25%
MT-ND5		ENSG00000198786	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1519.9585164835164	700.6809909171175	1.5044613208748354	Highest expressed 25%
MT-RNR1		ENSG00000211459	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	20.482142857142858	123.93225034912528	0.0011111965848763635	Highest expressed 25%
FTL		ENSG00000087086	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	500.8126923076923	338.81556679505775	0.4826826330659927	Highest expressed 25%
HBA2		ENSG00000188536	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	178.9498901098901	523.4773867278866	0.15998832977519103	Highest expressed 25%
ACTB		ENSG00000075624	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1125.7136813186812	341.0206997576079	1.1091979927089124	Highest expressed 25%
MTATP6P1		ENSG00000248527	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	235.33274725274725	136.98804779145794	0.21651684651903527	Highest expressed 25%
S100A9		ENSG00000163220	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	7.906318681318681	13.539074622057372	-0.01149711600363845	Expression between upper quartile and median
RPS18		ENSG00000231500	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	708.6012637362637	321.9744169189966	0.6910080059611389	Highest expressed 25%
DES		ENSG00000175084	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	2.709175824175824	11.244117375769223	-0.016707685171422612	Expression between upper quartile and median
RPL13A		ENSG00000142541	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	470.685	221.09162544454892	0.45247710880968023	Highest expressed 25%
RPS12		ENSG00000112306	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	263.03994505494506	109.74769417780509	0.24429562315885944	Highest expressed 25%
RPS11		ENSG00000142534	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	597.5852197802197	321.13687222153067	0.5797051629054176	Highest expressed 25%
EEF1A1		ENSG00000156508	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1991.2752747252748	720.5856519761562	1.9769956798985138	Highest expressed 25%
PRSS2		ENSG00000275896	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	0.1928021978021978	2.2189060453309395	-0.019230559603128312	Expression between median and lower quartile
RPLP1		ENSG00000137818	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	215.3512087912088	104.38015279196182	0.19648368770572852	Highest expressed 25%
IGKC		ENSG00000211592	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	188.7139010989011	632.448218016734	0.16977756513233025	Highest expressed 25%
RPL10		ENSG00000147403	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	641.8257692307692	283.58311970469816	0.62406000349173	Highest expressed 25%
TMSB10		ENSG00000034510	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1005.0780769230769	319.99764109651034	0.9882507380193795	Highest expressed 25%
ACTA1		ENSG00000143632	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	1.856098901098901	15.324763538633357	-0.017562965935356906	Expression between upper quartile and median
KRT10		ENSG00000186395	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	6.542912087912088	3.8900523058829175	-0.01286404482472988	Expression between upper quartile and median
HLA-B		ENSG00000234745	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	209.5321978021978	164.2590626900262	0.1906496438705343	Highest expressed 25%
FTH1		ENSG00000167996	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	599.7374725274725	203.0387470714915	0.5818629757872977	Highest expressed 25%
ACTG1		ENSG00000184009	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	960.7826923076923	312.9195098524581	0.9438409206069428	Highest expressed 25%
TMSB4X		ENSG00000205542	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	645.6812087912087	253.5119677684777	0.6279254032034719	Highest expressed 25%
PRSS1		ENSG00000204983	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	0.27362637362637365	3.5909791879291606	-0.01914952662594505	Expression between median and lower quartile
GAPDH		ENSG00000111640	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	632.8067582417583	258.9446560890131	0.6150176927692801	Highest expressed 25%
RPS16		ENSG00000105193	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	351.8296153846154	177.1203499835755	0.3333146729241839	Highest expressed 25%
RPL19		ENSG00000108298	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	801.9814835164835	306.73904515507786	0.7846294644128721	Highest expressed 25%
RPL3		ENSG00000100316	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	541.7185164835165	205.15724635248978	0.5236941334407438	Highest expressed 25%
RPS27		ENSG00000177954	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	737.298021978022	369.47217355346254	0.7197788994732068	Highest expressed 25%
RPS25		ENSG00000118181	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	162.29862637362638	84.53666366510798	0.14329404912643545	Highest expressed 25%
RPL9		ENSG00000163682	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	356.553021978022	175.11660455011045	0.3380502819768939	Highest expressed 25%
CKM		ENSG00000104879	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	0.8775274725274724	7.527211698383372	-0.018544065407575746	Expression between upper quartile and median
RPL8		ENSG00000161016	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	587.2932417582417	209.35713411909327	0.5693865965640813	Highest expressed 25%
EEF1G		ENSG00000254772	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	398.6342307692308	173.98518820938705	0.3802402034583101	Highest expressed 25%
MYL9		ENSG00000101335	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	34.137912087912085	42.052504133568924	0.014802244160839872	Highest expressed 25%
