Gene_symbol	PMTL	Gene_Ensembl_ID	Disease	EFO	MONDO	n_samples	cohort	tpm_mean	tpm_sd	tpm_mean_gene_wise_zscore	tpm_mean_cancer_group_wise_quantiles
MT-CO3		ENSG00000198938	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	4454.84794258373	2279.67202695009	-0.129175038281287	Highest expressed 25%
MT-CO2		ENSG00000198712	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	3443.53741626794	1879.08931635908	-0.117344753408085	Highest expressed 25%
MT-ATP6		ENSG00000198899	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2814.69282296651	1396.21543591272	-0.235499831261077	Highest expressed 25%
MT-ND4		ENSG00000198886	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	3920.58593301435	1885.00870258887	-0.0497961688692924	Highest expressed 25%
MT-CO1		ENSG00000198804	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	6194.28511961723	2934.34450369065	0.0466927743131737	Highest expressed 25%
MT-RNR2		ENSG00000210082	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	15.2922966507177	112.213967492774	-0.498324369799516	Highest expressed 25%
MT-CYB		ENSG00000198727	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2093.54038277512	1120.40773769266	-0.138311617388019	Highest expressed 25%
MT-ND2		ENSG00000198763	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2541.6923923445	1503.95743521724	-0.0784299894457913	Highest expressed 25%
MT-ND1		ENSG00000198888	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	3276.12746411483	1634.26938465186	0.0902587555058461	Highest expressed 25%
MT-ATP8		ENSG00000228253	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	4015.44	1808.40097277316	-0.248870611083547	Highest expressed 25%
MT-ND3		ENSG00000198840	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2753.51703349282	1631.94739742149	-0.0603074346704866	Highest expressed 25%
MT-ND4L		ENSG00000212907	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2985.32899521531	1316.14397384551	0.0172283200252823	Highest expressed 25%
HBB		ENSG00000244734	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	147.997942583732	429.109405403614	-0.410648697166716	Highest expressed 25%
MT-ND6		ENSG00000198695	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	169.813684210526	89.4263387908418	-0.284916557580815	Highest expressed 25%
