Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	total	Del	CNV_total	MutatedSamples	AlteredSamples
SMARCA4	1	0	0	0	0	5	0	0	6	0	0	4	4
CTNNB1	0	0	0	0	0	3	0	0	3	0	0	3	3
DDX3X	0	0	0	0	0	4	0	0	4	2	2	2	4
TERT	1	0	0	0	0	1	0	0	2	0	0	2	2
ARID1A	0	0	1	0	1	0	0	0	2	0	0	1	1
APC	0	1	0	0	0	0	0	0	1	0	0	1	1
CREBBP	0	0	0	0	0	0	0	1	1	0	0	1	1
FOXO3	0	0	0	0	0	0	1	0	1	0	0	1	1
GSE1	0	0	0	1	0	0	0	0	1	1	1	1	1
KMT2C	0	0	1	0	0	0	0	0	1	0	0	1	1
KMT2D	0	0	0	0	0	1	0	0	1	0	0	1	1
MAP4K4	1	0	0	0	0	0	0	0	1	0	0	1	1
PTEN	1	0	0	0	0	0	0	0	1	0	0	1	1
SMO	0	1	0	0	0	0	0	0	1	0	0	1	1
SYNCRIP	0	1	0	0	0	0	0	0	1	0	0	1	1
BCOR	0	0	0	0	0	0	0	0	0	2	2	0	2
BEND2	0	0	0	0	0	0	0	0	0	2	2	0	2
FOXR2	0	0	0	0	0	0	0	0	0	2	2	0	2
KDM6A	0	0	0	0	0	0	0	0	0	2	2	0	2
MED12	0	0	0	0	0	0	0	0	0	2	2	0	2
ZMYM3	0	0	0	0	0	0	0	0	0	2	2	0	2
