Hugo_Symbol	3'Flank	Fusion	Missense_Mutation	Multi_Hit_Fusion	total	Amp	CNV_total	MutatedSamples	AlteredSamples
ATM	0	4	1	0	5	0	0	2	2
GSE1	0	60	0	20	80	0	0	1	1
SYNCRIP	0	36	0	2	38	0	0	1	1
CREBBP	0	13	0	8	21	0	0	1	1
KMT2C	0	9	0	4	13	0	0	1	1
CDK6	0	11	0	0	11	0	0	1	1
TCF4	0	8	0	3	11	0	0	1	1
DDX3X	0	8	0	0	8	0	0	1	1
BCOR	0	7	0	0	7	0	0	1	1
CTNNB1	0	6	0	0	6	0	0	1	1
SMARCA4	0	6	0	0	6	0	0	1	1
SMARCB1	0	3	0	3	6	0	0	1	1
ARID1A	0	5	0	0	5	0	0	1	1
KDM6A	0	4	0	1	5	0	0	1	1
PTEN	0	5	0	0	5	0	0	1	1
RASSF5	0	4	0	0	4	0	0	1	1
APC	0	3	0	0	3	0	0	1	1
KMT2D	0	3	0	0	3	0	0	1	1
MAP4K4	0	3	0	0	3	0	0	1	1
CENPE	1	1	0	0	2	0	0	1	1
IGFN1	0	0	2	0	2	0	0	1	1
PRKAR1A	0	2	0	0	2	0	0	1	1
ZMYM3	0	2	0	0	2	0	0	1	1
DICER1	0	1	0	0	1	0	0	1	1
FOXO3	0	1	0	0	1	0	0	1	1
IDH1	0	1	0	0	1	0	0	1	1
MSH2	1	0	0	0	1	0	0	1	1
MYCN	0	0	1	0	1	0	0	1	1
PIK3CA	0	1	0	0	1	0	0	1	1
ROS1	0	1	0	0	1	0	0	1	1
TTYH1	0	1	0	0	1	1	1	1	1
MIR1323	0	0	0	0	0	1	1	0	1
MIR512-2	0	0	0	0	0	1	1	0	1
MIR515-2	0	0	0	0	0	1	1	0	1
MIR519C	0	0	0	0	0	1	1	0	1
