gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EEF1A1	135701.20141875313	1.8685136790788393	0.035213097896596254	53.06303025555307	0	0
FN1	51889.16221560521	5.7482143806592765	0.1150224602731102	49.97471247798624	0	0
VIM	44378.940392441145	4.8570978777772	0.11969475905807592	40.57903550664683	0	0
RPLP0	21330.69317199116	1.7934907595819949	0.041239891876201536	43.489220703242715	0	0
SPARC	44046.18508731022	2.5803732458675466	0.06837336782717032	37.73944926027402	0	0
MALAT1	171392.07286949665	3.4061763565141674	0.08959434060282524	38.017762434503126	0	0
A2M	16169.586901738514	3.007552077748065	0.0793511580350523	37.90180448808976	0	0
COL1A2	11129.140534768074	5.8083100202384195	0.1293710273681002	44.89652852266527	0	0
COL1A1	17385.575040645108	7.565898643492554	0.14445167490366992	52.376676480476974	0	0
IGFBP5	18271.080131833955	3.4987525642783113	0.07483824533893056	46.750863123968436	0	0
PGC	138.01675925739707	-6.48609950431434	0.14802810806981068	-43.81667501455513	0	0
RPS2	16043.999636811628	2.088891865673136	0.04564079753872899	45.7680842211529	0	0
TLN1	11418.256808260636	1.6940499231929498	0.04357992107233556	38.8722577166008	0	0
COL3A1	5590.863331479888	6.501639606036046	0.1410576370048486	46.092077990875204	0	0
CALM1	98562.07635400693	-1.7909426204742553	0.040434706665247566	-44.29221251191906	0	0
PABPC1	14805.552625388471	1.654472301956076	0.03897672916411311	42.447694751138634	0	0
COL6A3	2058.629206123564	5.465783151187703	0.13749029633954274	39.753955709641765	0	0
C3	8329.195983184723	4.388869766056296	0.10764325740213365	40.77236114901612	0	0
FLNC	4509.964271480705	4.281682434735485	0.09245437252104004	46.31130273217844	0	0
THBS1	3854.547616192411	5.288882799367414	0.13041256229506232	40.55501024051011	0	0
MEG3	79406.90612161241	-2.947415524036607	0.0704068410447336	-41.86262982831371	0	0
COL4A2	8729.37662561584	4.313495702222532	0.09304089263342934	46.36128889280137	0	0
HLA-A	13487.2086611047	2.528129111857564	0.05243642807441935	48.213221317622306	0	0
CALM2	39669.75633707142	-1.54081918961874	0.03576631484760778	-43.080177429064854	0	0
SRSF5	23811.158982563175	-2.1502912137490378	0.04160076679275278	-51.68873988456476	0	0
MMP2	1727.4243687219268	5.278255888935256	0.09548453892473098	55.27864456774542	0	0
YBX1	11016.84683135494	1.8934401591998313	0.033438000655291594	56.62539990710218	0	0
HSPG2	4950.811562920652	5.2232093805394	0.10851094007053291	48.135325130758936	0	0
SNRNP70	32939.05474040515	-2.221754758374694	0.05040002865727312	-44.08241061692487	0	0
EIF4A2	30284.25469379667	-1.2950570729008126	0.03298145637901029	-39.26621850831909	0	0
PEBP1	35489.45933652543	-1.4837520481976938	0.03548246802841817	-41.81648376345597	0	0
CANX	18863.909467936584	1.4156539497262792	0.030973552855996424	45.70524913005617	0	0
P4HB	9600.49061673951	1.9320032704786287	0.03678612631552528	52.51988899041111	0	0
LPP	3511.773397703792	2.3076185827494	0.05340315084666472	43.21128147242124	0	0
COL4A1	9163.893298489334	5.1667571763690185	0.09816152713254649	52.63525667640032	0	0
PFN1	6403.025976043597	1.656786050572732	0.040474709631524414	40.933858838169805	0	0
LAMC1	5358.354190643787	3.1112227125622027	0.06176950651485916	50.368262401671814	0	0
ITGB1	5608.782778185831	3.6569287892145037	0.06224458830119962	58.7509515127442	0	0
CALR	12003.175081100415	2.323038243188509	0.039201441123147725	59.25900111403807	0	0
TUBB	19666.672399487303	1.4975600111786536	0.03617100308098319	41.40222508692306	0	0
SERPINE1	3561.6678318827926	6.149293393494351	0.15070645948354353	40.80311762725623	0	0
AES	25937.61941651214	-1.333625614615049	0.03457719054522874	-38.56951919996502	0	0
GPI	25385.31959916288	-1.3145601090613623	0.03341067193528085	-39.3455154570902	0	0
TGFBI	2538.971221786979	5.462639117565991	0.11928953328827079	45.7931133351421	0	0
CTNND1	8105.612856088868	1.0860127855903867	0.026143825452979788	41.53993406755271	0	0
STAT3	6862.723830006494	1.4265371426486941	0.03628919088980713	39.31024935167068	0	0
SON	14279.00417269703	1.1160731780495714	0.028506509085355753	39.151520612634954	0	0
GDI1	39936.16991860902	-1.2326953174851	0.02607061942262421	-47.2829316980233	0	0
CD44	5665.068064744945	4.600158168794881	0.10644313393672597	43.21704931695639	0	0
RPL41	11020.256112447327	1.9789401437918617	0.040054977977774624	49.405598097942274	0	0
NISCH	33630.30511574377	-2.490182050012356	0.0537189299352125	-46.355764215996665	0	0
CCDC80	3400.9778817611527	3.73292679310103	0.084186620174535	44.3410934583424	0	0
HBA1	4245.579237909142	6.836534379062259	0.13298640481765434	51.40776900041958	0	0
CALCOCO1	12848.264019473996	-1.7787994595385404	0.042274053014027944	-42.07780737154006	0	0
TSPYL2	24236.26687323937	-3.2743828225894176	0.05073009229244735	-64.54517771647943	0	0
PDIA3	6194.3470717930695	1.3881039577113092	0.0344223650829046	40.32564161027657	0	0
SNAP25	97464.84524641855	-4.917970489224459	0.09391539846135707	-52.365965217599886	0	0
TNC	11485.625788696048	7.934238113456072	0.1394655345812586	56.89031442268803	0	0
PABPN1	16870.504586099978	-1.8692797432573598	0.03408769438372324	-54.83737686142641	0	0
IQGAP1	4401.290801149018	2.2096597724433797	0.0502799278388231	43.94715480751376	0	0
DPYSL3	11140.18788141767	2.9118663728329888	0.07585128156159275	38.389151941598975	0	0
SEC61A1	7553.877810676197	1.4906719851808778	0.03179351663871803	46.88603661306038	0	0
GRN	3625.521478747989	2.1033843366632468	0.0485219707867903	43.3491118055715	0	0
WBP2	21546.28635862653	-1.437479423810218	0.03327038379510377	-43.20597660258324	0	0
NID1	2969.8186593909436	4.203815858613322	0.08053771517725364	52.19686018359521	0	0
MMP14	2953.381940477723	4.5862473302436	0.07860427340702375	58.34603045683508	0	0
SERBP1	7432.424912532258	1.2557524131199858	0.025686542945114618	48.88756014397104	0	0
VAMP2	28892.19576396684	-2.4579926492212953	0.04519698479731059	-54.38399619453279	0	0
LGALS3BP	4954.45230014581	2.7935601580909046	0.06422498230741391	43.49647220951317	0	0
ARGLU1	11963.350121576803	-1.9439140060445956	0.043811547098783106	-44.36990096838167	0	0
SLC25A4	8635.832900494956	-1.8826907072020422	0.03636029024171606	-51.77875904417387	0	0
TMED10	7209.348952532929	1.4847787735506073	0.03492763538166887	42.510142966330505	0	0
SUGP2	20774.934004184863	-1.4431528721097324	0.03530919944041886	-40.87186611367173	0	0
VAT1	3865.355733615684	1.9829236146368925	0.050984788884641634	38.89245514232613	0	0
CHD4	11286.536015555916	1.025349033853382	0.024106390452749926	42.53432449221844	0	0
GABARAPL1	13121.639375901148	-2.145428729058907	0.04309554837465816	-49.78307064124752	0	0
SCARB2	9880.336734040677	1.0707308380194114	0.027252359403567638	39.28947296501751	0	0
KLC1	28131.277856888304	-1.878416485970134	0.03353613906051269	-56.01170971353365	0	0
RNF213	7741.399558421211	2.766435812238826	0.06059142760364358	45.657214587108854	0	0
PPP1R12C	8368.770229306958	-1.6612989647472576	0.03517011126310718	-47.23610205037738	0	0
MAPK8IP3	32458.50887995477	-2.05191152104901	0.0451353723415007	-45.461273821426644	0	0
HNRNPUL1	9364.779315123851	0.9145725547433262	0.02408023157246996	37.98022257347904	0	0
MYL7	88.81651893536223	-5.055171483092999	0.08751264831458935	-57.76503831675546	0	0
CYP17A1	89.62171947023218	-4.55251429575651	0.09224611969071055	-49.351824347956416	0	0
CDC37	8822.648417716578	-1.0260567734018105	0.02715377106489611	-37.78689784743297	0	0
MDH1	12932.35407114283	-2.013218588948618	0.049832759133096156	-40.39950072946191	0	0
TNNC2	95.49333560079248	-3.53724900022997	0.06954274063214926	-50.864388835931464	0	0
NDRG4	47894.98291623492	-2.547891447733135	0.05371265008010165	-47.43559373692167	0	0
CALU	3684.7527571514347	2.3841614131319075	0.04664056448806793	51.11776496062453	0	0
HNRNPUL2	12271.524940407806	-1.2589767690423612	0.0276820806005395	-45.47984623012133	0	0
ANTXR1	4967.7688651695125	2.5897698212609805	0.059229806934018595	43.72409695925496	0	0
NNMT	732.5155254528311	4.49718252577415	0.11519048402041	39.04126772292508	0	0
ENO2	54234.859536505086	-2.9048623106396576	0.05452541877823642	-53.27537826814676	0	0
GRK2	12749.735240974602	-1.7992478623983073	0.027731560114353876	-64.88087417292527	0	0
NCDN	30310.78825849647	-2.968150100191985	0.05911309986608964	-50.21137627557696	0	0
AKAP13	3741.370626501742	3.3957994009049863	0.08927906691622957	38.035785074806626	0	0
KPNB1	8700.833211413546	1.0205057296997324	0.019758958916320707	51.64774794165925	0	0
TRIP12	7339.094377780779	0.984884072572465	0.02383275394805632	41.32481184167922	0	0
TXNDC5	2482.8859912363732	1.6234547862654451	0.04143756996911363	39.1783298942366	0	0
RPN2	4871.549670043791	1.5167391201920526	0.03298150822761218	45.98756096066692	0	0
SHANK3	24295.049212167774	-3.027370628755483	0.05478536741974193	-55.25874464911536	0	0
LAMA4	2698.860378685465	3.23727195265467	0.06619925423256223	48.9019399113157	0	0
SFTPA2	184.13474841615852	-4.17229117786809	0.10118326644468123	-41.234991955405576	0	0
CORO1C	5404.721181343626	1.5220511411271398	0.03253867983988494	46.776671598749225	0	0
IGF2R	3885.2018884116446	2.140533111812787	0.03902695637934403	54.847554367465776	0	0
GNS	4152.596176690576	1.9470161710276317	0.03623899126154179	53.72710727447538	0	0
OS9	6869.6325045805215	1.322223247512271	0.034589988817461406	38.225604942803514	0	0
VCAN	11046.30978553539	4.609819901903482	0.07007840885582704	65.78088711156822	0	0
CPLX2	59915.66483741919	-4.773566386078011	0.10874952772726645	-43.89505394496668	0	0
NDUFV1	8958.031424897119	-1.0132209921164594	0.024481078760189044	-41.38792256835317	0	0
NPDC1	19178.35423047776	-2.365630010309944	0.04787384957043769	-49.41382469837417	0	0
CAPRIN1	8933.705981064217	1.0130666980901517	0.02350617465552057	43.09789716687172	0	0
AFF1	2533.3086286791067	1.679701523986935	0.04473638282827118	37.54665482085974	0	0
C6orf106	9755.398825961352	-1.5384245932525475	0.030813849084554226	-49.92640124351422	0	0
KAT2A	9796.876055729768	-1.839787744070842	0.03864326378731989	-47.60953304038817	0	0
PLVAP	275.1003510747273	4.138666708781062	0.10578105864235911	39.1248372997826	0	0
RSRP1	6541.021918259301	-1.670266728510643	0.038082583516548495	-43.859070847565825	0	0
DDR2	3386.8861432814297	2.5978373903767014	0.06212659232344774	41.815224257780976	0	0
NRBP2	9192.760758832279	-1.4838962942807383	0.038795534919837116	-38.249151541457046	0	0
PDGFRA	9301.854462323674	4.76243609540427	0.10401017125692472	45.78817665476347	0	0
RPN1	4823.3755506138095	1.1157828105256464	0.027852907290835227	40.05983285245004	0	0
HNRNPF	4019.301922295214	1.256901255892369	0.02945821445965536	42.667258655943456	0	0
FCGBP	10497.963807407345	7.225020301387209	0.11751522714066194	61.48156691846489	0	0
ACAP3	29221.352155759087	-2.4788682430384723	0.06121129644659461	-40.49690803724808	0	0
ISCU	5975.817267757154	-1.616501477472266	0.039212325081513684	-41.22432102947019	0	0
STXBP1	41953.72910666733	-3.136015660293093	0.048968274040968575	-64.04178463936451	0	0
SYNCRIP	4954.147879535208	1.0920048549774517	0.02841668808097131	38.42829438342225	0	0
ST6GALNAC6	9708.174771749578	-1.8076608913092505	0.043904359233058236	-41.172697264834554	0	0
ULK1	8378.298733529095	-1.7202686576195227	0.03664191771790043	-46.948106561003804	0	0
ATP6V1E1	9574.756501189666	-1.738132500238108	0.04050364006692579	-42.912994915176064	0	0
USP9X	8115.497568655426	1.1693463672757856	0.03018066736660061	38.74488105487823	0	0
CSPG4	5238.097976482692	3.87798571962471	0.09409710321313046	41.212594088481666	0	0
RABL6	13239.28222999012	-1.4936626883958295	0.02919231222759588	-51.166302852291714	0	0
NPTN	7781.882053655056	-1.610056205652863	0.040916053480183075	-39.35023221222114	0	0
MLEC	5937.751591428111	1.5785197321990065	0.04098929841560653	38.510533071187936	0	0
CLTB	6013.918778797751	-1.851102364589358	0.03849448019280386	-48.087475277439964	0	0
SH3GLB1	4288.867063839687	1.1264543182456086	0.02696895590352636	41.768555010997574	0	0
BLCAP	7114.724778189168	-1.2177325960534966	0.031778888937972725	-38.31891663771866	0	0
TMED2	3657.196216971697	1.1904012967512116	0.026993088554701877	44.100225668464965	0	0
AGAP3	18464.921365144866	-2.203619776701095	0.03563774975212412	-61.83386414765855	0	0
DDOST	3798.923461572651	1.1410095783694678	0.02898903860041255	39.36003515319165	0	0
PRKDC	9447.555184084584	2.0273019277836446	0.033709399223902314	60.14055350906836	0	0
JAG1	3950.931184406599	4.034497162887529	0.09139835367951392	44.1419019103385	0	0
DAG1	6339.665026034635	1.868594436156389	0.04464536675755789	41.8541625227003	0	0
MICAL2	23989.54805833161	-3.6456834069408104	0.09509961434031433	-38.33541736451968	0	0
COL8A1	1407.9250207567911	5.21562950874527	0.13658417476632592	38.186191904504255	0	0
SPINT2	3224.0626478290155	-2.8970853465198045	0.05468036111082984	-52.98219118648095	0	0
TUBGCP6	11835.794697688369	-1.8678223192905212	0.04461490174690047	-41.865436124607946	0	0
STK25	8008.355614432292	-0.9445049601251064	0.02386614599884636	-39.575093530843304	0	0
RHOT2	8550.432068841365	-1.9593799913123202	0.04054235415128654	-48.32921107641557	0	0
PSMC5	6996.006266056955	-1.0087228406490443	0.024940510204635287	-40.44515658952195	0	0
SSR2	3601.675963853575	1.0737730154296832	0.02610872583636301	41.12697885601841	0	0
SH3GLB2	9940.700251017592	-2.039499687407206	0.038797792857440665	-52.567415236768284	0	0
PIP5K1C	18424.15159895405	-2.004908547682972	0.03985601503828142	-50.303788418317076	0	0
HDAC5	8735.114565356233	-1.2346103028701665	0.03265834965583958	-37.80381788671946	0	0
GBA2	8966.347383588844	-1.6977225879496467	0.030995040482143577	-54.77400776190999	0	0
DNAJC5	14493.369092685472	-1.156706791605301	0.026049593959728938	-44.404023855170195	0	0
CAMKK2	37636.26615590306	-4.079929955432119	0.05998658629134402	-68.01403793202427	0	0
YPEL3	11284.394979420069	-2.6173393742988833	0.04206377428183492	-62.22312236563069	0	0
SEPT4	24409.64246992674	-3.0859380705740613	0.06977924143031458	-44.224299481040504	0	0
ATP6V0A1	16768.511987181042	-1.4953830923439997	0.02837221472773515	-52.70589929950705	0	0
PHF1	5584.800987325716	-1.5352322704254684	0.02790390254053692	-55.01855047677241	0	0
EEF1D	5910.31116930852	1.401179894136532	0.035788115480322236	39.15210050406141	0	0
ENAH	6433.800418711926	2.5975975521822923	0.05123699605236366	50.69769409446985	0	0
CBX7	11071.403583389952	-2.944396118968813	0.048147540061705595	-61.15361480971391	0	0
DNM1	44001.515303132786	-3.3849207701720445	0.057500005290682325	-58.86818189076861	0	0
EZH1	9855.260878860252	-2.1339227656465214	0.04206934791849597	-50.72393253588638	0	0
TUBA1B	19700.94997232408	2.408710592099709	0.06125478046790971	39.32281813272663	0	0
ATL3	2223.7828157088647	1.7539261825232932	0.037348757768155605	46.96076355232169	0	0
PILRB	9173.857546583005	-2.618856363243722	0.06740212122268338	-38.85421283095133	0	0
MYC	1026.9430161622097	4.149203755687751	0.08334431314141999	49.783885658128995	0	0
TERF2IP	13452.494780683728	-1.3659819266094508	0.031226913119083752	-43.743738659030505	0	0
MRC2	3086.656224657426	4.564784828178304	0.09305654655616787	49.05388172150846	0	0
NDUFA10	9025.33548733388	-1.498029670005557	0.02798677024572624	-53.52635037386337	0	0
LIFR	5924.604493674919	2.536934041481127	0.06675464687079004	38.00385681601468	0	0
SPRY1	1239.2963827975755	2.9487780055008246	0.07211111546833451	40.89214244363886	0	0
SELENON	8007.149562524859	1.8105600502553363	0.043778158788550105	41.3576107437592	0	0
SPG7	7409.3369644475815	-1.187913876807198	0.026226609204431327	-45.29422265561056	0	0
TUBA4A	6856.271256473548	-3.176919843015198	0.07078484309661921	-44.88135742109079	0	0
ARID1A	7651.337112058867	1.2756601778273158	0.03267966501035086	39.03528929758817	0	0
SSR3	3192.2106638007162	1.487968286177513	0.038766985680628384	38.382357050809894	0	0
ABCC5	12332.644531264385	-2.0720945680810865	0.052319018863222544	-39.604996674309916	0	0
MCF2L	26628.646731680285	-2.8075467944155497	0.06157746911695856	-45.593734764950675	0	0
AP2A2	12308.242028588873	-1.360424597708176	0.03416569371302974	-39.81843919619732	0	0
IGFBP2	3833.2559088317344	5.241635677313918	0.13698963356410998	38.263009695991904	0	0
ABTB1	7936.357780106981	-3.0561430224467707	0.05348627701128117	-57.138825007434676	0	0
TEAD1	3514.287933227544	2.5488672356407123	0.0431398731709061	59.08379066259496	0	0
KLHDC3	11007.502545386184	-1.5390083137446051	0.035249512751096446	-43.66041382222323	0	0
CCDC50	3401.783074897642	1.2564810151042427	0.03166550447567644	39.67980412468707	0	0
PTK2B	18004.942021864652	-3.195983019415323	0.05445016111574261	-58.69556588862511	0	0
TNPO1	4957.1953739253895	1.3621413266396833	0.03437341072998972	39.62776162480896	0	0
AMOTL1	2822.09395723733	2.357951536161281	0.038324489903413944	61.52597313372812	0	0
PPP1R18	1883.1453519531588	2.5018177749031705	0.05682880548273972	44.0237614296333	0	0
CEP170B	10983.919562996143	-2.3010819886355343	0.05524572701461552	-41.65176409076438	0	0
WWTR1	2899.2846913610783	3.2974235059941526	0.08531835435300972	38.648465866452	0	0
TOLLIP	10859.639585226909	-1.722743482325623	0.045493394196835846	-37.86799188629111	0	0
IFI16	1845.4580695848351	3.1023590581472904	0.0744535289959111	41.66839503763037	0	0
VMP1	3010.36904195926	2.0353686074201534	0.04847253836397708	41.99013866648999	0	0
