gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EEF1A1	135701.20141875313	1.792146395114329	0.029370633354987283	61.0183094608007	0	0
FN1	51889.16221560521	5.589115465327256	0.11232879335742212	49.756748009774256	0	0
VIM	44378.940392441145	4.839816114091796	0.11741576971901933	41.21947269667159	0	0
COL6A2	5827.24675007655	3.954957927425202	0.10465639792676576	37.78992976800824	0	0
RPLP0	21330.69317199116	1.6640721352677574	0.03144124129555506	52.92641342067535	0	0
SPARC	44046.18508731022	2.586609973379901	0.06580325058789177	39.30824009864118	0	0
MALAT1	171392.07286949665	3.429036888537672	0.08957572947410443	38.28087037269372	0	0
A2M	16169.586901738514	3.0286205471470113	0.07858540588929366	38.53922382755836	0	0
COL1A2	11129.140534768074	5.6548825279274855	0.1262538276371778	44.78979080284375	0	0
EEF1G	27785.990741869595	1.0599208220907825	0.024232872673719263	43.73896716092908	0	0
COL1A1	20337.26464315867	7.469066355521187	0.14731032072706757	50.702940015721396	0	0
IGFBP5	18271.080131833955	3.4922303504336987	0.07485460041163143	46.65351670077249	0	0
PGC	138.33643082845913	-6.081968805106383	0.1467240133900899	-41.45176147094934	0	0
RPS2	16043.999636811628	2.0268255045249917	0.04007966085598642	50.569926522276425	0	0
TLN1	11418.256808260636	1.7198520310873915	0.04187820839963228	41.06794671527766	0	0
COL3A1	5590.863331479888	6.469807511803467	0.13948846854919117	46.382382566067555	0	0
CALM1	98562.07635400693	-1.7734813015779636	0.03799211512539894	-46.680246564959866	0	0
PABPC1	14805.552625388471	1.6072762086806152	0.03642953682830069	44.12013845402461	0	0
COL6A3	2058.629206123564	5.3866944745593575	0.13492233969024772	39.92440752899804	0	0
C3	8329.195983184723	4.396009408058717	0.10743572112463033	40.91757715256684	0	0
FLNC	4509.964271480705	4.302594881850832	0.0921475898246054	46.69242993810725	0	0
THBS1	6919.581734058005	6.035140627740131	0.13743163114830126	43.91376699318707	0	0
MEG3	79406.90612161241	-2.975245798574347	0.07032898731825818	-42.30468704334579	0	0
COL4A2	8729.37662561584	4.315494590354844	0.09260816637213892	46.59950368754042	0	0
HLA-A	13487.2086611047	2.557885275647219	0.04795680678525807	53.33727258157466	0	0
CALM2	39669.75633707142	-1.5466995806189228	0.03572971899731031	-43.28888174954179	0	0
SRSF5	23811.158982563175	-2.155396430256604	0.040876059256909646	-52.73004466281221	0	0
MMP2	1727.4243687219268	5.257330003188686	0.09390720709573584	55.98430797573376	0	0
YBX1	11016.84683135494	1.8855562218524151	0.0278688105421489	67.65829560614696	0	0
RPS3A	15658.689165319565	1.216785548923955	0.03232204700881231	37.64568341207503	0	0
HSPG2	4950.811562920652	5.2725738282960855	0.10698670139672305	49.28251604603245	0	0
SNRNP70	32939.05474040515	-2.192029006848565	0.04961599840973784	-44.17988304390038	0	0
EIF4A2	30284.25469379667	-1.2945613737834378	0.03300196165644946	-39.22680073566009	0	0
PEBP1	35489.45933652543	-1.509960494554329	0.03482004829048107	-43.364686974518484	0	0
MSN	8131.555519792307	2.564495058947455	0.06609942980951176	38.79753677660956	0	0
CANX	18863.909467936584	1.4092302088335715	0.030606565745007308	46.0433954130725	0	0
P4HB	9600.49061673951	1.9222726077494516	0.03557256330581502	54.038068362512945	0	0
LPP	3511.773397703792	2.312519638871026	0.05343218254180832	43.279527971023484	0	0
COL4A1	9163.893298489334	5.166646255195214	0.09694828476035991	53.292807273138536	0	0
PFN1	6403.025976043597	1.6400397371961044	0.03722583912919861	44.05648806207074	0	0
LAMC1	5358.354190643787	3.1158545442905634	0.06110050577388509	50.995560590307065	0	0
LAMB2	5319.060200552128	2.2804405309381517	0.060318464642785265	37.806674033287365	0	0
ITGB1	5608.782778185831	3.6507325111080027	0.06010866727038372	60.7355424249568	0	0
CALR	12003.175081100415	2.279765082231283	0.03732545988071898	61.078017243906196	0	0
TUBB	19666.672399487303	1.4928230463035213	0.03606235040187772	41.39561148032636	0	0
SERPINE1	3561.6678318827926	6.016308025873957	0.14571830094635646	41.2872507214365	0	0
AES	25937.61941651214	-1.33326846380905	0.034591729340327775	-38.54298380667246	0	0
GPI	25385.31959916288	-1.3191888010201467	0.033400703517924166	-39.49583877214493	0	0
TGFBI	2538.971221786979	5.328721034915351	0.11808948613120496	45.124432407088314	0	0
TIMP1	3607.3888839811666	3.4388239779409817	0.08816587046338213	39.004026840173104	0	0
TNNC1	102.17734080908022	-3.607258448909898	0.0959658330407385	-37.588986982258355	0	0
