gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PCDH10	5303.408858328217	-10.366093094838096	0.8346988777842382	-12.41896134131096	2.0622139640370166e-35	5.286279275412488e-31
IRX1	1461.028861593255	-24.857552084295346	2.0366816482782677	-12.204927611199798	2.925685886357552e-34	3.7498516005444745e-30
FAM90A2P	5.674403784494087	-24.459293728914137	2.114666772402741	-11.566500239242343	6.091715146975679e-31	5.205167535919152e-27
SNORA57	3483.987485472218	-30	2.6154901023110675	-11.470125608004315	1.863885412060979e-30	1.1944709663192783e-26
IRX2	1202.8930126698306	-22.633019473711983	1.986639995234144	-11.392612414935536	4.5513591538496935e-30	2.333390810995661e-26
B4GALNT4	3448.829325177481	-8.482587973204822	0.7936752718073637	-10.687731210131071	1.1617816614994516e-26	4.910182146165985e-23
VSTM2A	500.0319480692963	-24.792037517732112	2.322564161078337	-10.674425246543667	1.3408471180136497e-26	4.910182146165985e-23
GJB1	463.8332105660588	-24.34685582521266	2.2913646594171486	-10.625482820969115	2.268353088907806e-26	6.460773675673633e-23
GPR139	54.95736734438718	-26.19838658889234	2.4645619857396346	-10.630037605254223	2.16025355289831e-26	6.460773675673633e-23
MAGED4B	8017.505510212653	-7.971459669022692	0.7634211027051672	-10.441759653716653	1.5982034055429723e-25	4.096834609768855e-22
SNORA48	7218.36048590981	-28.286808713686565	2.75371587026561	-10.272232156964748	9.400403218442525e-25	2.1906357827414154e-21
DPP6	5899.98069934371	-11.560815985896523	1.1303301632863285	-10.227822242914	1.4882845991342196e-24	3.179223951183882e-21
ST13P10	3.9858767099165546	-20.64575138973733	2.034010972701764	-10.1502654935601	3.3046318526234685e-24	6.516225608473076e-21
TSPAN10	157.81073908072935	7.885257125462246	0.7808058574970964	10.098870352661985	5.588217869576102e-24	1.0232026919193844e-20
HS3ST4	245.67346314437845	-22.920444975727214	2.2864252266581535	-10.024576666007054	1.1886789281992227e-23	2.0313730430305915e-20
GRIK3	11046.309982173512	-10.921450075257779	1.0975046918919904	-9.95116481591552	2.4924851653198366e-23	3.993272795488043e-20
SNORA7B	337.53523351138483	-24.819815760040573	2.5037952251482882	-9.912877662976856	3.659511047279414e-23	5.518112128585912e-20
SNORA68	2101.4527642571693	-27.073673839067496	2.734143927545527	-9.902066078639777	4.0776265378926626e-23	5.806993259574473e-20
NCAN	26503.599976920705	-11.571371152255752	1.1841462036138464	-9.771910864504372	1.4862206056090783e-22	2.0051462633780585e-19
SPOCK3	999.6580097691939	-23.229840736434372	2.3806559528858267	-9.757747946852717	1.709081903223382e-22	2.1373824574075046e-19
SNORA49	1691.7403143408476	-25.370164907643765	2.600657187185577	-9.75528994465406	1.7509960055222593e-22	2.1373824574075046e-19
C1orf61	28653.604405407077	-10.14440410061523	1.048107880882891	-9.678778573890622	3.7112315652802097e-22	4.32425954292695e-19
TMEM59L	3084.3247415374562	-8.53837476656188	0.8863899386561889	-9.632752352205712	5.81506366114932e-22	6.481014864778333e-19
KHDRBS3	2730.4713704453675	-7.059508587712796	0.7344767239460177	-9.611616484978839	7.14188288357236e-22	7.323001033499754e-19
LINC00606	32.751800455287736	-19.585921850151834	2.037025040924544	-9.614963712602362	6.913372298210028e-22	7.323001033499754e-19
FAM19A5	2651.7638951625922	-10.203352518104923	1.066825012988666	-9.564223179882758	1.130472266200484e-21	1.1145586950685849e-18
GPR158	2654.2244808217492	-9.946741692421694	1.0424819148616542	-9.54140455639627	1.4091075083421113e-21	1.3378171062533957e-18
SOX8	9746.4389102465	-11.502097642780553	1.2141371162545096	-9.47347502089662	2.706854925627941e-21	2.47812568441238e-18
NUDT11	956.1019182438899	-7.616930813619138	0.8063717476114658	-9.44592966727947	3.522631909575087e-21	3.1137636679326822e-18
TP53TG3	57.45885713202469	-24.96741259029401	2.6455905301924685	-9.437368445856062	3.8225889270300414e-21	3.2662748185162694e-18
SNORA38	141.2546910300306	-26.001256129148153	2.760780738953402	-9.418080821226352	4.59408008951271e-21	3.7988596456312516e-18
