gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NT5C1B	17.78231551890622	-30	3.9348797643348785	-7.624121141366302	2.4570255020126336e-14	6.245758826116114e-10
AC083949.1	5.361685210220179	-19.226579394145183	2.595641740028409	-7.407254667562386	1.2894071191117714e-13	1.6388364483910615e-9
AC010745.2	61.185363637454365	-23.99091151230201	3.393275433689804	-7.070133851826641	1.5478432305474513e-12	1.3115391640172072e-8
CCNYL2	188.25508347531283	-22.863997431300806	3.2764588599031237	-6.978264769659533	2.988480628407759e-12	1.8991794393531308e-8
SMPD5	10.672647206944657	-18.139340947915475	2.648901805262637	-6.8478721679594194	7.495649657381321e-12	3.810788285812664e-8
RPL35P1	10.190249908360538	-16.643287740239504	2.5074724679752594	-6.637475766056435	3.191004024990206e-11	1.3519220385875173e-7
MCOLN3	28.853669434803198	-19.619880576891788	3.017979117169993	-6.500999448693888	7.978812434295039e-11	2.8974487439968557e-7
OLFM4	20.827886128802454	-19.33131259719643	3.0184434076389923	-6.404397892063599	1.5096394432019773e-10	4.796879330774282e-7
CD19	83.15108999837705	-20.048115665831055	3.2003570830983783	-6.2643371177886715	3.744146878907139e-10	1.0575134851313275e-6
IGLV1-44	129.7023276654448	-21.2213893475592	3.4094681057558494	-6.224252196914041	4.838582322714918e-10	1.2066988239101662e-6
EPO	4.022241794206479	-15.527978135038689	2.5035176892729925	-6.20246391769971	5.55859319081697e-10	1.2066988239101662e-6
LINC01667	107.14735751963433	-21.736424517216022	3.5066619556084295	-6.1986084750631765	5.696453928765536e-10	1.2066988239101662e-6
SLC6A11	59.80346749872788	-20.54188512649925	3.3656859484105626	-6.103327951973685	1.0388238180769643e-9	1.6582492448584158e-6
IGLV1-40	121.09333314017422	-20.892241937383726	3.4174726214883133	-6.1133604424561945	9.755468618790444e-10	1.6582492448584158e-6
CD5L	140.52664195965278	-20.06733249795885	3.291118628208597	-6.097419985399246	1.0779404435239151e-9	1.6582492448584158e-6
DPY19L2P4	34.57897343560363	-19.22720660216589	3.140045770565781	-6.123224948629168	9.170008762157849e-10	1.6582492448584158e-6
IL23R	5.558900184146624	-17.81472400658747	2.9238597899169423	-6.092879032032356	1.1089786452632993e-9	1.6582492448584158e-6
KCNA4	79.05505378395593	-21.170003804318462	3.5030250975099038	-6.043349166800713	1.509474907455312e-9	2.1317140081952236e-6
SLC9A3	16.47595233684741	-18.95792946985087	3.1444364612285503	-6.029038813029122	1.6493767706956794e-9	2.2066925005833773e-6
BCAS1	44.64550867036093	-20.534744060565412	3.4243187780345963	-5.9967384439457545	2.0131992281169073e-9	2.558776218936589e-6
NPY6R	12.73535380126822	-18.74464869533048	3.1306477588072457	-5.987466537107981	2.131347743917668e-9	2.5799456976374818e-6
LPAR3	5.774524557612766	-17.887978104933005	3.002213923233848	-5.958262323180785	2.5493407226629435e-9	2.9456473259132737e-6
GUCY2D	8.79141199116064	-17.722568028608773	2.9793869366545835	-5.948394218479265	2.7078579514768945e-9	2.9927717011540284e-6
LIX1	46.33831404449813	-19.130920775191957	3.23016514230243	-5.922582881182238	3.169239861796541e-9	3.222483091474723e-6
NHLH2	232.29270921688865	-22.95457032020764	3.8738400230190786	-5.92553388467446	3.1128438596161584e-9	3.222483091474723e-6
OTP	81.77039876897649	-21.297320929661897	3.615927178940148	-5.889864445750337	3.865125265321468e-9	3.7789032401719894e-6
RALYL	89.1141042838461	-20.38226039656229	3.469096271945391	-5.875380444582582	4.218733446363737e-9	3.971859415058007e-6
C1orf167	7.285461206579138	-16.61317820506034	2.8426493020528265	-5.844258802189595	5.0882869852632475e-9	4.619437684478277e-6
FCRL2	84.19348899615979	-19.677027993727652	3.3916232310209504	-5.801655034602546	6.5663544720155315e-9	5.7557493337460284e-6
BMP3	16.708824661441852	-20.04373966645067	3.4692899215699944	-5.777476117470189	7.582948117039557e-9	6.176455213800062e-6
WFDC21P	7.50761375698444	-15.941086550706853	2.7611933161258766	-5.77325986471428	7.77523866410708e-9	6.176455213800062e-6
MRGPRE	18.61939491416199	-18.78010942436562	3.2486363696675835	-5.7809207579262845	7.429288059593107e-9	6.176455213800062e-6
C9orf84	6.421648598784868	-18.83540783220859	3.265552489213337	-5.767908460949586	8.026137834565813e-9	6.182558295595847e-6
MAB21L3	7.411957060801252	-17.982550913034405	3.1282447125689345	-5.7484476328794045	9.006653162077992e-9	6.733797746471252e-6
TUBB8P12	19.67613291992159	-16.971098636813323	2.968463419948033	-5.717132480989247	1.083366534743593e-8	7.868336375194896e-6
LRRC53	10.331719292598969	-16.86074788446964	2.9574643148842408	-5.701082444042809	1.190490382300056e-8	8.40618486612984e-6
PPP3R2	38.951567591682824	-17.8946922597449	3.147713255329351	-5.684981702017374	1.3082666643371808e-8	8.751615423013457e-6
SLC17A6	62.53001545937935	-22.55426518570087	3.966290832337213	-5.686487990697933	1.2967850066377991e-8	8.751615423013457e-6
C12orf56	22.827662863971906	-16.81915425746188	2.968498184573598	-5.665879920313248	1.4627193806655399e-8	9.295581664129505e-6
PABPC1L2A	48.318817461267244	-20.129408805412695	3.5525529608369815	-5.666181201889867	1.4601511213295595e-8	9.295581664129505e-6
WFDC2	79.61349120135434	-17.876070749271214	3.164247003219522	-5.649391697640189	1.6101658944373994e-8	9.983028545511877e-6
WDR63	5.464028974732307	-17.73125489121152	3.1432275235357454	-5.641098125555364	1.6896902687443338e-8	1.0226649197971658e-5
SERPINA6	45.16905076907459	-20.456720973081854	3.640919462003847	-5.618559044374775	1.9255659304806617e-8	1.138322929135312e-5
ABCB11	33.565509183146325	-20.970195152687122	3.7376647335659894	-5.610507267911136	2.0173439937048216e-8	1.1654746436358311e-5
TMPRSS4-AS1	12.599179998145505	-15.59131384483921	2.7830933781370195	-5.60215261453998	2.1170602645480167e-8	1.1959038205513464e-5
C1QTNF9	35.44302307083275	-18.529766313146993	3.321074645540177	-5.5794489106200444	2.4128179915820275e-8	1.333344203174242e-5
AC144833.1	5.837206865916307	-18.92715260496709	3.40213079211302	-5.5633230353297725	2.646852639071282e-8	1.4315530656423828e-5
IGKV1-12	93.32160321366241	-21.676616389697127	3.9080191581810384	-5.546701669647486	2.9110881801143746e-8	1.5416637820522377e-5
CALCR	12.409533123838743	-16.89594945314407	3.089425219269886	-5.468962105882283	4.526785082390518e-8	2.348385240701367e-5
OR2AK2	12.499400996463091	-18.29577155955427	3.347947925942176	-5.464771843607901	4.635025689422659e-8	2.3564470605024798e-5
IGLV2-11	63.753097293499884	-18.786369011887373	3.4703520021410963	-5.41339005388986	6.184257276475083e-8	3.023150383999935e-5
PRAL	165.03126442408805	-19.09185344409843	3.526254046275488	-5.4142024918096	6.156246778887836e-8	3.023150383999935e-5
C4orf19	9.243821549139918	-18.37860751383303	3.409392921475944	-5.390580650902752	7.023038742631068e-8	3.3684083931638066e-5
CYP4F26P	6.170548062938394	-16.987636363157215	3.1703279275045335	-5.358321521183686	8.39986592400602e-8	3.954159107189501e-5
MAL2	80.13304485009482	-19.277369680681765	3.609938413724268	-5.340082702628123	9.290418992606882e-8	4.293862741673944e-5
CCDC178	24.694077616764424	-16.28141755158286	3.0509273174254394	-5.336547173245059	9.47332338447057e-8	4.3002121505936056e-5
RAB11FIP1P1	54.06114218914032	-19.75384154471417	3.7123898953984025	-5.321057890282359	1.0316556450839388e-7	4.600822192637495e-5
MYLPF	11.977037632522153	-18.883026284486675	3.5558571316100003	-5.310400723534393	1.0938445651690094e-7	4.684463878027035e-5
DPEP3	25.62751766664346	-18.899363346971093	3.560250401683731	-5.3084365464949075	1.1056956439088202e-7	4.684463878027035e-5
AOAH-IT1	4.089750195344951	-16.640214165007542	3.132194692435239	-5.31263723969534	1.0804999573624727e-7	4.684463878027035e-5
OR2L5	14.071881408886465	-18.486114173868398	3.498641244579894	-5.283798160930946	1.2653265724562406e-7	5.2728854871864975e-5
ITIH2	291.94927300788106	-23.704280715631366	4.4895964113592655	-5.279824408193226	1.2930774564328212e-7	5.3016175713745666e-5
WNK2	2425.0383769912305	-6.242710884899702	1.1836797221789614	-5.2739865082827375	1.334917252277091e-7	5.38628516712439e-5
BEND3P3	52.24424518586132	-19.531329763097904	3.71066214383623	-5.263569952209564	1.4128471541141701e-7	5.5628415849310224e-5
GAPDHP58	1.8219307320779983	-16.547272537367483	3.1459947927916874	-5.259790186328883	1.4421986549002928e-7	5.5628415849310224e-5
AC010745.1	9.498597007208701	-18.03943359957306	3.429863628871498	-5.2595191971257576	1.4443255098562058e-7	5.5628415849310224e-5
NEK2P4	10.299534438825718	-21.302860089421333	4.0583355615094945	-5.249161821773494	1.5279281410710843e-7	5.79700497701895e-5
C4B-AS1	23.091938444253977	-18.56687311607569	3.543708135503213	-5.239391170525718	1.6110722083057332e-7	5.935283410888657e-5
C4A-AS1	23.091938444253977	-18.56687311607569	3.543708135503213	-5.239391170525718	1.6110722083057332e-7	5.935283410888657e-5
SLC9A2	7.324930767008627	-18.21465687155685	3.478496057875235	-5.236359785522621	1.637745540450918e-7	5.947355948323191e-5
DUSP27	9.447669968908205	-17.840188638830792	3.4143703813295025	-5.225030282708843	1.7412660958248724e-7	6.0634224871052405e-5
OTC	10.357681916330433	-18.830082894244192	3.603452502457276	-5.225567114150535	1.7362212845352956e-7	6.0634224871052405e-5
DDX11L9	7.772206210648275	-15.389459054144746	2.942900384566608	-5.229350994974675	1.7010613898932543e-7	6.0634224871052405e-5
UBBP4	70.07432387464905	-16.661956528366016	3.1926517463483344	-5.218845603008062	1.800417684136101e-7	6.109807102461963e-5
