gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDX1	20171.33544045247	-5.304475178453842	1.0444034876886579	-5.078951996026974	3.7952258194572287e-7	0.0017085638368463222
WNK2	2425.0383769912305	-6.007620513015982	1.1849356622238527	-5.069997219714913	3.9782151365519283e-7	0.0017085638368463222
GTPBP6	501.1293644986668	-3.157619259430747	0.6182034737054671	-5.107734578882588	3.260441998461844e-7	0.0017085638368463222
MMP23A	28.76713227180545	-20.45876187217909	3.923590128064523	-5.2142963980468675	1.8451623788366598e-7	0.0017085638368463222
MYCNOS	189.5530825121049	-8.0312667105542	1.5044259384124365	-5.338426110247269	9.375690164694131e-8	0.0017085638368463222
PLCXD1	764.1489029640867	-4.066545707746392	0.8092341304519017	-5.025178195926443	5.029652965538478e-7	0.0018001127963662214
FUT9	864.2785310285536	-11.929058626180707	2.5408673115402776	-4.6948766556996215	2.667676414839529e-6	0.007160710416533006
SLC6A10P	118.8910913831356	-22.32998511160818	4.74604767757439	-4.70496434688591	2.539103233092217e-6	0.007160710416533006
ZIC2	78.8619007367545	-23.25226953014645	5.138691705880577	-4.524939587937761	6.041276001319589e-6	0.014414484539148538
ADGRB1	590.8108597646955	-5.816694038047731	1.3368279342235299	-4.351116466926795	1.354460784701176e-5	0.029085690890673054
TOP1MT	323.21609879156256	-3.7424386001533256	0.8692531479150235	-4.305349493562236	1.667223103907976e-5	0.02983495744443323
ATP2B3	644.7526710043177	-6.453823905907532	1.498215118127866	-4.307675064694366	1.6497950758499133e-5	0.02983495744443323
TCEAL2	734.9875825705557	-6.862619700735748	1.6543871335141778	-4.148134110641001	3.3519603244696805e-5	0.055369227698201476
ADIPOQ	62.24009966508165	-18.9321018502147	4.644141522486293	-4.076555754932978	4.570769950723759e-5	0.06675156581100598
SIX3	839.5292102982675	-7.411487143016728	1.8201456830688842	-4.071919743545186	4.662724630553646e-5	0.06675156581100598
ACSM2A	6.837549995036608	-19.07057240541257	4.76429158536029	-4.002813863033196	6.259354752137468e-5	0.084008364967125
PAX1	35.50189982552413	-22.029694994617017	5.577859673796778	-3.949488922804271	7.831823499495858e-5	0.0989297516636318
MPV17L	283.17736045443417	-5.097586209480568	1.3315061789196898	-3.828436014931952	1.2896014732060421e-4	0.15384945575348083
C2orf72	225.26254042855703	-9.879065845096394	2.657789409950579	-3.7170235565353136	2.0158365423917995e-4	0.21666234216679894
NEUROD1	20.393111971706297	-21.11960465807075	5.682255300602865	-3.7167644783278293	2.017903903947089e-4	0.21666234216679894
VEGFD	119.61401493144183	-7.632103143422603	2.0709590006883913	-3.685299004415672	2.2843429929384732e-4	0.23359038776362273
LINC01833	183.24418802144046	-10.429125274057318	2.8729854549719818	-3.6300654623951187	2.833493488863403e-4	0.2765747235447851
CMBL	328.37934675224534	-4.011045669682792	1.1182226504778925	-3.5869830287989606	3.34526087033873e-4	0.3123310083897995
BAALC	569.877499507629	-4.999117642652162	1.430134620807998	-3.495557390134195	4.730727072586252e-4	0.35030218329902474
ASB13	528.7486194825348	-3.1971310647270905	0.9135674520996365	-3.4996113941878932	4.6593687865501715e-4	0.35030218329902474
KCNN1	268.1352325863827	-6.200553976680956	1.7608862792240352	-3.521268834812738	4.294869543886506e-4	0.35030218329902474
FLJ20021	104.02418470640653	-3.6717231449638366	1.04557646131288	-3.5116734938288787	4.452947066463003e-4	0.35030218329902474
CXCR5	232.99813154777507	-10.34889273818274	2.942272646474196	-3.5173126292643526	4.359400057230376e-4	0.35030218329902474
LINC01918	53.117716019988855	-8.31941249601874	2.3633507157938145	-3.520176857553016	4.3125913339305666e-4	0.35030218329902474
CCNYL2	188.25508347531283	-11.407060190061726	3.27565280849724	-3.482377668497445	4.969822340227637e-4	0.35573988311349425
MEPCE	1137.591190834861	-1.464845313960584	0.4226407568034288	-3.4659348166979718	5.283913657020634e-4	0.36602181248664867
CPNE7	606.8424345401488	-6.89823233157498	2.0026236944309073	-3.444597380305777	5.71910583422378e-4	0.38378774588787956
DNAH14	290.46691089971563	-5.832863827902181	1.7001833314720582	-3.4307263928131517	6.019674293004943e-4	0.391716623539358
MT-RNR2	112586.07589473714	-10.903434118674031	3.2514422999646624	-3.35341461196852	7.982103843650841e-4	0.3986225533454841
RPS4X	18743.413128294713	-3.2630596958307856	0.9720250750810884	-3.3569706990928956	7.88014631262137e-4	0.3986225533454841
SPINT2	939.7154197880434	-3.9146961657993273	1.1608897111411665	-3.372151659395052	7.458336646648945e-4	0.3986225533454841
RBMX2	495.3549084987475	-1.7261428489163169	0.5138849686151498	-3.359006303624793	7.822328306719776e-4	0.3986225533454841
NPIPB15	177.91011052595354	-7.284906452969686	2.1522886029400405	-3.384725655759388	7.124942757689224e-4	0.3986225533454841
GPR12	240.7728393718776	-8.221581056116213	2.420735588936189	-3.3963151918335908	6.829966162764828e-4	0.3986225533454841
GPRIN2	158.90973767289236	-8.999568068687614	2.6611847893642673	-3.381789984917781	7.201517862725413e-4	0.3986225533454841
ZIC5	26.998697771807528	-21.829724019638956	6.466001011313397	-3.3760780398029704	7.352706039841263e-4	0.3986225533454841
