gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCNYL2	188.25508347531283	-23.639428670357887	3.2617678333086153	-7.247428351262798	4.24759010101886e-13	1.0797374036789942e-8
FBXL21	40.32644680133779	-23.724039808153304	3.3361204231202075	-7.111266021376014	1.1498326478588394e-12	1.461437295428585e-8
MYH7	254.0532911667472	-22.29263898630085	3.2905640396703455	-6.774716649652005	1.246503143216652e-11	1.0562036633522432e-7
FLJ16779	48.81594184782994	-19.231992130071763	2.8615980168460946	-6.720717590959289	1.8083177368602492e-11	1.1491859217746883e-7
CKM	50.507296550918255	-28.807957194253227	4.3214873542282275	-6.666213466080598	2.624874001050031e-11	1.334485942133836e-7
MCOLN3	28.853669434803198	-18.536895095817464	2.8671724380286503	-6.46521808383547	1.0115281944487903e-10	2.8570051892098056e-7
NR0B1	28.334773775662264	-18.60091850471361	2.876671017711823	-6.466126432319415	1.0054696176272275e-10	2.8570051892098056e-7
DPY19L2P4	34.57897343560363	-21.173715408322586	3.2559503193289348	-6.503083073050875	7.869031078335949e-11	2.8570051892098056e-7
AC010745.2	61.185363637454365	-21.984764662115907	3.4000046752224686	-6.466098362255164	1.0056563093081039e-10	2.8570051892098056e-7
SLC6A11	59.80346749872788	-21.642179169460178	3.4048093877763543	-6.356355585472131	2.0659648416534751e-10	5.251682627483134e-7
ACTA1	85.86980183711634	-19.676915715455056	3.143947489238689	-6.2586655097791875	3.8828566968752736e-10	8.972928839506314e-7
BCAS1	44.64550867036093	-19.256155635439203	3.0959258884034804	-6.2198374022994765	4.976703413989405e-10	1.0542316731967558e-6
OTP	81.77039876897649	-23.176285298281424	3.7398662207006557	-6.197089395871331	5.751683682091744e-10	1.1246753784520933e-6
SFRP5	116.00127468597674	-18.354664286738437	2.9818674017836932	-6.155426051392844	7.487592772930667e-10	1.3595329163421253e-6
LINC01667	107.14735751963433	-21.225694119180012	3.5004705250426977	-6.0636688603230295	1.3305095103724113e-9	2.254770116911113e-6
CD5L	140.52664195965278	-19.662925708241897	3.2692323657600637	-6.014539044143613	1.8039928476708076e-9	2.715528037196298e-6
PLAC1	16.839531168546976	-19.715054849869457	3.2784878247627383	-6.013459833817202	1.8160494347890268e-9	2.715528037196298e-6
FCRL2	84.19348899615979	-20.102093957837003	3.3653047911383847	-5.973335315948321	2.3245142847602845e-9	3.2827307288114686e-6
CCL13	21.735280358076274	-17.33455225588728	2.912796923648064	-5.951170888417799	2.6623092705592427e-9	3.561889560927155e-6
NMU	28.041138813141483	-21.17303911142024	3.655870309670585	-5.79151811140917	6.975303544174178e-9	8.558125559139046e-6
CNGA3	17.763496174085418	-19.294650729529813	3.332839916403266	-5.789252173369375	7.070048652317859e-9	8.558125559139046e-6
IGKV2-30	53.94047299750222	-19.807947417965856	3.4403096143439855	-5.757606040857148	8.531517614889493e-9	9.429181642195257e-6
SNX18P7	8.422519191359449	-19.486357448768466	3.3840438996841917	-5.7583051598671595	8.496265888715133e-9	9.429181642195257e-6
RBM5-AS1	30.165170402674608	-19.91612678437844	3.497369407256226	-5.694601989443014	1.2366004884780416e-8	1.309766017379659e-5
NHLH2	232.29270921688865	-22.04973900321707	3.8882101978216155	-5.670922579126643	1.4203057624058553e-8	1.4423979363228975e-5
