Kids_First_Biospecimen_ID	bed_to_use
BS_02QV7ZWP	ashion_exome_v2_targets_hg38_padded100.bed
BS_05CHNS17	ashion_exome_v2_targets_hg38_padded100.bed
BS_0TKQP4XJ	ashion_exome_v2_targets_hg38_padded100.bed
BS_13DJ6WHW	ashion_exome_v2_targets_hg38_padded100.bed
BS_1B00Q25Y	ashion_exome_v2_targets_hg38_padded100.bed
BS_1SDWBXX8	ashion_exome_v2_targets_hg38_padded100.bed
BS_35DRDAFV	ashion_exome_v2_targets_hg38_padded100.bed
BS_53JGYCCZ	ashion_exome_v2_targets_hg38_padded100.bed
BS_5XC635HW	ashion_exome_v2_targets_hg38_padded100.bed
BS_5YTKXXBY	ashion_exome_v2_targets_hg38_padded100.bed
BS_DD69EB5S	ashion_exome_v2_targets_hg38_padded100.bed
BS_F6YJDSXZ	ashion_exome_v2_targets_hg38_padded100.bed
BS_HF1TR0QN	ashion_exome_v2_targets_hg38_padded100.bed
BS_HGKDT5AJ	ashion_exome_v2_targets_hg38_padded100.bed
BS_PCVV9GJG	ashion_exome_v2_targets_hg38_padded100.bed
BS_W60PB1DS	ashion_exome_v2_targets_hg38_padded100.bed
BS_YGDHJ68W	ashion_exome_v2_targets_hg38_padded100.bed
BS_3DV5FVPQ	ashion_exome_v2_targets_hg38_padded100.bed
BS_AMKQKHJ6	ashion_exome_v2_targets_hg38_padded100.bed
BS_AN55105E	ashion_exome_v2_targets_hg38_padded100.bed
BS_BTDQZ60Q	ashion_exome_v2_targets_hg38_padded100.bed
BS_C5M87D60	ashion_exome_v2_targets_hg38_padded100.bed
BS_GBXD55F1	ashion_exome_v2_targets_hg38_padded100.bed
BS_GQFPB8F3	ashion_exome_v2_targets_hg38_padded100.bed
BS_QJHY513X	ashion_exome_v2_targets_hg38_padded100.bed
BS_S3DSBR9Y	ashion_exome_v2_targets_hg38_padded100.bed
BS_ST7KGV85	ashion_exome_v2_targets_hg38_padded100.bed
BS_VS3R7XVV	ashion_exome_v2_targets_hg38_padded100.bed
BS_XHRV3SAK	ashion_exome_v2_targets_hg38_padded100.bed
BS_ZV7AC5R8	ashion_exome_v2_targets_hg38_padded100.bed
BS_CH0ZV29W	intersect_strelka_mutect2_vardict_WGS.bed
BS_4ZE1R1FW	intersect_strelka_mutect2_vardict_WGS.bed
BS_9YMT5HB4	intersect_strelka_mutect2_vardict_WGS.bed
BS_G6ASNYWP	intersect_strelka_mutect2_vardict_WGS.bed
BS_GPNWSW71	intersect_strelka_mutect2_vardict_WGS.bed
BS_20HSXMYQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_PGBR1H2A	intersect_strelka_mutect2_vardict_WGS.bed
BS_KTHF096D	intersect_strelka_mutect2_vardict_WGS.bed
BS_HQYHVPC9	intersect_strelka_mutect2_vardict_WGS.bed
BS_NWCPQC60	intersect_strelka_mutect2_vardict_WGS.bed
BS_WBZBDN0A	intersect_strelka_mutect2_vardict_WGS.bed
BS_QXZZY4SJ	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZK0GRMB1	intersect_strelka_mutect2_vardict_WGS.bed
BS_8ZFK0D8Z	intersect_strelka_mutect2_vardict_WGS.bed
BS_8D7YYP13	intersect_strelka_mutect2_vardict_WGS.bed
BS_T5BAS1JN	intersect_strelka_mutect2_vardict_WGS.bed
BS_1BR81RGD	intersect_strelka_mutect2_vardict_WGS.bed
BS_NQN1P6QY	intersect_strelka_mutect2_vardict_WGS.bed
BS_42Y9E1Q8	intersect_strelka_mutect2_vardict_WGS.bed
BS_8C5QG3GE	intersect_strelka_mutect2_vardict_WGS.bed
BS_NV9ZB445	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZQEDB5RA	intersect_strelka_mutect2_vardict_WGS.bed
BS_55AHFCX4	intersect_strelka_mutect2_vardict_WGS.bed
BS_00PH2T1P	intersect_strelka_mutect2_vardict_WGS.bed
BS_Y35YEDFF	intersect_strelka_mutect2_vardict_WGS.bed
BS_S8STY9B1	intersect_strelka_mutect2_vardict_WGS.bed
BS_R2G2TPBV	intersect_strelka_mutect2_vardict_WGS.bed
BS_E9YW2KHS	intersect_strelka_mutect2_vardict_WGS.bed
BS_FJP95JXF	intersect_strelka_mutect2_vardict_WGS.bed
BS_5DXK26YF	intersect_strelka_mutect2_vardict_WGS.bed
BS_2R0QBATZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_NV00B2Y5	intersect_strelka_mutect2_vardict_WGS.bed
BS_B95NMCYN	intersect_strelka_mutect2_vardict_WGS.bed
BS_5ACNB1BG	intersect_strelka_mutect2_vardict_WGS.bed
BS_YV3MJ2BD	intersect_strelka_mutect2_vardict_WGS.bed
BS_BTRGQHM4	intersect_strelka_mutect2_vardict_WGS.bed
BS_RFEDCJTP	intersect_strelka_mutect2_vardict_WGS.bed
BS_P0BHM8S1	intersect_strelka_mutect2_vardict_WGS.bed
BS_SFQWVZ4N	intersect_strelka_mutect2_vardict_WGS.bed
BS_4J8JK335	intersect_strelka_mutect2_vardict_WGS.bed
BS_GZG7GH62	intersect_strelka_mutect2_vardict_WGS.bed
BS_TBSPYEEW	intersect_strelka_mutect2_vardict_WGS.bed
BS_5QFRPR61	intersect_strelka_mutect2_vardict_WGS.bed
BS_B5MDTA3Q	intersect_strelka_mutect2_vardict_WGS.bed
BS_2ABKFT99	intersect_strelka_mutect2_vardict_WGS.bed
BS_J5C6FMYZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_QWC51APP	intersect_strelka_mutect2_vardict_WGS.bed
BS_5BB8J64W	intersect_strelka_mutect2_vardict_WGS.bed
BS_E2EXBFN7	intersect_strelka_mutect2_vardict_WGS.bed
BS_X242DJMF	intersect_strelka_mutect2_vardict_WGS.bed
BS_MMBWD5VD	intersect_strelka_mutect2_vardict_WGS.bed
BS_BJCTR4C8	intersect_strelka_mutect2_vardict_WGS.bed
BS_08127AYS	intersect_strelka_mutect2_vardict_WGS.bed
BS_9BZBCZHK	intersect_strelka_mutect2_vardict_WGS.bed
BS_EWNSDJ7V	intersect_strelka_mutect2_vardict_WGS.bed
BS_MA4DE9P2	intersect_strelka_mutect2_vardict_WGS.bed
BS_DHC9SHF6	intersect_strelka_mutect2_vardict_WGS.bed
BS_56CA6BFQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_2FPVHEQS	intersect_strelka_mutect2_vardict_WGS.bed
BS_C2FYP4KW	intersect_strelka_mutect2_vardict_WGS.bed
BS_5CR48ZM7	intersect_strelka_mutect2_vardict_WGS.bed
BS_VE90VKZY	intersect_strelka_mutect2_vardict_WGS.bed
BS_M7D3Q30Z	intersect_strelka_mutect2_vardict_WGS.bed
BS_P4C0QJ9K	intersect_strelka_mutect2_vardict_WGS.bed
BS_JTP91S1A	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZPXVVM8K	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZED6T1CT	intersect_strelka_mutect2_vardict_WGS.bed
BS_65F8T6N7	intersect_strelka_mutect2_vardict_WGS.bed
BS_WZXHZN97	intersect_strelka_mutect2_vardict_WGS.bed
