Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_02QV7ZWP	WXS	1	78245036	0.01278036347251473
BS_05CHNS17	WXS	19	78245036	0.24282690597777987
BS_0TKQP4XJ	WXS	58	78245036	0.7412610814058543
BS_13DJ6WHW	WXS	43	78245036	0.5495556293181334
BS_1B00Q25Y	WXS	13	78245036	0.1661447251426915
BS_1SDWBXX8	WXS	31	78245036	0.3961912676479566
BS_35DRDAFV	WXS	15	78245036	0.19170545208772094
BS_53JGYCCZ	WXS	18	78245036	0.23004654250526513
BS_5XC635HW	WXS	5074	78245036	64.84756425953974
BS_5YTKXXBY	WXS	11	78245036	0.140583998197662
BS_DD69EB5S	WXS	11	78245036	0.140583998197662
BS_F6YJDSXZ	WXS	32	78245036	0.40897163112047136
BS_HF1TR0QN	WXS	16	78245036	0.20448581556023568
BS_HGKDT5AJ	WXS	303	78245036	3.872450132171963
BS_PCVV9GJG	WXS	48	78245036	0.613457446680707
BS_W60PB1DS	WXS	20	78245036	0.2556072694502946
BS_YGDHJ68W	WXS	16	78245036	0.20448581556023568
BS_3DV5FVPQ	WXS	14	78245036	0.1789250886152062
BS_AMKQKHJ6	WXS	18	78245036	0.23004654250526513
BS_AN55105E	WXS	192	78245036	2.453829786722828
BS_BTDQZ60Q	WXS	20	78245036	0.2556072694502946
BS_C5M87D60	WXS	32	78245036	0.40897163112047136
BS_GBXD55F1	WXS	25	78245036	0.3195090868128682
BS_GQFPB8F3	WXS	1	78245036	0.01278036347251473
BS_QJHY513X	WXS	24	78245036	0.3067287233403535
BS_S3DSBR9Y	WXS	51	78245036	0.6517985370982512
BS_ST7KGV85	WXS	7	78245036	0.0894625443076031
BS_VS3R7XVV	WXS	30	78245036	0.3834109041754419
BS_XHRV3SAK	WXS	22	78245036	0.281167996395324
BS_ZV7AC5R8	WXS	34	78245036	0.4345323580655008
BS_CH0ZV29W	WGS	21	2923762389	0.007182526213145018
BS_4ZE1R1FW	WGS	6	2923762389	0.002052150346612862
BS_9YMT5HB4	WGS	3	2923762389	0.001026075173306431
BS_G6ASNYWP	WGS	14	2923762389	0.004788350808763345
BS_GPNWSW71	WGS	76	2923762389	0.025993904390429586
BS_20HSXMYQ	WGS	6	2923762389	0.002052150346612862
BS_PGBR1H2A	WGS	16	2923762389	0.005472400924300966
BS_KTHF096D	WGS	12	2923762389	0.004104300693225724
BS_HQYHVPC9	WGS	10	2923762389	0.0034202505776881036
BS_NWCPQC60	WGS	1	2923762389	3.420250577688104e-4
BS_WBZBDN0A	WGS	37	2923762389	0.012654927137445983
BS_QXZZY4SJ	WGS	10	2923762389	0.0034202505776881036
BS_ZK0GRMB1	WGS	5	2923762389	0.0017101252888440518
BS_8ZFK0D8Z	WGS	2483	2923762389	0.8492482184399561
BS_8D7YYP13	WGS	12	2923762389	0.004104300693225724
BS_T5BAS1JN	WGS	10	2923762389	0.0034202505776881036
BS_1BR81RGD	WGS	8	2923762389	0.002736200462150483
BS_NQN1P6QY	WGS	37	2923762389	0.012654927137445983
BS_42Y9E1Q8	WGS	5	2923762389	0.0017101252888440518
BS_8C5QG3GE	WGS	35	2923762389	0.011970877021908364
BS_NV9ZB445	WGS	14	2923762389	0.004788350808763345
BS_ZQEDB5RA	WGS	9	2923762389	0.0030782255199192934
BS_55AHFCX4	WGS	17	2923762389	0.005814425982069776
BS_00PH2T1P	WGS	12	2923762389	0.004104300693225724
BS_Y35YEDFF	WGS	15	2923762389	0.0051303758665321554
BS_S8STY9B1	WGS	18	2923762389	0.006156451039838587
BS_R2G2TPBV	WGS	24	2923762389	0.008208601386451448
BS_E9YW2KHS	WGS	53	2923762389	0.01812732806174695
BS_FJP95JXF	WGS	56	2923762389	0.01915340323505338
BS_5DXK26YF	WGS	9	2923762389	0.0030782255199192934
BS_2R0QBATZ	WGS	21	2923762389	0.007182526213145018
BS_NV00B2Y5	WGS	4	2923762389	0.0013681002310752415
BS_B95NMCYN	WGS	8	2923762389	0.002736200462150483
BS_5ACNB1BG	WGS	3	2923762389	0.001026075173306431
BS_YV3MJ2BD	WGS	18	2923762389	0.006156451039838587
BS_BTRGQHM4	WGS	5	2923762389	0.0017101252888440518
BS_RFEDCJTP	WGS	10	2923762389	0.0034202505776881036
BS_P0BHM8S1	WGS	18	2923762389	0.006156451039838587
BS_SFQWVZ4N	WGS	11	2923762389	0.003762275635456914
BS_4J8JK335	WGS	9	2923762389	0.0030782255199192934
BS_GZG7GH62	WGS	17	2923762389	0.005814425982069776
BS_TBSPYEEW	WGS	11	2923762389	0.003762275635456914
BS_5QFRPR61	WGS	5	2923762389	0.0017101252888440518
BS_B5MDTA3Q	WGS	8	2923762389	0.002736200462150483
BS_2ABKFT99	WGS	32	2923762389	0.010944801848601932
BS_J5C6FMYZ	WGS	8	2923762389	0.002736200462150483
BS_QWC51APP	WGS	38	2923762389	0.012996952195214793
BS_5BB8J64W	WGS	20	2923762389	0.006840501155376207
BS_E2EXBFN7	WGS	42	2923762389	0.014365052426290036
BS_X242DJMF	WGS	39	2923762389	0.013338977252983605
BS_MMBWD5VD	WGS	79	2923762389	0.02701997956373602
BS_BJCTR4C8	WGS	6	2923762389	0.002052150346612862
BS_08127AYS	WGS	13	2923762389	0.004446325750994535
BS_9BZBCZHK	WGS	21	2923762389	0.007182526213145018
BS_EWNSDJ7V	WGS	11	2923762389	0.003762275635456914
BS_MA4DE9P2	WGS	13	2923762389	0.004446325750994535
BS_DHC9SHF6	WGS	42	2923762389	0.014365052426290036
BS_56CA6BFQ	WGS	7	2923762389	0.0023941754043816724
BS_2FPVHEQS	WGS	4	2923762389	0.0013681002310752415
BS_C2FYP4KW	WGS	260	2923762389	0.0889265150198907
BS_5CR48ZM7	WGS	7	2923762389	0.0023941754043816724
BS_VE90VKZY	WGS	10	2923762389	0.0034202505776881036
BS_M7D3Q30Z	WGS	9	2923762389	0.0030782255199192934
BS_P4C0QJ9K	WGS	2	2923762389	6.840501155376208e-4
BS_JTP91S1A	WGS	9	2923762389	0.0030782255199192934
BS_ZPXVVM8K	WGS	10	2923762389	0.0034202505776881036
BS_ZED6T1CT	WGS	6	2923762389	0.002052150346612862
BS_65F8T6N7	WGS	365	2923762389	0.12483914608561579
BS_WZXHZN97	WGS	231	2923762389	0.0790077883445952
BS_BVAVPKKN	WGS	7	2923762389	0.0023941754043816724
BS_CWPHVM94	WGS	14	2923762389	0.004788350808763345
BS_BBK329W5	WGS	25	2923762389	0.00855062644422026
BS_RR3T675W	WGS	28	2923762389	0.00957670161752669
BS_CQC29CK5	WGS	33	2923762389	0.011286826906370742
BS_H0MVFRCE	WGS	25	2923762389	0.00855062644422026
BS_THY6PFYF	WGS	9	2923762389	0.0030782255199192934
BS_2NPW3A08	WGS	11	2923762389	0.003762275635456914
BS_PNF2SHN9	WGS	13	2923762389	0.004446325750994535
BS_NX91DYXQ	WGS	14	2923762389	0.004788350808763345
BS_8MJNDM75	WGS	18	2923762389	0.006156451039838587
BS_WBTZK7A2	WGS	30	2923762389	0.010260751733064311
BS_Y3KBY0FY	WGS	9	2923762389	0.0030782255199192934
BS_0TER803R	WGS	13	2923762389	0.004446325750994535
BS_J6FPW4H0	WGS	59	2923762389	0.020179478408359812
BS_6K2SSJ77	WGS	46	2923762389	0.015733152657365277
BS_JV1GTZ1Q	WGS	9	2923762389	0.0030782255199192934
BS_Q4PTDFKS	WGS	7	2923762389	0.0023941754043816724
BS_MW0JYGG1	WGS	13	2923762389	0.004446325750994535
BS_0T5A16N2	WGS	23	2923762389	0.007866576328682639
BS_4GHFYCWZ	WGS	4	2923762389	0.0013681002310752415
BS_7BJQNVK8	WGS	4	2923762389	0.0013681002310752415
BS_GNETMRJF	WGS	8	2923762389	0.002736200462150483
BS_3KPKZVGX	WGS	54	2923762389	0.01846935311951576
BS_X8H38ZNB	WGS	14	2923762389	0.004788350808763345
BS_GZ39V8AK	WGS	7	2923762389	0.0023941754043816724
BS_59BAHXTQ	WGS	9	2923762389	0.0030782255199192934
BS_TKRH7YW7	WGS	6	2923762389	0.002052150346612862
BS_95PV1RRY	WGS	5	2923762389	0.0017101252888440518
BS_QWX24M4X	WGS	8	2923762389	0.002736200462150483
BS_P5VHEN5Q	WGS	2	2923762389	6.840501155376208e-4
BS_87J6X9KJ	WGS	387	2923762389	0.1323636973565296
BS_M0N8YXTA	WGS	9	2923762389	0.0030782255199192934
BS_TDV0SYNR	WGS	10	2923762389	0.0034202505776881036
BS_MMCZHZE6	WGS	8	2923762389	0.002736200462150483
BS_QEKBZRMD	WGS	8	2923762389	0.002736200462150483
BS_WKPJ7S74	WGS	19	2923762389	0.0064984760976073965
BS_S8Q6R8MX	WGS	6	2923762389	0.002052150346612862
BS_FR9R7VFY	WGS	10	2923762389	0.0034202505776881036
BS_0QTY32QA	WGS	8	2923762389	0.002736200462150483
BS_A527Y2QF	WGS	17	2923762389	0.005814425982069776
BS_1HXG4A7B	WGS	6	2923762389	0.002052150346612862
BS_A3K94FCY	WGS	5	2923762389	0.0017101252888440518
BS_YPKSF86W	WGS	11	2923762389	0.003762275635456914
BS_PWXXZMSR	WGS	20	2923762389	0.006840501155376207
BS_QSTNH2MJ	WGS	12	2923762389	0.004104300693225724
BS_FSNCPJJF	WGS	10	2923762389	0.0034202505776881036
BS_GPXZ2NQB	WGS	9	2923762389	0.0030782255199192934
BS_76SQJSHP	WGS	11	2923762389	0.003762275635456914
BS_SMJRCVQB	WGS	8	2923762389	0.002736200462150483
BS_HQC1EKZ8	WGS	10	2923762389	0.0034202505776881036
BS_A2Z4DDQS	WGS	2	2923762389	6.840501155376208e-4
BS_7HRQNWJY	WGS	16	2923762389	0.005472400924300966
BS_25EXB29C	WGS	4	2923762389	0.0013681002310752415
BS_R66Z3ENM	WGS	3	2923762389	0.001026075173306431
BS_1FR8GJ7N	WGS	14	2923762389	0.004788350808763345
BS_QNQDTDCS	WGS	83	2923762389	0.028388079794811262
BS_HZKJMB0D	WGS	5	2923762389	0.0017101252888440518
BS_8JTH2X5Z	WGS	8	2923762389	0.002736200462150483
BS_588QYDB1	WGS	5	2923762389	0.0017101252888440518
BS_SSS5J8P5	WGS	28	2923762389	0.00957670161752669
BS_NGBKDYFB	WGS	6	2923762389	0.002052150346612862
BS_PDWEETXG	WGS	4	2923762389	0.0013681002310752415
BS_E7CRT00M	WGS	19	2923762389	0.0064984760976073965
BS_01BDZ0TW	WGS	31	2923762389	0.01060277679083312
BS_WVMWHF4P	WGS	10	2923762389	0.0034202505776881036
BS_6S50RDHT	WGS	14	2923762389	0.004788350808763345
BS_0Y4VHCMS	WGS	18	2923762389	0.006156451039838587
BS_EDGSP4V6	WGS	4	2923762389	0.0013681002310752415
BS_SYQG48V0	WGS	6	2923762389	0.002052150346612862
BS_STK02B14	WGS	72	2923762389	0.024625804159354347
BS_G4W213NW	WGS	7	2923762389	0.0023941754043816724
BS_NNH2A86D	WGS	8	2923762389	0.002736200462150483
BS_E4N511ZX	WGS	10	2923762389	0.0034202505776881036
BS_XX68G6KE	WGS	5	2923762389	0.0017101252888440518
BS_D9BP1QN2	WGS	10	2923762389	0.0034202505776881036
BS_ABZC437A	WGS	4	2923762389	0.0013681002310752415
BS_GBS4JMAZ	WGS	11	2923762389	0.003762275635456914
BS_EXDY4JFF	WGS	8	2923762389	0.002736200462150483
BS_6AENZKKA	WGS	5	2923762389	0.0017101252888440518
BS_HEP8QTNN	WGS	12	2923762389	0.004104300693225724
BS_NB0ESCXK	WGS	46	2923762389	0.015733152657365277
BS_CQ40NN4X	WGS	22	2923762389	0.007524551270913828
BS_ACDQRWMY	WGS	13	2923762389	0.004446325750994535
BS_QZAV7XVF	WGS	22	2923762389	0.007524551270913828
BS_B2RYV4GG	WGS	33	2923762389	0.011286826906370742
BS_255803B6	WGS	7	2923762389	0.0023941754043816724
BS_P69A72G2	WGS	15	2923762389	0.0051303758665321554
BS_XDH1Y1TQ	WGS	20	2923762389	0.006840501155376207
BS_K62HBS01	WGS	29	2923762389	0.009918726675295501
