fpr	tpr	threshold	auroc	gene	shuffled
0.0	0.2	0.7787926608453729	0.75	TP53	False
0.16666666666666666	0.2	0.7533182077022905	0.75	TP53	False
0.16666666666666666	0.6	0.7301836450916966	0.75	TP53	False
0.16666666666666666	0.8	0.6682830173572911	0.75	TP53	False
0.25	0.8	0.4941932908599998	0.75	TP53	False
0.4166666666666667	0.8	0.4023002443452712	0.75	TP53	False
0.5833333333333334	0.8	0.3949242916799016	0.75	TP53	False
0.75	0.8	0.38419137631257705	0.75	TP53	False
0.75	1.0	0.3044760890324209	0.75	TP53	False
0.8333333333333334	1.0	0.29404247943948963	0.75	TP53	False
1.0	1.0	0.2589293533695077	0.75	TP53	False
