Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000000003	7105	TSPAN6	protein_coding	HGNC Symbol	5	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	0.24	-0.01	0.49	0.06	0.21	-0.17	-0.42	0.08	0.17	0.27	0.99	0.71	1.28	0.00	0.00	0.58	0.38	0.79	0.00	0.00	
ENSG00000000005	64102	TNMD	protein_coding	HGNC Symbol	2	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	-0.63	-1.16	-0.10	0.02	0.12	-1.26	-2.56	0.04	0.06	0.11	-3.74	-4.77	-2.71	0.00	0.00	-4.37	-5.33	-3.41	0.00	0.00	
ENSG00000000419	8813	DPM1	protein_coding	HGNC Symbol	6	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"	0.06	-0.13	0.25	0.50	0.74	-0.32	-0.51	-0.14	0.00	0.01	0.28	0.07	0.50	0.01	0.02	-0.11	-0.27	0.05	0.18	0.22	
ENSG00000000457	57147	SCYL3	protein_coding	HGNC Symbol	5	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	0.28	0.01	0.56	0.05	0.19	0.29	0.06	0.53	0.02	0.04	0.73	0.43	1.03	0.00	0.00	0.74	0.54	0.95	0.00	0.00	
ENSG00000000460	55732	C1orf112	protein_coding	HGNC Symbol	9	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	-0.01	-0.29	0.27	0.92	0.97	0.68	0.40	0.97	0.00	0.00	-0.28	-0.61	0.05	0.09	0.13	0.42	0.19	0.65	0.00	0.00	
ENSG00000001036	2519	FUCA2	protein_coding	HGNC Symbol	3	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	0.38	0.06	0.70	0.02	0.11	0.82	0.47	1.17	0.00	0.00	-0.66	-1.06	-0.27	0.00	0.00	-0.22	-0.49	0.04	0.10	0.12	
ENSG00000001084	2729	GCLC	protein_coding	HGNC Symbol	13	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	0.05	-0.09	0.20	0.44	0.69	-0.06	-0.21	0.10	0.46	0.58	-0.57	-0.74	-0.40	0.00	0.00	-0.68	-0.80	-0.56	0.00	0.00	
ENSG00000001167	4800	NFYA	protein_coding	HGNC Symbol	2	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	-0.01	-0.26	0.25	0.97	0.99	-0.24	-0.51	0.02	0.07	0.14	-0.13	-0.43	0.16	0.36	0.43	-0.37	-0.59	-0.15	0.00	0.00	
ENSG00000001460	90529	STPG1	protein_coding	HGNC Symbol	12	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	-0.22	-0.54	0.10	0.17	0.41	0.62	0.30	0.93	0.00	0.00	-0.17	-0.54	0.20	0.35	0.43	0.67	0.41	0.93	0.00	0.00	
ENSG00000001461	57185	NIPAL3	protein_coding	HGNC Symbol	7	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	0.00	-0.23	0.23	1.00	1.00	0.25	0.00	0.51	0.05	0.11	-0.57	-0.85	-0.30	0.00	0.00	-0.32	-0.52	-0.13	0.00	0.00	
