Gene_symbol	PMTL	Gene_Ensembl_ID	Disease	EFO	MONDO	n_samples	cohort	tpm_mean	tpm_sd	tpm_mean_cancer_group_wise_zscore	tpm_mean_cancer_group_wise_quantiles
MT-CO3		ENSG00000198938	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	4454.84794258373	2279.67202695009	4.59056578729645	Highest expressed 25%
MT-CO2		ENSG00000198712	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	3443.53741626794	1879.08931635908	3.54422957321282	Highest expressed 25%
MT-ATP6		ENSG00000198899	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2814.69282296651	1396.21543591272	2.89360560176161	Highest expressed 25%
MT-ND4		ENSG00000198886	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	3920.58593301435	1885.00870258887	4.03780016894771	Highest expressed 25%
MT-CO1		ENSG00000198804	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	6194.28511961723	2934.34450369065	6.39024656099903	Highest expressed 25%
MT-RNR2		ENSG00000210082	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	15.2922966507177	112.213967492774	-0.00274924888924993	Highest expressed 25%
MT-CYB		ENSG00000198727	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2093.54038277512	1120.40773769266	2.14747679719361	Highest expressed 25%
MT-ND2		ENSG00000198763	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2541.6923923445	1503.95743521724	2.61115008529342	Highest expressed 25%
MT-ND1		ENSG00000198888	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	3276.12746411483	1634.26938465186	3.37102155156397	Highest expressed 25%
MT-ATP8		ENSG00000228253	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	4015.44	1808.40097277316	4.13593940784376	Highest expressed 25%
MT-ND3		ENSG00000198840	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2753.51703349282	1631.94739742149	2.83031105247548	Highest expressed 25%
MT-ND4L		ENSG00000212907	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2985.32899521531	1316.14397384551	3.07015158028214	Highest expressed 25%
HBB		ENSG00000244734	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	147.997942583732	429.109405403614	0.134552519004853	Highest expressed 25%
MT-ND6		ENSG00000198695	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	169.813684210526	89.4263387908418	0.157123826142696	Highest expressed 25%
MT-ND5		ENSG00000198786	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1554.58612440191	719.843086147148	1.5898564188862	Highest expressed 25%
MT-RNR1		ENSG00000211459	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	19.2525837320574	115.849355024697	0.00134819861430686	Highest expressed 25%
FTL		ENSG00000087086	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	519.12971291866	330.656377953984	0.51853805202713	Highest expressed 25%
HBA2		ENSG00000188536	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	162.955023923445	491.543279362721	0.150027623293296	Highest expressed 25%
ACTB		ENSG00000075624	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1115.12985645933	330.757252140795	1.13518004037614	Highest expressed 25%
MTATP6P1		ENSG00000248527	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	244.532344497608	142.97921997268	0.234430289480915	Highest expressed 25%
S100A9		ENSG00000163220	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	7.83224880382775	12.8114944714364	-0.0104676677308237	Highest expressed 25%
RPS18		ENSG00000231500	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	687.685454545454	311.26397426447	0.692931546375836	Highest expressed 25%
DES		ENSG00000175084	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2.49296650717703	10.5138186909048	-0.0159918705140713	Expression between upper quartile and median
RPL13A		ENSG00000142541	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	457.945933014354	210.609810347548	0.455235235570132	Highest expressed 25%
RPS12		ENSG00000112306	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	254.048468899522	106.605355032864	0.244275994949561	Highest expressed 25%
RPS11		ENSG00000142534	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	579.997081339713	306.412454441907	0.581513498418391	Highest expressed 25%
EEF1A1		ENSG00000156508	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1943.46172248804	691.135369737932	1.99220031867064	Highest expressed 25%
PRSS2		ENSG00000275896	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	0.168086124401914	2.0708875308968002	-0.0183972707097681	Expression between median and lower quartile
RPLP1		ENSG00000137818	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	214.287033492823	99.0276816621913	0.203137463600996	Highest expressed 25%
IGKC		ENSG00000211592	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	240.448755980861	691.296960613348	0.230205270125036	Highest expressed 25%
RPL10		ENSG00000147403	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	625.842200956938	271.621553894982	0.628946416049785	Highest expressed 25%
TMSB10		ENSG00000034510	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	996.462631578947	312.194232735228	1.01240289964026	Highest expressed 25%
ACTA1		ENSG00000143632	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1.65688995215311	14.3056254196203	-0.0168569037106057	Expression between upper quartile and median
KRT10		ENSG00000186395	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	6.32866028708134	3.82593466765386	-0.0120233314713006	Expression between upper quartile and median
HLA-B		ENSG00000234745	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	234.776267942584	184.205110079156	0.224336321366015	Highest expressed 25%
FTH1		ENSG00000167996	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	650.897559808612	275.677285287243	0.654869541184134	Highest expressed 25%
ACTG1		ENSG00000184009	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	934.332057416268	308.731103984327	0.948120497690926	Highest expressed 25%
TMSB4X		ENSG00000205542	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	663.856220095694	255.090331009597	0.668277011186228	Highest expressed 25%
PRSS1		ENSG00000204983	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	0.238612440191388	3.35105372177031	-0.0183243017884168	Expression between median and lower quartile
GAPDH		ENSG00000111640	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	628.565406698565	257.337899638469	0.631763937188663	Highest expressed 25%
RPS16		ENSG00000105193	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	340.861100478469	169.133755840307	0.334095291691055	Highest expressed 25%
RPL19		ENSG00000108298	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	771.798660287081	305.444437659675	0.779957925474999	Highest expressed 25%
RPL3		ENSG00000100316	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	531.051339712919	195.257971321385	0.530872571960454	Highest expressed 25%
RPS27		ENSG00000177954	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	714.412248803828	355.480399412616	0.720583995342996	Highest expressed 25%
RPS25		ENSG00000118181	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	159.072248803828	80.2477194512723	0.146010372297601	Highest expressed 25%
RPL9		ENSG00000163682	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	342.322153110048	169.575203085805	0.335606946360242	Highest expressed 25%
CKM		ENSG00000104879	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	0.767033492822966	7.02758478342993	-0.0177775794224717	Expression between upper quartile and median
RPL8		ENSG00000161016	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	570.319234449761	205.244642833646	0.571500469371612	Highest expressed 25%
EEF1G		ENSG00000254772	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	385.522153110048	168.620354257311	0.380303133408826	Highest expressed 25%
MYL9		ENSG00000101335	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	36.978038277512	41.4272551203458	0.0196875558338629	Highest expressed 25%
