Gene_symbol	targetFromSourceId	Variant_type	Dataset	Disease	Total_alterations_over_subjects_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_over_primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_over_relapse_tumors_in_dataset	Frequency_in_relapse_tumors	Gene_full_name	PMTL	OncoKB_cancer_gene	OncoKB_oncogene_TSG	diseaseFromSourceMappedId	MONDO	datatypeId	chop_uuid	datasourceId
TSPAN6	ENSG00000000003	deep deletion	GMKF	Neuroblastoma	1/171	0.58%	1/171	0.58%	0/0		tetraspanin 6		N		EFO_0000621	MONDO_0005072	somatic_mutation	925cc9f1-7f0c-45fa-818a-ee31520d993e	chop_gene_level_cnv
TSPAN6	ENSG00000000003	gain	GMKF	Neuroblastoma	1/171	0.58%	1/171	0.58%	0/0		tetraspanin 6		N		EFO_0000621	MONDO_0005072	somatic_mutation	9c138611-2fac-49f7-84d6-b56ff76e0fd3	chop_gene_level_cnv
TSPAN6	ENSG00000000003	loss	GMKF	Neuroblastoma	29/171	16.96%	29/171	16.96%	0/0		tetraspanin 6		N		EFO_0000621	MONDO_0005072	somatic_mutation	6bcdf46f-5366-430e-bf18-0516ecbd55cc	chop_gene_level_cnv
TNMD	ENSG00000000005	deep deletion	GMKF	Neuroblastoma	1/171	0.58%	1/171	0.58%	0/0		tenomodulin		N		EFO_0000621	MONDO_0005072	somatic_mutation	42fea52f-61f9-4e21-aded-6bb51d368897	chop_gene_level_cnv
TNMD	ENSG00000000005	gain	GMKF	Neuroblastoma	1/171	0.58%	1/171	0.58%	0/0		tenomodulin		N		EFO_0000621	MONDO_0005072	somatic_mutation	7f1294c6-8f64-4aaf-937e-d792c6f9c7dc	chop_gene_level_cnv
TNMD	ENSG00000000005	loss	GMKF	Neuroblastoma	29/171	16.96%	29/171	16.96%	0/0		tenomodulin		N		EFO_0000621	MONDO_0005072	somatic_mutation	76c2b710-e985-467b-b420-224148e096d6	chop_gene_level_cnv
DPM1	ENSG00000000419	gain	GMKF	Neuroblastoma	8/171	4.68%	8/171	4.68%	0/0		dolichyl-phosphate mannosyltransferase subunit 1, catalytic		N		EFO_0000621	MONDO_0005072	somatic_mutation	7fe2890d-1599-45ff-8b5b-1eb1a19172ec	chop_gene_level_cnv
DPM1	ENSG00000000419	loss	GMKF	Neuroblastoma	3/171	1.75%	3/171	1.75%	0/0		dolichyl-phosphate mannosyltransferase subunit 1, catalytic		N		EFO_0000621	MONDO_0005072	somatic_mutation	31d76ec5-6917-4526-a2a2-227fc2ca77c2	chop_gene_level_cnv
SCYL3	ENSG00000000457	gain	GMKF	Neuroblastoma	25/171	14.62%	25/171	14.62%	0/0		SCY1 like pseudokinase 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	598ff511-08c3-4686-bdf7-d732040cd87d	chop_gene_level_cnv
C1orf112	ENSG00000000460	gain	GMKF	Neuroblastoma	24/171	14.04%	24/171	14.04%	0/0		chromosome 1 open reading frame 112		N		EFO_0000621	MONDO_0005072	somatic_mutation	14665655-8249-4c01-8ca1-f5a238030077	chop_gene_level_cnv
