Gene_symbol	targetFromSourceId	Variant_type	Dataset	Disease	Total_alterations_over_subjects_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_over_primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_over_relapse_tumors_in_dataset	Frequency_in_relapse_tumors	Gene_full_name	PMTL	OncoKB_cancer_gene	OncoKB_oncogene_TSG	diseaseFromSourceMappedId	MONDO	datatypeId	chop_uuid	datasourceId
TSPAN6	ENSG00000000003	deep deletion	GMKF	Neuroblastoma	1/191	0.52%	1/190	0.53%	0/0		tetraspanin 6		N		EFO_0000621	MONDO_0005072	somatic_mutation	8fd31937-8959-431c-b31a-de74266d8048	chop_gene_level_cnv
TSPAN6	ENSG00000000003	gain	GMKF	Neuroblastoma	1/191	0.52%	1/190	0.53%	0/0		tetraspanin 6		N		EFO_0000621	MONDO_0005072	somatic_mutation	3ca81684-21bd-4ff6-a788-188a181d9fc8	chop_gene_level_cnv
TSPAN6	ENSG00000000003	loss	GMKF	Neuroblastoma	31/191	16.23%	30/190	15.79%	0/0		tetraspanin 6		N		EFO_0000621	MONDO_0005072	somatic_mutation	54b95ada-c42a-4745-883f-5b5d3a8e0c3f	chop_gene_level_cnv
TNMD	ENSG00000000005	deep deletion	GMKF	Neuroblastoma	1/191	0.52%	1/190	0.53%	0/0		tenomodulin		N		EFO_0000621	MONDO_0005072	somatic_mutation	60d8ad50-cae0-42d2-90d2-a543cae288a8	chop_gene_level_cnv
TNMD	ENSG00000000005	gain	GMKF	Neuroblastoma	1/191	0.52%	1/190	0.53%	0/0		tenomodulin		N		EFO_0000621	MONDO_0005072	somatic_mutation	38c2b9cf-60b0-43a0-9169-ff938029a498	chop_gene_level_cnv
TNMD	ENSG00000000005	loss	GMKF	Neuroblastoma	31/191	16.23%	30/190	15.79%	0/0		tenomodulin		N		EFO_0000621	MONDO_0005072	somatic_mutation	6c8026ac-f392-4c6a-bf7f-69445555fdb8	chop_gene_level_cnv
DPM1	ENSG00000000419	gain	GMKF	Neuroblastoma	9/191	4.71%	9/190	4.74%	0/0		dolichyl-phosphate mannosyltransferase subunit 1, catalytic		N		EFO_0000621	MONDO_0005072	somatic_mutation	6f5e2d4a-0864-423c-a303-97950557f0b5	chop_gene_level_cnv
DPM1	ENSG00000000419	loss	GMKF	Neuroblastoma	3/191	1.57%	3/190	1.58%	0/0		dolichyl-phosphate mannosyltransferase subunit 1, catalytic		N		EFO_0000621	MONDO_0005072	somatic_mutation	298ca7b3-5c99-4854-a37c-82bb6d7b4d27	chop_gene_level_cnv
SCYL3	ENSG00000000457	gain	GMKF	Neuroblastoma	27/191	14.14%	27/190	14.21%	0/0		SCY1 like pseudokinase 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	c0cb13ee-c9af-4a79-a4db-0a6156e4deb9	chop_gene_level_cnv
C1orf112	ENSG00000000460	gain	GMKF	Neuroblastoma	26/191	13.61%	26/190	13.68%	0/0		chromosome 1 open reading frame 112		N		EFO_0000621	MONDO_0005072	somatic_mutation	559f0c05-b640-490b-9baf-b569f4654895	chop_gene_level_cnv
FGR	ENSG00000000938	gain	GMKF	Neuroblastoma	13/191	6.81%	13/190	6.84%	0/0		FGR proto-oncogene, Src family tyrosine kinase		N		EFO_0000621	MONDO_0005072	somatic_mutation	26c7fb9c-8520-4827-bf54-9117f507dd0d	chop_gene_level_cnv
FGR	ENSG00000000938	loss	GMKF	Neuroblastoma	31/191	16.23%	31/190	16.32%	0/0		FGR proto-oncogene, Src family tyrosine kinase		N		EFO_0000621	MONDO_0005072	somatic_mutation	e8c342e5-1cce-4952-ba62-622df39c11a6	chop_gene_level_cnv
CFH	ENSG00000000971	gain	GMKF	Neuroblastoma	32/191	16.75%	32/190	16.84%	0/0		complement factor H		N		EFO_0000621	MONDO_0005072	somatic_mutation	848b8562-cfdb-4078-b6de-934fad9ea071	chop_gene_level_cnv
FUCA2	ENSG00000001036	gain	GMKF	Neuroblastoma	27/191	14.14%	27/190	14.21%	0/0		alpha-L-fucosidase 2		N		EFO_0000621	MONDO_0005072	somatic_mutation	7612caa7-19ec-4f56-aabd-43c64bde055e	chop_gene_level_cnv
FUCA2	ENSG00000001036	loss	GMKF	Neuroblastoma	8/191	4.19%	8/190	4.21%	0/0		alpha-L-fucosidase 2		N		EFO_0000621	MONDO_0005072	somatic_mutation	c7db6840-f251-40e1-851b-4b70048b0c43	chop_gene_level_cnv
GCLC	ENSG00000001084	gain	GMKF	Neuroblastoma	29/191	15.18%	29/190	15.26%	0/0		glutamate-cysteine ligase catalytic subunit		N		EFO_0000621	MONDO_0005072	somatic_mutation	41e70da0-b942-4c40-a1ff-eb18d20a3d8c	chop_gene_level_cnv
GCLC	ENSG00000001084	loss	GMKF	Neuroblastoma	3/191	1.57%	3/190	1.58%	0/0		glutamate-cysteine ligase catalytic subunit		N		EFO_0000621	MONDO_0005072	somatic_mutation	bd903802-5669-4780-8053-f815ad5391fe	chop_gene_level_cnv
NFYA	ENSG00000001167	gain	GMKF	Neuroblastoma	25/191	13.09%	25/190	13.16%	0/0		nuclear transcription factor Y subunit alpha		N		EFO_0000621	MONDO_0005072	somatic_mutation	8151fd5a-ed4f-48dc-becd-0529eebd08ca	chop_gene_level_cnv
NFYA	ENSG00000001167	loss	GMKF	Neuroblastoma	3/191	1.57%	3/190	1.58%	0/0		nuclear transcription factor Y subunit alpha		N		EFO_0000621	MONDO_0005072	somatic_mutation	9bf6766f-b8f6-44b7-bb40-344ab3ebb782	chop_gene_level_cnv
STPG1	ENSG00000001460	gain	GMKF	Neuroblastoma	11/191	5.76%	11/190	5.79%	0/0		sperm tail PG-rich repeat containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	002337f9-8f6d-4a96-907d-8ab4b8edaafc	chop_gene_level_cnv
STPG1	ENSG00000001460	loss	GMKF	Neuroblastoma	33/191	17.28%	33/190	17.37%	0/0		sperm tail PG-rich repeat containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	201991f6-1413-4a7a-8732-e92bfb177c24	chop_gene_level_cnv
