#hg19.knownToEnsembl.value	hg19.kgXref.kgID	hg19.kgXref.geneSymbol	hg19.kgXref.refseq	hg19.knownToRefSeq.value
ENST00000389680	uc022bqo.2	MT-RNR1		n/a
ENST00000387342	uc004cor.1	MT-TV		n/a
ENST00000387347	uc004cos.5	MT-RNR2		n/a
ENST00000361624	uc031tga.1	MT-CO1		n/a
ENST00000361739	uc011mfi.2	MT-CO2		n/a
ENST00000361227	uc022bqu.2	MT-ND3		n/a
ENST00000361381	uc004cov.5	MT-ND4		n/a
ENST00000387449	uc004cow.2	MT-TS2		n/a
ENST00000361567	uc004cox.4	MT-ND5		n/a
ENST00000361789	uc022bqw.1	MT-CYB		n/a
ENST00000387392	uc022bqq.1	MT-TA		n/a
ENST00000387400	uc022bqr.1	MT-TN		n/a
ENST00000387459	uc022bqv.1	MT-TE		n/a
ENST00000387461	uc022bqx.1	MT-TP		n/a
ENST00000400678	uc011mfg.1	ADAMTSL2	NM_014694	n/a
ENST00000400678	uc004con.1	ADAMTSL2	NM_014694	n/a
ENST00000602027	uc011mgu.1	BAGE1		n/a
ENST00000400776	uc002qvo.3	PNRC2	NM_017761	n/a
ENST00000374457	uc021vde.1	SRSF10		NR_034035
ENST00000374457	uc021vdf.1	SRSF10		NR_034035
ENST00000374457	uc021vdg.1	SRSF10		NR_034035
ENST00000374457	uc002qvr.2	SRSF10		NR_034035
ENST00000433682	uc021vdh.1	SRSF10		NR_034035
ENST00000374449	uc021vdj.1	SRSF10		NM_054016
ENST00000374449	uc021vdk.1	SRSF10		NM_001191005
ENST00000368515	uc011mgh.2	LOC100288255	NM_001199232	NM_001199232
ENST00000368515	uc011mgi.2	LOC100288255	NM_001005217	NM_001005217
ENST00000400875	uc010euy.2	KIR3DL3	NM_153443	n/a
ENST00000344867	uc002qtt.2	KIR2DS5	NM_012313	NM_012313
ENST00000344867	uc002qts.2	KIR2DL2	NM_014219	NM_014219
ENST00000400851	uc002qtv.3	KIR2DL4		NM_002255
ENST00000400848	uc010yic.2	KIR3DS1	NM_001083539	NM_001083539
ENST00000400854	uc002quc.5	LOC100287534	NM_001258383	NM_001258383
ENST00000400854	uc010evd.3	LOC100287534	NM_001080772	NM_001080772
ENST00000400852	uc002quh.4	LOC100287534		NM_001258383
ENST00000400852	uc002que.4	LOC100287534	NM_001080770	NM_001080770
ENST00000400852	uc002quf.4	LOC100287534		NM_001258383
ENST00000400852	uc010eve.3	LOC100287534	NM_001080772	NM_001080772
ENST00000400852	uc002qug.4	LOC100287534	NM_001080770	NM_001080770
ENST00000400853	uc002qud.4	LOC100287534	NM_001258383	NM_001258383
ENST00000400851	uc010evf.3	KIR2DL4		NM_002255
ENST00000400848	uc021vdb.1	KIR2DS5	NM_014513	NM_014513
ENST00000400848	uc010yie.2	KIR2DS1	NM_014512	NM_014512
ENST00000400848	uc010evg.1	KIR3DS1		NM_001083539
ENST00000400848	uc010evh.1	KIR3DS1		NM_001083539
ENST00000400848	uc002qui.2	KIR3DS1	NM_001083539	NM_001083539
ENST00000400846	uc002quk.1	KIR2DL5B	NM_001018081	NM_001018081
ENST00000400829	uc002qup.1	KIR3DL2	NM_001242867	n/a
ENST00000400681	uc011mfn.2	LOC100233156		NR_037871
ENST00000400681	uc003jah.2	LOC100233156		NR_037872
ENST00000400681	uc003jaj.2	LOC100233156		NR_037871
ENST00000459341	uc022brg.1	JB158072		n/a
ENST00000459341	uc022brh.1	JB074932		n/a
ENST00000327822	uc011mfl.2	LOC100288966	NM_001257362	NM_001257362
ENST00000391571	uc002kgk.4	MGC70870		NR_003682
ENST00000346061	uc022brb.1	LOC283788		NR_027436
ENST00000418749	uc011mfq.2	LOC283788		NR_027436
ENST00000368372	uc011mge.2	ZNF605		n/a
ENST00000368372	uc011mgf.1	BC062737		n/a
ENST00000451927	uc011mfz.1	ZNF84	NM_003428	NM_003428
ENST00000451927	uc011mga.1	ZNF84	NM_001127372	NM_001127372
ENST00000451927	uc011mgb.1	ZNF84	NM_003428	NM_003428
ENST00000451927	uc011mgc.1	ZNF84	NM_003428	NM_003428
ENST00000391574	uc031tgg.1	ZNF26	NM_001256279	NM_001256279
ENST00000391574	uc011mgd.2	ZNF26	NM_019591	NM_019591
ENST00000391574	uc031tgh.1	ZNF26	NM_001256280	NM_001256280
ENST00000400890	uc003woj.2	LOC389831	NM_001242480	NM_001242480
ENST00000400890	uc003wok.2	LOC389831		NM_001242480
ENST00000391545	uc001vux.3	DKFZp434B061		n/a
ENST00000580641	uc022brj.1	MIR4273		NR_036235
ENST00000403385	uc011mfy.2	FLJ20518	NM_001124759	NM_001124759
ENST00000459466	uc022brk.1	JB074863		n/a
ENST00000400767	uc003izx.3	MGC39584		NR_038377
ENST00000400767	uc003izy.3	MGC39584		NR_038377
ENST00000400839	uc003jab.3	MAFIP		NR_046439
ENST00000400839	uc011clu.3	MAFIP		NR_046440
ENST00000400839	uc021xvt.2	MAFIP		NR_046441
ENST00000545452	uc010yih.2	KIAA1864		n/a
ENST00000545452	uc010yii.1	KIAA1864		n/a
ENST00000425945	uc031rnl.1	HYDIN		n/a
ENST00000425945	uc010yij.1	HYDIN	NM_017558	n/a
ENST00000425945	uc021vdl.1	DKFZp761B238		n/a
ENST00000419260	uc011fry.2	OR2J3	NM_001005216	NM_001005216
ENST00000419605	uc011frz.2	OR2J2	NM_030905	NM_030905
ENST00000451272	uc011fsa.2	OR14J1	NM_030946	NM_030946
ENST00000443442	uc011fsc.2	OR12D2		NM_013936
ENST00000377138	uc011fsf.2	OR10C1	NM_013941	NM_013941
ENST00000491531	uc031ssl.1	OR2H1	NM_030883	n/a
ENST00000421808	uc011fsh.1	OR2H1	NM_030883	n/a
ENST00000412956	uc011fsg.2	OR2H1	NM_030883	NM_030883
ENST00000457219	uc021zmr.1	LOC100507362		NR_037181
ENST00000457219	uc011fsk.2	LOC100507362		NR_037179
ENST00000457219	uc021zms.1	LOC100507362		NR_037180
ENST00000580950	uc011fsn.2	SNORD32B		NR_003049
ENST00000411574	uc011fso.1	OR2H2	NM_007160	NM_007160
ENST00000550349	uc011fsu.2	MOG	NM_001008229	NM_001008229
ENST00000550349	uc011fsv.2	MOG		NM_001170418
ENST00000550349	uc011fsw.2	MOG		NM_001170418
ENST00000425145	uc011fsx.2	MOG	NM_206809	NM_206809
ENST00000550349	uc011fta.2	MOG	NM_206814	NM_206814
ENST00000550349	uc011fsz.2	MOG		NM_206809
ENST00000551175	uc011ftc.2	MOG		NM_001170418
ENST00000551175	uc011ftb.2	MOG	NM_001170418	NM_001170418
ENST00000550349	uc011fte.2	MOG	NM_002433	NM_002433
ENST00000550349	uc011ftf.2	MOG	NM_206809	NM_206809
ENST00000551175	uc011ftg.2	MOG	NM_206811	NM_206811
ENST00000551175	uc011fti.2	MOG	NM_001008228	NM_001008228
ENST00000551175	uc011fth.2	MOG	NM_206810	NM_206810
ENST00000551175	uc011ftj.2	MOG	NM_206812	NM_206812
ENST00000548042	uc011ftk.2	MOG	NM_001008229	NM_001008229
ENST00000551832	uc031ssm.1	HLA-F	NM_018950	NM_018950
ENST00000422711	uc011ftn.2	HLA-F	NM_018950	NM_018950
ENST00000422711	uc011fto.2	HLA-F	NM_001098478	NM_001098478
ENST00000428296	uc011ftp.2	HLA-F	NM_001098479	NM_001098479
ENST00000485297	uc011ftq.1	HLA-F	NM_018950	NM_018950
ENST00000428296	uc011ftr.1	HLA-F		NM_001098479
ENST00000413957	uc011ftx.1	LOC554223	NM_001207043	NM_001207043
ENST00000482137	uc011fty.2	LOC554223	NM_001207043	NM_001207043
ENST00000420559	uc011fua.1	HLA-G		NM_002127
ENST00000457132	uc011fuh.1	HLA-G		NM_002127
ENST00000546634	uc011fub.1	HLA-G	NM_002127	NM_002127
ENST00000420559	uc011fuc.1	HLA-G	NM_002127	NM_002127
ENST00000423373	uc011fud.1	HLA-G		NM_002127
ENST00000423373	uc011fue.1	HLA-G		NM_002127
ENST00000469347	uc011fuf.1	HLA-G		NM_002127
ENST00000449501	uc021zmv.1	HLA-H		NR_001434
ENST00000449501	uc011fui.2	HLA-H		NR_001434
ENST00000449501	uc021zmu.1	HLA-H		NR_001434
ENST00000435780	uc011fuo.2	BC035647		n/a
ENST00000460542	uc021zmw.1	HLA-A		NM_001242758
ENST00000460542	uc011fus.1	HLA-A		NM_001242758
ENST00000468666	uc011fut.2	HLA-A		NM_001242758
ENST00000468666	uc011fuk.2	HLA-A		NM_001242758
ENST00000457879	uc011fur.2	HLA-A		NM_001242758
ENST00000422999	uc011fuz.2	HCG9		NR_028032
ENST00000468687	uc011fvc.1	HLA-J		NR_024240
ENST00000423373	uc011fug.3	HLA-G	NM_002127	NM_002127
ENST00000468687	uc011fvb.2	HLA-J		NR_024240
ENST00000473928	uc011fvd.2	HLA-J		NR_024240
ENST00000433264	uc011fvg.2	ZNRD1	NM_014596	NM_014596
ENST00000437373	uc011fvh.2	ZNRD1	NM_170783	NM_170783
ENST00000452679	uc011fvi.2	PPP1R11	NM_021959	NM_021959
ENST00000417223	uc011fvj.2	PPP1R11		NM_021959
