Kids_First_Biospecimen_ID	chr19_amplification
BS_69VS8PS1	Yes
BS_K07KNTFY	Yes
BS_TE8QFF7T	Yes
BS_4DY83R02	No
BS_6TMPZKSZ	No
BS_80X7AVCP	No
BS_B73JK7T1	No
BS_BFDEZK1C	No
BS_JC8YV5V9	No
BS_KBPBCWA0	No
BS_KJQXZ8GK	No
BS_KJTW1RBN	No
BS_P8WN8XEQ	No
BS_STNH7YSX	No
BS_TF6H437Q	No
BS_Z9NCH2XA	No
BS_1G3QX306	No
BS_2N95EW0G	No
BS_2P6MH05V	No
BS_8S0EDFTP	No
BS_8XDZQKSD	No
BS_D3N3FG7Y	No
BS_KXRFQF5N	No
BS_QCP0VAZ7	No
BS_V4VGG98Y	No
BS_W22EEJCZ	No
BS_AHT9PKVE	No
